date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/25/2017,"Northeastern @ College Park, Md.",3-0,3.0,0,44.0,13.0,112.0,0.277,39.0,4.0,4.0,51.0,1.0,3.0,16.0,0.0,59.0,2.0,Northeastern,3,14.666666666666666,4.333333333333333,37.333333333333336,13.0,1.3333333333333333,1.3333333333333333,17.0,1.0,5.333333333333333,0.0,19.666666666666668,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/26/2017,@ Maryland,2-3,5.0,0,45.0,18.0,135.0,0.2,44.0,7.0,9.0,53.0,5.0,0.0,37.0,0.0,70.5,2.0,Maryland,5,9.0,3.6,27.0,8.8,1.4,1.8,10.6,0.0,7.4,0.0,14.1,,7.333333333333333,,2.1666666666666665,,18.666666666666668,,0.1385,,6.5,,0.6666666666666666,,0.6666666666666666,,8.5,,0.5,,2.6666666666666665,,0.0,,9.833333333333334
08/26/2017,"UMBC @ College Park, Md.",1-3,4.0,0,55.0,27.0,161.0,0.174,48.0,4.0,10.0,63.0,4.0,4.0,14.0,1.0,70.0,0.0,UMBC,4,13.75,6.75,40.25,12.0,1.0,2.5,15.75,1.0,3.5,0.25,17.5,,7.888888888888888,,2.6444444444444444,,21.444444444444446,,0.159,,7.266666666666667,,0.9111111111111111,,1.0444444444444445,,9.200000000000001,,0.3333333333333333,,4.2444444444444445,,0.0,,11.255555555555555
09/01/2017,"Colgate @ Albany, N.Y.",0-3,3.0,0,22.0,18.0,88.0,0.045,22.0,2.0,3.0,36.0,7.0,1.0,4.0,4.0,27.0,1.0,Colgate,3,7.333333333333333,6.0,29.33333333333333,7.333333333333333,0.6666666666666666,1.0,12.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,9.0,12.472222222222221,9.354166666666666,4.894444444444445,3.6708333333333334,34.861111111111114,26.145833333333336,0.217,0.16275,11.266666666666666,8.45,1.2444444444444445,0.9333333333333333,1.8777777777777775,1.4083333333333332,14.450000000000001,10.8375,0.6666666666666666,0.5,5.411111111111111,4.058333333333334,0.08333333333333333,0.0625,17.08888888888889,12.816666666666666
09/02/2017,"St. John's (NY) @ Albany, N.Y.",3-0,3.0,0,48.0,14.0,118.0,0.288,42.0,4.0,9.0,51.0,1.0,1.0,20.0,2.0,63.0,1.0,St. John's ,3,16.0,4.666666666666667,39.333333333333336,14.0,1.3333333333333333,3.0,17.0,0.3333333333333333,6.666666666666667,0.6666666666666666,21.0,10.027777777777779,8.95,5.45,4.136666666666667,32.194444444444436,26.78333333333334,0.13966666666666666,0.13920000000000002,9.377777777777778,8.226666666666667,1.0222222222222224,0.8800000000000001,1.7666666666666668,1.3266666666666667,12.783333333333333,11.07,0.4444444444444444,0.4666666666666667,4.077777777777778,3.513333333333333,0.5277777777777778,0.31666666666666665,13.533333333333331,12.053333333333333
09/02/2017,@ UAlbany,3-0,3.0,0,42.0,8.0,90.0,0.378,40.0,4.0,5.0,48.0,1.0,2.0,18.0,2.0,57.0,3.0,UAlbany,3,14.0,2.6666666666666665,30.0,13.333333333333334,1.3333333333333333,1.6666666666666667,16.0,0.6666666666666666,6.0,0.6666666666666666,19.0,12.361111111111112,10.125,5.805555555555556,4.2250000000000005,36.30555555555555,28.875000000000004,0.16899999999999996,0.164,11.111111111111109,9.188888888888888,1.0,0.9555555555555556,2.1666666666666665,1.6055555555555554,14.916666666666666,12.058333333333332,0.5555555555555555,0.4444444444444445,3.8333333333333335,4.038888888888889,0.75,0.375,15.833333333333334,13.544444444444444
09/08/2017,Boston College,3-0,3.0,0,40.0,11.0,104.0,0.279,37.0,2.0,3.0,40.0,6.0,2.0,18.0,0.0,53.0,2.0,Boston College,3,13.333333333333334,3.6666666666666665,34.666666666666664,12.333333333333334,0.6666666666666666,1.0,13.333333333333334,0.6666666666666666,6.0,0.0,17.666666666666668,12.444444444444445,10.678571428571429,4.444444444444445,4.002380952380952,32.888888888888886,29.03571428571429,0.237,0.1945714285714286,11.555555555555555,9.780952380952382,1.111111111111111,1.0095238095238095,1.888888888888889,1.614285714285714,15.0,12.62142857142857,0.4444444444444444,0.4761904761904762,4.666666666666667,4.319047619047619,0.8888888888888888,0.41666666666666663,16.333333333333332,14.323809523809524
09/15/2017,@ Villanova,1-3,4.0,0,49.0,24.0,160.0,0.156,44.0,6.0,6.0,56.0,3.0,3.0,10.0,4.0,63.0,2.0,Villanova,4,12.25,6.0,40.0,11.0,1.5,1.5,14.0,0.75,2.5,1.0,15.75,14.444444444444445,11.010416666666666,3.6666666666666665,3.960416666666667,34.666666666666664,29.739583333333336,0.315,0.205125,13.222222222222223,10.1,1.111111111111111,0.9666666666666667,1.888888888888889,1.5374999999999999,15.444444444444445,12.710416666666665,0.5555555555555555,0.5,6.222222222222221,4.529166666666667,0.4444444444444444,0.3645833333333333,19.22222222222222,14.741666666666667
09/22/2017,Wichita St.,1-3,4.0,0,71.0,28.0,170.0,0.253,67.0,3.0,7.0,61.0,3.0,1.0,8.0,2.0,79.0,2.0,Wichita St.,4,17.75,7.0,42.5,16.75,0.75,1.75,15.25,0.25,2.0,0.5,19.75,13.194444444444445,11.148148148148147,4.111111111111111,4.187037037037038,34.888888888888886,30.879629629629633,0.271,0.19966666666666666,12.222222222222223,10.2,1.1666666666666665,1.0259259259259261,1.388888888888889,1.5333333333333332,14.444444444444445,12.853703703703703,0.6944444444444443,0.5277777777777778,4.833333333333333,4.303703703703704,0.5555555555555555,0.4351851851851852,17.47222222222222,14.853703703703705
09/24/2017,Memphis,3-0,3.0,0,45.0,15.0,114.0,0.263,44.0,3.0,4.0,64.0,3.0,2.0,18.0,1.0,59.0,3.0,Memphis,3,15.0,5.0,38.0,14.666666666666666,1.0,1.3333333333333333,21.33333333333333,0.6666666666666666,6.0,0.3333333333333333,19.666666666666668,14.444444444444445,11.808333333333334,5.555555555555556,4.468333333333334,39.05555555555555,32.04166666666667,0.22933333333333336,0.205,13.361111111111109,10.855,0.972222222222222,0.9983333333333334,1.4166666666666667,1.555,14.194444444444445,13.093333333333334,0.5555555555555555,0.5,3.5,4.073333333333333,0.5,0.4416666666666666,17.72222222222222,15.343333333333334
