date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,"Providence @ Chestnut Hill, Mass.",2-3,5.0,0,69.0,26.0,175.0,0.246,65.0,6.0,17.0,69.0,2.0,2.0,6.0,4.0,80.0,2.0,Providence,5,13.8,5.2,35.0,13.0,1.2,3.4,13.8,0.4,1.2,0.8,16.0
08/26/2017,"Fairfield @ Chestnut Hill, Mass.",2-3,5.0,0,56.0,15.0,172.0,0.238,55.0,2.0,12.0,78.0,8.0,5.0,14.0,1.0,70.0,0.0,Fairfield,5,11.2,3.0,34.4,11.0,0.4,2.4,15.6,1.0,2.8,0.2,14.0
08/26/2017,@ Boston College,1-3,4.0,0,52.0,31.0,147.0,0.143,44.0,5.0,9.0,44.0,7.0,2.0,18.0,0.0,68.0,2.0,Boston College,4,13.0,7.75,36.75,11.0,1.25,2.25,11.0,0.5,4.5,0.0,17.0
08/31/2017,Georgia St.,3-1,4.0,0,63.0,19.0,160.0,0.275,56.0,4.0,13.0,75.0,7.0,3.0,12.0,4.0,76.0,2.0,Georgia St.,4,15.75,4.75,40.0,14.0,1.0,3.25,18.75,0.75,3.0,1.0,19.0
09/01/2017,Austin Peay,1-3,4.0,0,51.0,22.0,160.0,0.181,46.0,5.0,7.0,50.0,3.0,3.0,21.0,6.0,69.5,0.0,Austin Peay,4,12.75,5.5,40.0,11.5,1.25,1.75,12.5,0.75,5.25,1.5,17.375
09/01/2017,Charleston So.,3-1,4.0,0,56.0,9.0,127.0,0.37,51.0,3.0,10.0,74.0,5.0,10.0,4.0,1.0,71.0,0.0,Charleston So.,4,14.0,2.25,31.75,12.75,0.75,2.5,18.5,2.5,1.0,0.25,17.75
09/03/2017,Western Ill.,3-0,3.0,0,48.0,16.0,122.0,0.262,46.0,7.0,10.0,51.0,3.0,2.0,18.0,1.0,66.0,1.0,Western Ill.,3,16.0,5.333333333333333,40.666666666666664,15.333333333333334,2.3333333333333335,3.3333333333333335,17.0,0.6666666666666666,6.0,0.3333333333333333,22.0
09/05/2017,@ Troy,2-3,5.0,0,46.0,24.0,126.0,0.175,40.0,5.0,9.0,53.0,6.0,1.0,22.0,0.0,63.0,3.0,Troy,5,9.2,4.8,25.2,8.0,1.0,1.8,10.6,0.2,4.4,0.0,12.6
09/08/2017,"UT Martin @ Evansville, Ind.",0-3,3.0,0,33.0,17.0,111.0,0.144,30.0,10.0,5.0,35.0,8.0,0.0,12.0,2.0,49.0,0.0,UT Martin,3,11.0,5.666666666666667,37.0,10.0,3.3333333333333335,1.6666666666666667,11.666666666666666,0.0,4.0,0.6666666666666666,16.333333333333332
09/09/2017,@ Evansville,2-3,5.0,0,72.0,25.0,185.0,0.254,67.0,4.0,10.0,66.0,4.0,1.0,20.0,2.0,87.0,0.0,Evansville,5,14.4,5.0,37.0,13.4,0.8,2.0,13.2,0.2,4.0,0.4,17.4
09/09/2017,"Indiana @ Evansville, Ind.",1-3,4.0,0,39.0,23.0,126.0,0.127,35.0,3.0,5.0,46.0,9.0,4.0,10.0,3.0,51.0,0.0,Indiana,4,9.75,5.75,31.5,8.75,0.75,1.25,11.5,1.0,2.5,0.75,12.75
09/15/2017,Mississippi Val.,3-0,3.0,0,45.0,11.0,106.0,0.321,36.0,3.0,8.0,46.0,0.0,1.0,8.0,0.0,53.0,0.0,Mississippi Val.,3,15.0,3.6666666666666665,35.333333333333336,12.0,1.0,2.6666666666666665,15.333333333333334,0.3333333333333333,2.6666666666666665,0.0,17.666666666666668
09/15/2017,Western Caro.,3-1,4.0,0,64.0,23.0,145.0,0.283,56.0,8.0,7.0,66.0,6.0,1.0,12.0,1.0,79.0,2.0,Western Caro.,4,16.0,5.75,36.25,14.0,2.0,1.75,16.5,0.25,3.0,0.25,19.75
09/16/2017,New Orleans,3-0,3.0,0,45.0,15.0,124.0,0.242,43.0,6.0,9.0,52.0,4.0,1.0,12.0,0.0,58.0,0.0,New Orleans,3,15.0,5.0,41.333333333333336,14.333333333333334,2.0,3.0,17.333333333333332,0.3333333333333333,4.0,0.0,19.333333333333332
09/19/2017,Alabama St.,1-3,4.0,0,53.0,30.0,176.0,0.131,48.0,5.0,10.0,77.0,3.0,0.0,6.0,1.0,61.0,1.0,Alabama St.,4,13.25,7.5,44.0,12.0,1.25,2.5,19.25,0.0,1.5,0.25,15.25
09/22/2017,@ Middle Tenn.,3-1,4.0,0,48.0,21.0,112.0,0.241,44.0,7.0,10.0,34.0,4.0,0.0,12.0,3.0,61.0,0.0,Middle Tenn.,4,12.0,5.25,28.0,11.0,1.75,2.5,8.5,0.0,3.0,0.75,15.25
09/24/2017,@ UTEP,3-1,4.0,0,50.0,29.0,143.0,0.147,48.0,8.0,7.0,61.0,6.0,4.0,18.0,7.0,71.0,0.0,UTEP,4,12.5,7.25,35.75,12.0,2.0,1.75,15.25,1.0,4.5,1.75,17.75
09/29/2017,Charlotte,1-3,4.0,0,49.0,29.0,151.0,0.132,46.0,3.0,10.0,60.0,7.0,2.0,10.0,1.0,59.0,3.0,Charlotte,4,12.25,7.25,37.75,11.5,0.75,2.5,15.0,0.5,2.5,0.25,14.75
10/01/2017,FIU,3-0,3.0,0,43.0,14.0,91.0,0.319,41.0,8.0,14.0,34.0,7.0,2.0,18.0,1.0,62.0,0.0,FIU,3,14.333333333333334,4.666666666666667,30.333333333333332,13.666666666666666,2.6666666666666665,4.666666666666667,11.333333333333334,0.6666666666666666,6.0,0.3333333333333333,20.666666666666668
10/06/2017,@ North Texas,0-3,3.0,0,33.0,19.0,84.0,0.167,32.0,2.0,5.0,28.0,7.0,2.0,0.0,3.0,37.0,1.0,North Texas,3,11.0,6.333333333333333,28.0,10.666666666666666,0.6666666666666666,1.6666666666666667,9.333333333333334,0.6666666666666666,0.0,1.0,12.333333333333334
10/08/2017,@ Louisiana Tech,1-3,4.0,0,45.0,27.0,132.0,0.136,44.0,6.0,5.0,54.0,3.0,1.0,8.0,0.0,56.0,0.0,Louisiana Tech,4,11.25,6.75,33.0,11.0,1.5,1.25,13.5,0.25,2.0,0.0,14.0
10/13/2017,Western Ky.,0-3,3.0,0,29.0,28.0,110.0,0.009,29.0,1.0,8.0,43.0,3.0,1.0,6.0,4.0,34.0,1.0,Western Ky.,3,9.666666666666666,9.333333333333334,36.666666666666664,9.666666666666666,0.3333333333333333,2.6666666666666665,14.333333333333334,0.3333333333333333,2.0,1.3333333333333333,11.333333333333334
10/15/2017,Rice,2-3,5.0,0,62.0,33.0,205.0,0.141,57.0,6.0,8.0,80.0,2.0,3.0,8.0,1.0,75.0,0.0,Rice,5,12.4,6.6,41.0,11.4,1.2,1.6,16.0,0.6,1.6,0.2,15.0
