date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2017,"Fresno St. @ San Jose, Calif.",1-3,4.0,0,46.0,17.0,123.0,0.236,43.0,8.0,7.0,37.0,11.0,0.0,14.0,1.0,61.0,4.0,Fresno St.
08/25/2017,"Pepperdine @ San Jose, Calif.",1-3,4.0,0,47.0,21.0,149.0,0.174,39.0,5.0,4.0,60.0,13.0,5.0,14.0,2.0,64.0,1.0,Pepperdine
08/26/2017,Nevada @ San Francisco,1-3,4.0,0,42.0,18.0,129.0,0.186,40.0,2.0,3.0,44.0,5.0,4.0,12.0,0.0,54.0,1.0,Nevada
08/29/2017,@ Southern Utah,3-0,3.0,0,40.0,15.0,103.0,0.243,38.0,5.0,4.0,46.0,1.0,0.0,22.0,2.0,56.0,0.0,Southern Utah
08/31/2017,Kansas,0-3,3.0,0,36.0,14.0,104.0,0.212,33.0,5.0,4.0,35.0,2.0,1.0,19.0,1.0,51.5,1.0,Kansas
09/01/2017,Montana,3-0,3.0,0,42.0,13.0,114.0,0.254,34.0,8.0,4.0,45.0,2.0,1.0,8.0,0.0,55.0,0.0,Montana
09/02/2017,Long Beach St.,3-1,4.0,0,51.0,16.0,156.0,0.224,47.0,3.0,12.0,65.0,4.0,0.0,21.0,2.0,64.5,1.0,Long Beach St.
09/04/2017,@ Idaho St.,3-1,4.0,0,61.0,26.0,156.0,0.224,57.0,4.0,7.0,62.0,4.0,4.0,20.0,0.0,79.0,0.0,Idaho St.
09/05/2017,@ Utah St.,3-1,4.0,0,52.0,18.0,127.0,0.268,51.0,6.0,3.0,65.0,6.0,0.0,16.0,3.0,66.0,1.0,Utah St.
09/08/2017,"Lehigh @ Fort Worth, Texas",0-3,3.0,0,25.0,15.0,97.0,0.103,22.0,2.0,4.0,49.0,7.0,1.0,8.0,5.0,32.0,3.0,Lehigh
09/09/2017,"Duke @ Fort Worth, Texas",2-3,5.0,0,56.0,18.0,145.0,0.262,53.0,3.0,10.0,63.0,8.0,2.0,22.0,3.0,72.0,1.0,Duke
09/09/2017,@ TCU,0-3,3.0,0,28.0,21.0,94.0,0.074,26.0,2.0,5.0,37.0,4.0,0.0,16.0,0.0,38.0,0.0,TCU
09/13/2017,@ Weber St.,1-3,4.0,0,72.0,26.0,163.0,0.282,62.0,3.0,3.0,62.0,3.0,1.0,18.0,1.0,85.0,1.0,Weber St.
09/15/2017,Utah,1-3,4.0,0,49.0,15.0,139.0,0.245,44.0,1.0,4.0,41.0,3.0,0.0,26.0,1.0,63.0,1.0,Utah
09/16/2017,BYU,1-3,4.0,0,48.0,20.0,131.0,0.214,44.0,0.0,9.0,47.0,8.0,1.0,26.0,2.0,62.0,2.0,BYU
09/23/2017,@ Seattle U,3-0,3.0,0,46.0,20.0,128.0,0.203,42.0,3.0,5.0,65.0,5.0,0.0,16.0,1.0,57.0,0.0,Seattle U
09/28/2017,@ Grand Canyon,3-1,4.0,0,54.0,14.0,145.0,0.276,51.0,3.0,5.0,68.0,7.0,6.0,14.0,5.0,70.0,3.0,Grand Canyon
09/30/2017,@ CSU Bakersfield,2-3,5.0,0,52.0,18.0,173.0,0.197,48.0,5.0,11.0,68.0,8.0,3.0,28.0,3.0,74.0,0.0,CSU Bakersfield
10/05/2017,UTRGV,1-3,4.0,0,45.0,19.0,158.0,0.165,43.0,6.0,5.0,60.0,4.0,2.0,22.0,6.0,64.0,1.0,UTRGV
10/07/2017,New Mexico St.,3-2,5.0,0,57.0,20.0,144.0,0.257,51.0,4.0,10.0,49.0,3.0,2.0,20.0,0.0,73.0,3.0,New Mexico St.
