date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/27/2017,@ American,3-1,4.0,0,46.0,18.0,122.0,0.23,42.0,4.0,14.0,46.0,9.0,1.0,25.0,1.0,63.5,3.0,American
08/28/2017,@ Howard,3-1,4.0,0,58.0,19.0,155.0,0.252,53.0,1.0,10.0,75.0,3.0,1.0,20.0,3.0,70.0,0.0,Howard
08/31/2017,Baylor,2-3,5.0,0,50.0,27.0,170.0,0.135,46.0,6.0,9.0,69.0,4.0,5.0,18.0,4.0,70.0,0.0,Baylor
08/31/2017,UIW,3-0,3.0,0,37.0,9.0,71.0,0.394,33.0,5.0,10.0,18.0,2.0,1.0,18.0,2.0,52.0,2.0,UIW
09/01/2017,Quinnipiac,3-0,3.0,0,38.0,12.0,76.0,0.342,34.0,6.0,8.0,31.0,4.0,0.0,27.0,1.0,57.5,1.0,Quinnipiac
09/01/2017,Col. of Charleston,3-0,3.0,0,39.0,11.0,85.0,0.329,33.0,3.0,4.0,34.0,1.0,1.0,20.0,5.0,53.0,1.0,Col. of Charleston
09/08/2017,@ Fairfield,3-0,3.0,0,44.0,15.0,90.0,0.322,41.0,4.0,6.0,36.0,2.0,1.0,17.0,2.0,57.5,0.0,Fairfield
09/08/2017,"New Hampshire @ Fairfield, Conn.",3-0,3.0,0,37.0,16.0,94.0,0.223,32.0,7.0,4.0,40.0,2.0,0.0,22.0,0.0,55.0,0.0,New Hampshire
09/09/2017,@ Fairfield,3-0,3.0,0,48.0,18.0,100.0,0.3,47.0,3.0,6.0,48.0,2.0,1.0,26.0,0.0,65.0,0.0,Fairfield
09/15/2017,@ Missouri St.,3-2,5.0,0,56.0,21.0,179.0,0.196,53.0,6.0,2.0,78.0,3.0,3.0,30.0,2.0,80.0,0.0,Missouri St.
