date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,"Long Beach St. @ Portland, Ore.",3-2,0,5.0,0,48.0,24.0,155.0,0.155,43.0,6.0,11.0,61.0,11.0,3.0,20.0,5.0,67.0,0.0,Long Beach St.
08/25/2018,@ Portland St.,3-1,0,4.0,0,56.0,23.0,143.0,0.231,51.0,15.0,10.0,61.0,9.0,1.0,18.0,2.0,81.0,1.0,Portland St.
08/31/2018,"Milwaukee @ Pocatello, Idaho",3-2,0,5.0,0,65.0,35.0,189.0,0.159,60.0,10.0,10.0,77.0,9.0,3.0,22.0,3.0,89.0,0.0,Milwaukee
09/01/2018,"UC Riverside @ Pocatello, Idaho",3-0,0,3.0,0,41.0,21.0,122.0,0.164,39.0,5.0,8.0,56.0,6.0,1.0,26.0,0.0,60.0,0.0,UC Riverside
09/01/2018,@ Idaho St.,3-1,0,4.0,0,56.0,20.0,134.0,0.269,53.0,7.0,7.0,59.0,5.0,4.0,22.0,2.0,78.0,0.0,Idaho St.
09/06/2018,@ Santa Clara,3-0,0,3.0,0,40.0,8.0,98.0,0.327,39.0,4.0,14.0,40.0,5.0,1.0,20.0,0.0,55.0,1.0,Santa Clara
09/07/2018,"UC Davis @ Santa Clara, Calif.",1-3,0,4.0,0,48.0,34.0,173.0,0.081,46.0,2.0,7.0,81.0,5.0,2.0,8.0,3.0,56.0,1.0,UC Davis
09/13/2018,Washington,0-3,0,3.0,0,39.0,23.0,112.0,0.143,35.0,2.0,3.0,42.0,8.0,0.0,14.0,0.0,48.0,0.0,Washington
09/14/2018,Portland,2-3,0,5.0,0,71.0,22.0,177.0,0.277,67.0,5.0,12.0,62.0,6.0,0.0,14.0,4.0,83.0,1.0,Portland
09/14/2018,CSUN,3-0,0,3.0,0,43.0,6.0,104.0,0.356,40.0,6.0,6.0,47.0,2.0,1.0,20.0,1.0,60.0,1.0,CSUN
09/15/2018,Sacramento St.,3-0,0,3.0,0,40.0,12.0,93.0,0.301,38.0,7.0,4.0,48.0,1.0,2.0,18.0,3.0,58.0,0.0,Sacramento St.
09/20/2018,@ UNLV,0-3,0,3.0,0,32.0,16.0,112.0,0.143,32.0,6.0,10.0,35.0,4.0,1.0,10.0,1.0,44.0,0.0,UNLV
09/22/2018,New Mexico,3-0,0,3.0,0,44.0,16.0,126.0,0.222,40.0,8.0,8.0,52.0,6.0,1.0,18.0,4.0,62.0,3.0,New Mexico
09/27/2018,@ Nevada,3-0,0,3.0,0,41.0,15.0,107.0,0.243,40.0,1.0,7.0,53.0,1.0,0.0,18.0,0.0,51.0,1.0,Nevada
09/29/2018,@ San Jose St.,0-3,0,3.0,0,43.0,13.0,112.0,0.268,41.0,1.0,12.0,46.0,12.0,0.0,12.0,3.0,50.0,2.0,San Jose St.
10/04/2018,San Diego St.,2-3,0,5.0,0,58.0,25.0,148.0,0.223,52.0,12.0,17.0,46.0,6.0,1.0,8.0,4.0,75.0,0.0,San Diego St.
10/06/2018,Fresno St.,3-1,0,4.0,0,53.0,25.0,150.0,0.187,51.0,7.0,6.0,53.0,3.0,1.0,22.0,1.0,72.0,2.0,Fresno St.
10/11/2018,@ Colorado St.,0-3,0,3.0,0,35.0,15.0,98.0,0.204,31.0,3.0,5.0,29.0,7.0,0.0,10.0,3.0,43.0,1.0,Colorado St.
10/13/2018,@ Wyoming,1-3,0,4.0,0,53.0,28.0,155.0,0.161,50.0,4.0,13.0,57.0,0.0,1.0,10.0,1.0,63.0,2.0,Wyoming
10/16/2018,@ Utah St.,3-2,0,5.0,0,69.0,25.0,161.0,0.273,65.0,9.0,9.0,63.0,7.0,1.0,18.0,0.0,88.0,2.0,Utah St.
10/20/2018,Air Force,3-2,0,5.0,0,53.0,27.0,163.0,0.16,50.0,5.0,8.0,75.0,2.0,2.0,18.0,3.0,69.0,2.0,Air Force
10/25/2018,Nevada,3-0,0,3.0,0,45.0,16.0,122.0,0.238,43.0,1.0,7.0,51.0,2.0,0.0,16.0,1.0,54.0,0.0,Nevada
10/27/2018,San Jose St.,0-3,0,3.0,0,33.0,20.0,106.0,0.123,31.0,3.0,6.0,41.0,4.0,0.0,20.0,7.0,46.0,0.0,San Jose St.
11/01/2018,@ Fresno St.,3-2,0,5.0,0,50.0,22.0,150.0,0.187,50.0,6.0,10.0,66.0,5.0,3.0,22.0,4.0,70.0,3.0,Fresno St.
11/03/2018,@ San Diego St.,3-1,0,4.0,0,54.0,27.0,147.0,0.184,49.0,5.0,8.0,43.0,2.0,1.0,33.0,1.0,76.5,1.0,San Diego St.
11/08/2018,Wyoming,3-0,0,3.0,0,45.0,12.0,92.0,0.359,45.0,7.0,5.0,44.0,1.0,2.0,22.0,1.0,65.0,0.0,Wyoming
11/10/2018,Colorado St.,1-3,0,4.0,0,40.0,20.0,120.0,0.167,38.0,4.0,3.0,47.0,4.0,3.0,20.0,5.0,57.0,0.0,Colorado St.
11/13/2018,Utah St.,3-2,0,5.0,0,62.0,24.0,181.0,0.21,59.0,4.0,6.0,72.0,6.0,1.0,22.0,1.0,78.0,1.0,Utah St.
11/15/2018,@ Air Force,2-3,0,5.0,0,48.0,23.0,136.0,0.184,44.0,5.0,8.0,54.0,9.0,0.0,39.0,2.0,72.5,0.0,Air Force
