date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,"ULM @ Starkville, Miss.",3-0,0,3.0,0,46.0,15.0,111.0,0.279,42.0,8.0,5.0,55.0,1.0,0.0,9.0,1.0,58.5,1.0,ULM
08/25/2018,"Georgia St. @ Starkville, Miss.",3-1,0,4.0,0,64.0,27.0,176.0,0.21,59.0,11.0,10.0,80.0,1.0,1.0,8.0,0.0,80.0,0.0,Georgia St.
08/25/2018,"Mississippi Val. @ Starkville, Miss.",3-0,0,3.0,0,43.0,14.0,104.0,0.279,38.0,8.0,9.0,50.0,3.0,1.0,12.0,1.0,58.0,0.0,Mississippi Val.
08/26/2018,@ Mississippi St.,3-0,0,3.0,0,46.0,17.0,126.0,0.23,41.0,5.0,9.0,61.0,2.0,3.0,4.0,1.0,56.0,2.0,Mississippi St.
08/30/2018,"American @ Fresno, Calif.",3-2,0,5.0,0,63.0,23.0,174.0,0.23,57.0,7.0,5.0,69.0,7.0,0.0,12.0,2.0,76.0,1.0,American
08/31/2018,"Saint Mary's (CA) @ Fresno, Calif.",1-3,0,4.0,0,50.0,22.0,145.0,0.193,46.0,5.0,12.0,58.0,4.0,1.0,6.0,2.0,59.0,1.0,Saint Mary's 
08/31/2018,"San Francisco @ Fresno, Calif.",3-1,0,4.0,0,51.0,21.0,139.0,0.216,48.0,4.0,3.0,69.0,7.0,1.0,22.0,4.0,67.0,0.0,San Francisco
09/07/2018,"Presbyterian @ USAF Academy, Colo.",3-1,0,4.0,0,57.0,22.0,143.0,0.245,54.0,8.0,5.0,63.0,5.0,4.0,10.0,2.0,74.0,3.0,Presbyterian
09/07/2018,@ Air Force,1-3,0,4.0,0,47.0,25.0,163.0,0.135,42.0,5.0,2.0,65.0,7.0,1.0,10.0,2.0,58.0,0.0,Air Force
09/08/2018,"Valparaiso @ USAF Academy, Colo.",1-3,0,4.0,0,43.0,18.0,143.0,0.175,43.0,2.0,6.0,50.0,6.0,2.0,10.0,4.0,52.0,1.0,Valparaiso
09/11/2018,La Sierra,3-0,0,3.0,0,50.0,11.0,86.0,0.453,43.0,6.0,9.0,33.0,3.0,0.0,12.0,2.0,62.0,0.0,La Sierra
09/15/2018,UTEP,3-1,0,4.0,0,53.0,14.0,138.0,0.283,47.0,6.0,6.0,54.0,0.0,1.0,18.0,1.0,69.0,0.0,UTEP
09/20/2018,New Mexico St.,3-2,0,5.0,0,63.0,23.0,169.0,0.237,60.0,8.0,7.0,61.0,3.0,3.0,24.0,1.0,86.0,1.0,New Mexico St.
09/22/2018,UTRGV,1-3,0,4.0,0,63.0,25.0,158.0,0.241,57.0,5.0,6.0,53.0,8.0,1.0,10.0,1.0,74.0,1.0,UTRGV
09/27/2018,@ Utah Valley,3-2,0,5.0,0,50.0,29.0,167.0,0.126,49.0,11.0,3.0,69.0,4.0,1.0,22.0,6.0,73.0,0.0,Utah Valley
09/29/2018,@ Kansas City,0-3,0,3.0,0,36.0,17.0,135.0,0.141,31.0,2.0,3.0,59.0,3.0,2.0,10.0,0.0,45.0,1.0,Kansas City
10/04/2018,Grand Canyon,3-1,0,4.0,0,52.0,25.0,150.0,0.18,48.0,7.0,9.0,64.0,3.0,1.0,20.0,1.0,70.0,0.0,Grand Canyon
