date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,@ Davidson,3-0,0,3.0,0,45.0,17.0,116.0,0.241,38.0,10.0,7.0,40.0,2.0,2.0,10.0,0.0,62.0,1.0,Davidson
08/25/2018,"William & Mary @ Davidson, N.C.",3-2,0,5.0,0,65.0,27.0,146.0,0.26,57.0,5.0,11.0,58.0,5.0,1.0,16.0,1.0,79.0,1.0,William & Mary
08/25/2018,"Marist @ Davidson, N.C.",3-1,0,4.0,0,58.0,29.0,142.0,0.204,56.0,10.0,9.0,55.0,5.0,2.0,8.0,1.0,74.0,1.0,Marist
08/30/2018,@ UT Martin,2-3,0,5.0,0,53.0,28.0,161.0,0.155,51.0,6.0,11.0,75.0,5.0,3.0,10.0,5.0,67.0,0.0,UT Martin
08/31/2018,"UAB @ Martin, Tenn.",2-3,0,5.0,0,66.0,26.0,175.0,0.229,59.0,2.0,11.0,59.0,9.0,5.0,12.0,6.0,79.0,1.0,UAB
09/01/2018,"Memphis @ Martin, Tenn.",3-0,0,3.0,0,43.0,18.0,107.0,0.234,37.0,5.0,8.0,45.0,4.0,2.0,6.0,5.0,53.0,1.0,Memphis
09/01/2018,"Florida A&M @ Martin, Tenn.",3-2,0,5.0,0,69.0,42.0,203.0,0.133,66.0,6.0,6.0,107.0,3.0,3.0,20.0,9.0,88.0,0.0,Florida A&M
09/06/2018,Little Rock,3-2,0,5.0,0,67.0,28.0,195.0,0.2,67.0,4.0,7.0,81.0,4.0,1.0,8.0,0.0,76.0,0.0,Little Rock
09/07/2018,South Dakota,3-0,0,3.0,0,47.0,10.0,107.0,0.346,43.0,4.0,6.0,45.0,4.0,0.0,8.0,0.0,55.0,1.0,South Dakota
09/08/2018,Ark.-Pine Bluff,3-0,0,3.0,0,39.0,9.0,72.0,0.417,38.0,8.0,9.0,41.0,4.0,3.0,10.0,0.0,55.0,1.0,Ark.-Pine Bluff
09/13/2018,@ Arkansas St.,1-3,0,4.0,0,54.0,22.0,138.0,0.232,52.0,1.0,6.0,59.0,5.0,4.0,6.0,2.0,62.0,2.0,Arkansas St.
09/14/2018,"Jackson St. @ Jonesboro, Ark.",3-0,0,3.0,0,40.0,7.0,93.0,0.355,37.0,11.0,5.0,45.0,0.0,1.0,8.0,0.0,56.0,1.0,Jackson St.
09/15/2018,"Southern Ill. @ Jonesboro, Ark.",3-1,0,4.0,0,52.0,21.0,156.0,0.199,51.0,8.0,9.0,70.0,2.0,0.0,6.0,5.0,63.0,1.0,Southern Ill.
09/22/2018,@ SFA,0-3,0,3.0,0,41.0,20.0,118.0,0.178,39.0,3.0,8.0,54.0,2.0,3.0,8.0,1.0,51.0,1.0,SFA
09/25/2018,Southeastern La.,3-0,0,3.0,0,33.0,11.0,67.0,0.328,32.0,9.0,6.0,22.0,4.0,2.0,14.0,1.0,51.0,0.0,Southeastern La.
09/27/2018,A&M-Corpus Christi,3-1,0,4.0,0,56.0,23.0,144.0,0.229,52.0,5.0,3.0,60.0,4.0,1.0,6.0,0.0,65.0,0.0,A&M-Corpus Christi
09/29/2018,Houston Christian,3-0,0,3.0,0,42.0,6.0,111.0,0.324,38.0,4.0,2.0,55.0,0.0,2.0,10.0,0.0,53.0,0.0,Houston Christian
10/04/2018,@ Northwestern St.,3-1,0,4.0,0,54.0,17.0,133.0,0.278,50.0,2.0,8.0,63.0,8.0,1.0,16.0,4.0,65.0,0.0,Northwestern St.
10/06/2018,@ Southeastern La.,3-0,0,3.0,0,41.0,7.0,81.0,0.42,38.0,6.0,4.0,39.0,1.0,4.0,4.0,0.0,53.0,2.0,Southeastern La.
10/13/2018,@ UIW,3-0,0,3.0,0,48.0,9.0,81.0,0.481,42.0,2.0,6.0,30.0,0.0,4.0,2.0,0.0,55.0,0.0,UIW
10/16/2018,SFA,1-3,0,4.0,0,55.0,30.0,158.0,0.158,49.0,4.0,13.0,73.0,4.0,2.0,8.0,0.0,65.0,0.0,SFA
10/18/2018,Nicholls,3-0,0,3.0,0,45.0,7.0,90.0,0.422,43.0,4.0,6.0,42.0,4.0,2.0,6.0,0.0,54.0,0.0,Nicholls
10/20/2018,New Orleans,3-0,0,3.0,0,45.0,16.0,109.0,0.266,44.0,2.0,6.0,47.0,1.0,2.0,10.0,2.0,54.0,0.0,New Orleans
10/25/2018,@ Lamar University,3-0,0,3.0,0,38.0,18.0,91.0,0.22,36.0,5.0,5.0,40.0,3.0,2.0,8.0,0.0,49.0,0.0,Lamar University
10/27/2018,@ McNeese,3-1,0,4.0,0,56.0,22.0,149.0,0.228,53.0,4.0,5.0,62.0,4.0,3.0,18.0,4.0,72.0,1.0,McNeese
11/01/2018,Abilene Christian,3-0,0,3.0,0,41.0,20.0,117.0,0.179,38.0,5.0,5.0,51.0,3.0,1.0,20.0,1.0,57.0,1.0,Abilene Christian
