date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2018,@ St. John's (NY),2-3,0,5.0,0,57.0,17.0,172.0,0.233,55.0,6.0,6.0,86.0,7.0,0.0,8.0,4.0,67.0,0.0,St. John's ,5,11.4,3.4,34.4,11.0,1.2,1.2,17.2,1.4,0.0,1.6,0.8,13.4
08/24/2018,"Eastern Mich. @ St. Johns, NY",0-3,0,3.0,0,24.0,13.0,114.0,0.096,24.0,4.0,4.0,49.0,3.0,2.0,4.0,5.0,32.0,4.0,Eastern Mich.,3,8.0,4.333333333333333,38.0,8.0,1.3333333333333333,1.3333333333333333,16.333333333333332,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,10.666666666666666
08/25/2018,@ Manhattan,3-0,0,3.0,0,38.0,13.0,108.0,0.231,33.0,5.0,8.0,44.0,4.0,0.0,18.0,1.0,52.0,2.0,Manhattan,3,12.666666666666666,4.333333333333333,36.0,11.0,1.6666666666666667,2.6666666666666665,14.666666666666666,1.3333333333333333,0.0,6.0,0.3333333333333333,17.333333333333332
08/25/2018,"Fordham @ Queens, N.Y.",1-3,0,4.0,0,37.0,20.0,153.0,0.111,32.0,5.0,5.0,56.0,6.0,2.0,22.0,6.0,55.0,0.0,Fordham,4,9.25,5.0,38.25,8.0,1.25,1.25,14.0,1.5,0.5,5.5,1.5,13.75
08/29/2018,@ Hartford,0-3,0,3.0,0,35.0,28.0,117.0,0.06,34.0,0.0,2.0,43.0,8.0,1.0,6.0,1.0,39.0,0.0,Hartford,3,11.666666666666666,9.333333333333334,39.0,11.333333333333334,0.0,0.6666666666666666,14.333333333333334,2.6666666666666665,0.3333333333333333,2.0,0.3333333333333333,13.0
08/31/2018,@ Quinnipiac,3-0,0,3.0,0,36.0,14.0,112.0,0.196,33.0,6.0,7.0,41.0,1.0,0.0,14.0,1.0,49.0,0.0,Quinnipiac,3,12.0,4.666666666666667,37.333333333333336,11.0,2.0,2.3333333333333335,13.666666666666666,0.3333333333333333,0.0,4.666666666666667,0.3333333333333333,16.333333333333332
09/01/2018,@ Yale,0-3,0,3.0,0,36.0,17.0,113.0,0.168,34.0,4.0,8.0,48.0,3.0,0.0,20.0,0.0,50.0,1.0,Yale,3,12.0,5.666666666666667,37.666666666666664,11.333333333333334,1.3333333333333333,2.6666666666666665,16.0,1.0,0.0,6.666666666666667,0.0,16.666666666666668
09/07/2018,"Harvard @ Fairfield, Conn.",2-3,0,5.0,0,49.0,22.0,157.0,0.172,43.0,7.0,13.0,73.0,8.0,6.0,20.0,1.0,72.0,2.0,Harvard,5,9.8,4.4,31.4,8.6,1.4,2.6,14.6,1.6,1.2,4.0,0.2,14.4
09/08/2018,"Northeastern @ Fairfield, Conn.",1-3,0,4.0,0,35.0,14.0,139.0,0.151,35.0,4.0,6.0,60.0,13.0,3.0,16.0,1.0,50.0,5.0,Northeastern,4,8.75,3.5,34.75,8.75,1.0,1.5,15.0,3.25,0.75,4.0,0.25,12.5
09/08/2018,"Michigan St. @ Fairfield, Conn.",0-3,0,3.0,0,34.0,24.0,88.0,0.114,34.0,3.0,8.0,30.0,2.0,3.0,14.0,1.0,47.0,1.0,Michigan St.,3,11.333333333333334,8.0,29.333333333333332,11.333333333333334,1.0,2.6666666666666665,10.0,0.6666666666666666,1.0,4.666666666666667,0.3333333333333333,15.666666666666666
09/12/2018,@ Iona,3-1,0,4.0,0,49.0,20.0,136.0,0.213,47.0,3.0,6.0,71.0,5.0,2.0,14.0,2.0,61.0,1.0,Iona,4,12.25,5.0,34.0,11.75,0.75,1.5,17.75,1.25,0.5,3.5,0.5,15.25
09/21/2018,Robert Morris,3-0,0,3.0,0,44.0,9.0,92.0,0.38,43.0,7.0,6.0,30.0,3.0,0.0,12.0,4.0,57.0,1.0,Robert Morris,3,14.666666666666666,3.0,30.666666666666668,14.333333333333334,2.3333333333333335,2.0,10.0,1.0,0.0,4.0,1.3333333333333333,19.0
09/22/2018,Saint Francis (PA),3-1,0,4.0,0,50.0,21.0,144.0,0.201,49.0,10.0,8.0,69.0,4.0,1.0,18.0,1.0,70.0,1.0,Saint Francis ,4,12.5,5.25,36.0,12.25,2.5,2.0,17.25,1.0,0.25,4.5,0.25,17.5
09/28/2018,@ St. Francis Brooklyn,3-0,0,3.0,0,42.0,12.0,111.0,0.27,40.0,3.0,6.0,48.0,4.0,2.0,8.0,7.0,51.0,0.0,St. Francis Brooklyn,3,14.0,4.0,37.0,13.333333333333334,1.0,2.0,16.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.3333333333333335,17.0
09/29/2018,@ LIU,1-3,0,4.0,0,62.0,24.0,166.0,0.229,55.0,5.0,6.0,81.0,2.0,2.0,10.0,2.0,74.0,1.0,LIU,4,15.5,6.0,41.5,13.75,1.25,1.5,20.25,0.5,0.5,2.5,0.5,18.5
10/05/2018,FDU,3-0,0,3.0,0,42.0,8.0,86.0,0.395,40.0,7.0,11.0,28.0,1.0,0.0,10.0,1.0,54.0,0.0,FDU,3,14.0,2.6666666666666665,28.666666666666668,13.333333333333334,2.3333333333333335,3.6666666666666665,9.333333333333334,0.3333333333333333,0.0,3.3333333333333335,0.3333333333333333,18.0
10/06/2018,Sacred Heart,3-1,0,4.0,0,53.0,21.0,122.0,0.262,52.0,7.0,5.0,46.0,8.0,5.0,18.0,0.0,74.0,1.0,Sacred Heart,4,13.25,5.25,30.5,13.0,1.75,1.25,11.5,2.0,1.25,4.5,0.0,18.5
10/12/2018,Bryant,0-3,0,3.0,0,30.0,17.0,127.0,0.102,28.0,2.0,4.0,46.0,4.0,4.0,22.0,2.0,47.0,0.0,Bryant,3,10.0,5.666666666666667,42.333333333333336,9.333333333333334,0.6666666666666666,1.3333333333333333,15.333333333333334,1.3333333333333333,1.3333333333333333,7.333333333333333,0.6666666666666666,15.666666666666666
10/19/2018,@ Robert Morris,3-1,0,4.0,0,53.0,23.0,167.0,0.18,50.0,7.0,6.0,78.0,7.0,2.0,24.0,3.0,74.0,1.0,Robert Morris,4,13.25,5.75,41.75,12.5,1.75,1.5,19.5,1.75,0.5,6.0,0.75,18.5
