date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,"UC Santa Barbara @ Oxford, Ohio",3-2,0,5.0,0,58.0,20.0,152.0,0.25,54.0,5.0,5.0,75.0,11.0,3.0,12.0,2.0,72.0,4.0,UC Santa Barbara
08/25/2018,"Saint Louis @ Oxford, Ohio",3-0,0,3.0,0,45.0,15.0,109.0,0.275,42.0,7.0,9.0,38.0,2.0,0.0,12.0,1.0,58.0,1.0,Saint Louis
08/25/2018,@ Miami (OH),2-3,0,5.0,0,61.0,22.0,157.0,0.248,57.0,7.0,11.0,59.0,7.0,1.0,12.0,1.0,75.0,2.0,Miami 
09/01/2018,"TCU @ Fort Collins, CO",3-2,0,5.0,0,58.0,28.0,165.0,0.182,58.0,6.0,11.0,63.0,8.0,1.0,12.0,0.0,71.0,1.0,TCU
09/01/2018,@ Colorado St.,3-1,0,4.0,0,58.0,19.0,143.0,0.273,55.0,6.0,12.0,54.0,5.0,2.0,18.0,1.0,75.0,3.0,Colorado St.
09/02/2018,"Florida St. @ Fort Collins, CO",3-2,0,5.0,0,63.0,19.0,159.0,0.277,61.0,11.0,10.0,49.0,4.0,1.0,10.0,1.0,80.0,2.0,Florida St.
09/07/2018,"ETSU @ Durham, N.C.",3-2,0,5.0,0,68.0,20.0,159.0,0.302,67.0,7.0,9.0,73.0,6.0,3.0,10.0,2.0,83.0,5.0,ETSU
09/07/2018,@ Duke,0-3,0,3.0,0,35.0,16.0,99.0,0.192,33.0,6.0,6.0,34.0,3.0,0.0,8.0,0.0,45.0,2.0,Duke
09/08/2018,"Coastal Carolina @ Durham, N.C.",3-2,0,5.0,0,56.0,21.0,134.0,0.261,50.0,8.0,9.0,56.0,5.0,1.0,26.0,2.0,78.0,1.0,Coastal Carolina
09/14/2018,Indiana,2-3,0,5.0,0,66.0,25.0,166.0,0.247,65.0,7.0,5.0,64.0,6.0,2.0,12.0,1.0,81.0,2.0,Indiana
09/14/2018,Eastern Ky.,3-0,0,3.0,0,47.0,13.0,108.0,0.315,41.0,6.0,5.0,50.0,2.0,2.0,4.0,1.0,57.0,0.0,Eastern Ky.
09/15/2018,Xavier,3-1,0,4.0,0,67.0,21.0,142.0,0.324,60.0,5.0,9.0,47.0,2.0,1.0,10.0,1.0,78.0,0.0,Xavier
09/18/2018,@ Western Ky.,1-3,0,4.0,0,55.0,21.0,137.0,0.248,52.0,1.0,13.0,45.0,3.0,1.0,15.0,1.0,64.5,3.0,Western Ky.
09/21/2018,@ East Carolina,3-0,0,3.0,0,53.0,10.0,103.0,0.417,52.0,5.0,10.0,46.0,0.0,0.0,6.0,0.0,61.0,1.0,East Carolina
09/28/2018,SMU,3-0,0,3.0,0,54.0,12.0,106.0,0.396,51.0,4.0,4.0,53.0,3.0,1.0,8.0,4.0,63.0,2.0,SMU
09/30/2018,Houston,3-0,0,3.0,0,40.0,14.0,98.0,0.265,36.0,6.0,4.0,62.0,0.0,1.0,14.0,2.0,54.0,1.0,Houston
10/05/2018,@ Temple,3-0,0,3.0,0,49.0,22.0,144.0,0.188,47.0,3.0,3.0,74.0,1.0,3.0,20.0,4.0,65.0,2.0,Temple
10/07/2018,@ UConn,3-1,0,4.0,0,47.0,22.0,133.0,0.188,43.0,6.0,7.0,58.0,3.0,2.0,26.0,1.0,68.0,4.0,UConn
10/12/2018,@ Tulsa,3-1,0,4.0,0,49.0,21.0,129.0,0.217,47.0,2.0,13.0,58.0,2.0,2.0,16.0,1.0,61.0,2.0,Tulsa
10/14/2018,@ Wichita St.,3-2,0,5.0,0,80.0,17.0,181.0,0.348,75.0,2.0,18.0,76.0,4.0,5.0,10.0,4.0,92.0,3.0,Wichita St.
10/17/2018,@ Dayton,3-2,0,5.0,0,60.0,21.0,157.0,0.248,59.0,11.0,8.0,64.0,4.0,5.0,14.0,4.0,83.0,1.0,Dayton
10/19/2018,South Fla.,3-0,0,3.0,0,51.0,8.0,91.0,0.473,47.0,5.0,6.0,36.0,1.0,0.0,12.0,1.0,62.0,2.0,South Fla.
10/21/2018,UCF,2-3,0,5.0,0,61.0,34.0,174.0,0.155,58.0,4.0,7.0,74.0,6.0,1.0,18.0,2.0,75.0,8.0,UCF
10/26/2018,@ Memphis,3-1,0,4.0,0,54.0,19.0,132.0,0.265,52.0,5.0,9.0,51.0,5.0,1.0,25.0,2.0,72.5,1.0,Memphis
10/28/2018,@ Tulane,1-3,0,4.0,0,52.0,28.0,150.0,0.16,49.0,2.0,8.0,69.0,4.0,0.0,12.0,0.0,60.0,3.0,Tulane
11/02/2018,Wichita St.,3-0,0,3.0,0,53.0,10.0,89.0,0.483,50.0,1.0,4.0,47.0,2.0,2.0,6.0,3.0,59.0,1.0,Wichita St.
11/04/2018,Tulsa,3-0,0,3.0,0,54.0,17.0,106.0,0.349,50.0,3.0,4.0,46.0,0.0,2.0,6.0,2.0,62.0,1.0,Tulsa
11/09/2018,@ UCF,2-3,0,5.0,0,65.0,30.0,201.0,0.174,61.0,9.0,8.0,92.0,2.0,5.0,10.0,1.0,84.0,1.0,UCF
11/11/2018,@ South Fla.,3-0,0,3.0,0,46.0,11.0,97.0,0.361,43.0,10.0,6.0,42.0,1.0,2.0,8.0,1.0,62.0,1.0,South Fla.
