date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,Central Ark.,0-3,0,3.0,0,36.0,14.0,95.0,0.232,31.0,2.0,5.0,47.0,10.0,1.0,12.0,1.0,45.0,3.0,Central Ark.
08/25/2018,Marist,3-0,0,3.0,0,42.0,13.0,97.0,0.299,39.0,5.0,6.0,47.0,6.0,1.0,14.0,1.0,55.0,1.0,Marist
08/25/2018,William & Mary,3-0,0,3.0,0,39.0,10.0,96.0,0.302,35.0,8.0,4.0,40.0,7.0,2.0,0.0,0.0,49.0,0.0,William & Mary
08/28/2018,Charlotte,3-2,0,5.0,0,67.0,29.0,204.0,0.186,65.0,4.0,9.0,84.0,2.0,3.0,20.0,4.0,84.0,0.0,Charlotte
08/31/2018,@ App State,0-3,0,3.0,0,36.0,15.0,107.0,0.196,35.0,2.0,6.0,43.0,4.0,1.0,2.0,0.0,40.0,0.0,App State
09/01/2018,"Clemson @ Boone, N.C.",0-3,0,3.0,0,37.0,12.0,107.0,0.234,33.0,2.0,1.0,40.0,3.0,3.0,2.0,1.0,43.0,0.0,Clemson
09/01/2018,"Mississippi St. @ Boone, N.C.",3-2,0,5.0,0,54.0,17.0,154.0,0.24,51.0,5.0,3.0,58.0,2.0,4.0,6.0,0.0,66.0,0.0,Mississippi St.
09/08/2018,"UNC Asheville @ Charleston, S.C.",3-0,0,3.0,0,48.0,14.0,112.0,0.304,47.0,5.0,5.0,53.0,3.0,0.0,8.0,0.0,57.0,2.0,UNC Asheville
09/08/2018,"Charleston So. @ Charleston, S.C.",3-1,0,4.0,0,53.0,14.0,148.0,0.264,51.0,2.0,9.0,87.0,1.0,2.0,14.0,0.0,64.0,0.0,Charleston So.
09/09/2018,@ Col. of Charleston,0-3,0,3.0,0,28.0,18.0,108.0,0.093,28.0,3.0,5.0,42.0,1.0,0.0,14.0,1.0,38.0,2.0,Col. of Charleston
09/21/2018,Duquesne,3-0,0,3.0,0,49.0,10.0,122.0,0.32,47.0,3.0,2.0,60.0,3.0,2.0,6.0,2.0,57.0,2.0,Duquesne
09/23/2018,La Salle,0-3,0,3.0,0,40.0,17.0,118.0,0.195,34.0,2.0,7.0,56.0,5.0,0.0,2.0,1.0,43.0,0.0,La Salle
09/28/2018,@ Dayton,1-3,0,4.0,0,35.0,16.0,117.0,0.162,34.0,7.0,11.0,47.0,5.0,0.0,4.0,0.0,44.0,4.0,Dayton
09/30/2018,@ Saint Louis,1-3,0,4.0,0,46.0,17.0,154.0,0.188,41.0,12.0,9.0,70.0,9.0,0.0,6.0,0.0,61.0,3.0,Saint Louis
10/06/2018,VCU,0-3,0,3.0,0,29.0,17.0,91.0,0.132,27.0,0.0,5.0,27.0,6.0,1.0,6.0,4.0,33.0,2.0,VCU
10/09/2018,@ N.C. Central,3-0,0,3.0,0,37.0,13.0,97.0,0.247,36.0,13.0,6.0,47.0,3.0,2.0,16.0,2.0,60.0,5.0,N.C. Central
10/12/2018,George Washington,3-1,0,4.0,0,49.0,9.0,138.0,0.29,48.0,6.0,8.0,74.0,3.0,4.0,12.0,1.0,65.0,2.0,George Washington
10/14/2018,George Mason,3-1,0,4.0,0,55.0,20.0,161.0,0.217,50.0,6.0,7.0,72.0,8.0,2.0,12.0,4.0,69.0,4.0,George Mason
10/19/2018,@ Fordham,3-1,0,4.0,0,58.0,22.0,146.0,0.247,57.0,6.0,10.0,61.0,6.0,1.0,14.0,3.0,72.0,0.0,Fordham
10/21/2018,@ Rhode Island,3-2,0,5.0,0,49.0,18.0,165.0,0.188,47.0,4.0,13.0,79.0,10.0,3.0,30.0,0.0,71.0,0.0,Rhode Island
10/26/2018,Saint Louis,0-3,0,3.0,0,20.0,17.0,93.0,0.032,19.0,6.0,3.0,42.0,10.0,0.0,4.0,0.0,28.0,3.0,Saint Louis
10/28/2018,Dayton,0-3,0,3.0,0,22.0,11.0,81.0,0.136,20.0,3.0,6.0,33.0,9.0,1.0,4.0,5.0,28.0,0.0,Dayton
11/02/2018,@ George Mason,0-3,0,3.0,0,25.0,19.0,97.0,0.062,24.0,5.0,6.0,36.0,3.0,3.0,8.0,1.0,37.0,3.0,George Mason
11/03/2018,@ George Washington,0-3,0,3.0,0,36.0,13.0,108.0,0.213,35.0,2.0,6.0,50.0,7.0,1.0,8.0,0.0,43.0,2.0,George Washington
11/10/2018,@ VCU,0-3,0,3.0,0,25.0,19.0,95.0,0.063,24.0,5.0,3.0,39.0,8.0,0.0,6.0,1.0,33.0,6.0,VCU
