date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,@ Sam Houston,3-0,0,3.0,0,42.0,16.0,152.0,0.171,38.0,4.0,8.0,76.0,2.0,3.0,22.0,1.0,60.0,3.0,Sam Houston
08/25/2018,"Bethune-Cookman @ Huntsville, Texas",3-0,0,3.0,0,41.0,14.0,114.0,0.237,39.0,6.0,5.0,53.0,3.0,1.0,8.0,3.0,52.0,1.0,Bethune-Cookman
08/25/2018,"Texas Southern @ Huntsville, Texas",3-0,0,3.0,0,34.0,14.0,86.0,0.233,32.0,5.0,9.0,49.0,1.0,0.0,15.0,0.0,46.5,0.0,Texas Southern
08/31/2018,@ Holy Cross,3-1,0,4.0,0,52.0,25.0,165.0,0.164,48.0,5.0,6.0,76.0,11.0,2.0,18.0,1.0,68.0,2.0,Holy Cross
08/31/2018,"Rhode Island @ Worcester, Mass.",3-0,0,3.0,0,38.0,11.0,78.0,0.346,37.0,8.0,10.0,27.0,5.0,3.0,16.0,0.0,57.0,0.0,Rhode Island
09/01/2018,"Columbia @ Worcester, Mass.",3-0,0,3.0,0,36.0,9.0,110.0,0.245,31.0,3.0,5.0,52.0,6.0,0.0,24.0,1.0,51.0,0.0,Columbia
09/07/2018,Eastern Ill.,3-0,0,3.0,0,53.0,18.0,156.0,0.224,51.0,3.0,2.0,81.0,2.0,0.0,14.0,0.0,63.0,0.0,Eastern Ill.
09/07/2018,South Dakota St.,3-0,0,3.0,0,54.0,17.0,132.0,0.28,49.0,4.0,5.0,59.0,3.0,0.0,10.0,0.0,63.0,1.0,South Dakota St.
09/08/2018,UMass Lowell,3-0,0,3.0,0,42.0,13.0,104.0,0.279,41.0,4.0,7.0,40.0,2.0,1.0,14.0,0.0,54.0,1.0,UMass Lowell
09/08/2018,Iowa,0-3,0,3.0,0,50.0,22.0,157.0,0.178,46.0,1.0,4.0,66.0,7.0,2.0,8.0,1.0,57.0,0.0,Iowa
09/14/2018,"Ohio @ Columbia, MO",3-2,0,5.0,0,51.0,30.0,151.0,0.139,48.0,5.0,11.0,59.0,7.0,0.0,16.0,0.0,64.0,3.0,Ohio
09/14/2018,"A&M-Corpus Christi @ Columbia, MO",3-0,0,3.0,0,45.0,13.0,116.0,0.276,42.0,5.0,8.0,53.0,2.0,3.0,8.0,0.0,57.0,1.0,A&M-Corpus Christi
09/15/2018,@ Missouri,0-3,0,3.0,0,35.0,27.0,112.0,0.071,33.0,3.0,5.0,42.0,6.0,0.0,4.0,0.0,40.0,0.0,Missouri
09/18/2018,@ Kansas,1-3,0,4.0,0,59.0,32.0,163.0,0.166,56.0,1.0,9.0,53.0,1.0,1.0,8.0,2.0,65.0,0.0,Kansas
09/21/2018,UNI,0-3,0,3.0,0,33.0,18.0,113.0,0.133,33.0,0.0,2.0,42.0,4.0,1.0,10.0,1.0,39.0,1.0,UNI
09/24/2018,Evansville,3-1,0,4.0,0,55.0,13.0,122.0,0.344,51.0,4.0,6.0,60.0,5.0,1.0,14.0,1.0,67.0,2.0,Evansville
