date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/24/2018,BYU,0-3,0,3.0,0,36.0,21.0,113.0,0.133,36.0,3.0,7.0,47.0,1.0,1.0,4.0,2.0,42.0,0.0,BYU,3,12.0,7.0,37.66666666666666,12.0,1.0,2.333333333333333,15.666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,14.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/25/2018,BYU,1-3,0,4.0,0,49.0,18.0,131.0,0.237,49.0,4.0,8.0,47.0,3.0,0.0,22.0,0.0,64.0,0.0,BYU,4,12.25,4.5,32.75,12.25,1.0,2.0,11.75,0.75,0.0,5.5,0.0,16.0,,6.0,,3.5,,18.83333333333333,,0.0665,,6.0,,0.5,,1.1666666666666665,,7.833333333333333,,0.16666666666666666,,0.6666666666666666,,0.3333333333333333,,7.0
08/31/2018,@ LSU,3-1,0,4.0,0,57.0,18.0,159.0,0.245,51.0,4.0,7.0,60.0,3.0,3.0,12.0,1.0,70.0,1.0,LSU,4,14.25,4.5,39.75,12.75,1.0,1.75,15.0,0.75,0.75,3.0,0.25,17.5,,8.083333333333334,,3.8333333333333335,,23.472222222222218,,0.12333333333333334,,8.083333333333334,,0.6666666666666666,,1.4444444444444444,,9.138888888888888,,0.1111111111111111,,2.2777777777777777,,0.2222222222222222,,10.0
08/31/2018,"South Fla. @ Baton Rouge, La.",3-1,0,4.0,0,61.0,22.0,191.0,0.204,57.0,6.0,7.0,97.0,2.0,4.0,18.0,1.0,80.0,2.0,South Fla.,4,15.25,5.5,47.75,14.25,1.5,1.75,24.25,0.5,1.0,4.5,0.25,20.0,12.833333333333334,9.625,5.333333333333333,4.0,36.72222222222222,27.541666666666664,0.205,0.15375,12.333333333333334,9.25,1.0,0.75,2.0277777777777777,1.5208333333333333,14.138888888888888,10.604166666666666,0.3611111111111111,0.2708333333333333,3.2777777777777772,2.458333333333333,0.3055555555555555,0.22916666666666666,15.833333333333334,11.875
09/01/2018,"A&M-Corpus Christi @ Baton Rouge, La.",3-2,0,5.0,0,67.0,24.0,169.0,0.254,61.0,8.0,12.0,69.0,2.0,3.0,14.0,0.0,85.0,2.0,A&M-Corpus Christi,5,13.4,4.8,33.8,12.2,1.6,2.4,13.8,0.4,0.6,2.8,0.0,17.0,13.916666666666666,10.75,4.833333333333333,4.3,40.083333333333336,31.583333333333332,0.22866666666666666,0.1638,13.083333333333334,10.25,1.1666666666666667,0.9,1.8333333333333333,1.5666666666666667,17.0,13.333333333333332,0.5833333333333334,0.41666666666666663,4.333333333333333,2.8666666666666663,0.16666666666666666,0.2333333333333333,17.833333333333332,13.5
09/04/2018,UNC Greensboro,3-0,0,3.0,0,48.0,11.0,114.0,0.325,48.0,5.0,4.0,57.0,1.0,0.0,12.0,2.0,59.0,1.0,UNC Greensboro,3,16.0,3.6666666666666665,38.0,16.0,1.6666666666666667,1.3333333333333333,19.0,0.3333333333333333,0.0,4.0,0.6666666666666666,19.666666666666668,14.299999999999999,11.191666666666668,4.933333333333334,4.383333333333334,40.43333333333333,31.952777777777772,0.2343333333333333,0.17883333333333332,13.066666666666668,10.575000000000001,1.3666666666666665,1.0166666666666666,1.9666666666666668,1.7055555555555555,17.683333333333334,13.41111111111111,0.7833333333333333,0.4472222222222222,3.4333333333333336,2.8555555555555556,0.16666666666666666,0.19444444444444442,18.166666666666668,14.083333333333334
09/07/2018,Coastal Carolina,3-0,0,3.0,0,40.0,14.0,95.0,0.274,37.0,3.0,9.0,36.0,0.0,0.0,31.0,1.0,58.5,0.0,Coastal Carolina,3,13.333333333333334,4.666666666666667,31.666666666666668,12.333333333333334,1.0,3.0,12.0,0.0,0.0,10.333333333333334,0.3333333333333333,19.5,14.883333333333333,11.87857142857143,4.655555555555556,4.280952380952381,39.85,32.81666666666666,0.26099999999999995,0.1997142857142857,14.15,11.35,1.5888888888888888,1.1095238095238096,1.8277777777777777,1.6523809523809523,19.016666666666666,14.209523809523807,0.5333333333333333,0.3833333333333333,3.766666666666667,3.019047619047619,0.3055555555555555,0.26190476190476186,18.88888888888889,14.880952380952381
09/07/2018,Cincinnati,3-0,0,3.0,0,48.0,9.0,98.0,0.398,45.0,3.0,7.0,39.0,6.0,1.0,12.0,0.0,58.0,1.0,Cincinnati,3,16.0,3.0,32.666666666666664,15.0,1.0,2.333333333333333,13.0,2.0,0.3333333333333333,4.0,0.0,19.33333333333333,14.244444444444445,12.060416666666667,4.377777777777777,4.329166666666667,34.48888888888889,32.672916666666666,0.2843333333333333,0.209,13.511111111111111,11.472916666666666,1.4222222222222223,1.0958333333333332,2.2444444444444445,1.8208333333333333,14.933333333333332,13.933333333333332,0.19999999999999998,0.33541666666666664,5.711111111111111,3.9333333333333336,0.3333333333333333,0.2708333333333333,18.722222222222225,15.458333333333334
09/08/2018,ETSU,1-3,0,4.0,0,48.0,18.0,131.0,0.229,45.0,2.0,9.0,57.0,7.0,1.0,16.0,1.0,59.0,3.0,ETSU,4,12.0,4.5,32.75,11.25,0.5,2.25,14.25,1.75,0.25,4.0,0.25,14.75,15.111111111111112,12.498148148148148,3.7777777777777772,4.181481481481481,34.11111111111111,32.672222222222224,0.33233333333333337,0.22999999999999998,14.444444444444445,11.864814814814814,1.2222222222222223,1.085185185185185,2.2222222222222223,1.8777777777777775,14.666666666666666,13.829629629629629,0.1111111111111111,0.3351851851851852,6.111111111111111,3.940740740740741,0.3333333333333333,0.24074074074074073,19.5,15.88888888888889
09/21/2018,@ Florida St.,0-3,0,3.0,0,47.0,14.0,111.0,0.297,46.0,3.0,8.0,46.0,1.0,0.0,2.0,0.0,51.0,0.0,Florida St.,3,15.666666666666666,4.666666666666667,37.0,15.333333333333334,1.0,2.6666666666666665,15.333333333333334,0.3333333333333333,0.0,0.6666666666666666,0.0,17.0,13.777777777777779,12.448333333333334,4.055555555555555,4.213333333333333,32.36111111111111,32.68,0.3003333333333334,0.2299,12.861111111111112,11.803333333333333,0.8333333333333334,1.0266666666666666,2.5277777777777777,1.9149999999999998,13.083333333333334,13.871666666666664,0.19444444444444442,0.32666666666666666,6.111111111111111,3.9466666666666668,0.19444444444444442,0.24166666666666664,17.86111111111111,15.775
