date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2018,Idaho St.,3-1,0,4.0,0,55.0,22.0,147.0,0.224,52.0,5.0,2.0,81.0,6.0,5.0,16.0,2.0,73.0,1.0,Idaho St.,4,13.75,5.5,36.75,13.0,1.25,0.5,20.25,1.5,1.25,4.0,0.5,18.25
08/24/2018,Winthrop,3-0,0,3.0,0,46.0,10.0,109.0,0.33,42.0,8.0,3.0,57.0,6.0,0.0,14.0,2.0,61.0,0.0,Winthrop,3,15.333333333333334,3.3333333333333335,36.333333333333336,14.0,2.6666666666666665,1.0,19.0,2.0,0.0,4.666666666666667,0.6666666666666666,20.333333333333332
08/25/2018,Georgetown,3-0,0,3.0,0,35.0,14.0,113.0,0.186,35.0,2.0,2.0,55.0,3.0,3.0,19.0,2.0,49.5,2.0,Georgetown,3,11.666666666666666,4.666666666666667,37.666666666666664,11.666666666666666,0.6666666666666666,0.6666666666666666,18.333333333333332,1.0,1.0,6.333333333333333,0.6666666666666666,16.5
08/25/2018,Abilene Christian,3-0,0,3.0,0,39.0,8.0,99.0,0.313,37.0,6.0,8.0,47.0,1.0,1.0,14.0,1.0,53.0,2.0,Abilene Christian,3,13.0,2.6666666666666665,33.0,12.333333333333334,2.0,2.6666666666666665,15.666666666666666,0.3333333333333333,0.3333333333333333,4.666666666666667,0.3333333333333333,17.666666666666668
08/30/2018,Alabama St.,3-0,0,3.0,0,37.0,9.0,77.0,0.364,34.0,7.0,8.0,34.0,4.0,0.0,14.0,1.0,51.0,1.0,Alabama St.,3,12.333333333333334,3.0,25.666666666666668,11.333333333333334,2.3333333333333335,2.6666666666666665,11.333333333333334,1.3333333333333333,0.0,4.666666666666667,0.3333333333333333,17.0
08/30/2018,Wofford,3-2,0,5.0,0,57.0,17.0,148.0,0.27,50.0,5.0,8.0,74.0,8.0,5.0,14.0,0.0,74.0,0.0,Wofford,5,11.4,3.4,29.6,10.0,1.0,1.6,14.8,1.6,1.0,2.8,0.0,14.8
08/31/2018,Tulane,3-1,0,4.0,0,54.0,18.0,138.0,0.261,53.0,6.0,4.0,54.0,10.0,1.0,12.0,2.0,67.0,0.0,Tulane,4,13.5,4.5,34.5,13.25,1.5,1.0,13.5,2.5,0.25,3.0,0.5,16.75
08/31/2018,South Alabama,3-2,0,5.0,0,67.0,20.0,169.0,0.278,62.0,9.0,5.0,73.0,6.0,4.0,11.0,1.0,85.5,0.0,South Alabama,5,13.4,4.0,33.8,12.4,1.8,1.0,14.6,1.2,0.8,2.2,0.2,17.1
09/07/2018,@ Alabama,0-3,0,3.0,0,26.0,19.0,91.0,0.077,23.0,4.0,7.0,36.0,8.0,2.0,6.0,0.0,35.0,1.0,Alabama,3,8.666666666666666,6.333333333333333,30.333333333333332,7.666666666666667,1.3333333333333333,2.3333333333333335,12.0,2.6666666666666665,0.6666666666666666,2.0,0.0,11.666666666666666
09/07/2018,"NIU @ Tuscaloosa, AL",3-0,0,3.0,0,51.0,19.0,136.0,0.235,46.0,4.0,9.0,64.0,2.0,1.0,2.0,0.0,57.0,1.0,NIU,3,17.0,6.333333333333333,45.333333333333336,15.333333333333334,1.3333333333333333,3.0,21.333333333333332,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,19.0
09/08/2018,"Marshall @ Tuscaloosa, AL",1-3,0,4.0,0,61.0,25.0,162.0,0.222,59.0,4.0,6.0,81.0,4.0,5.0,12.0,3.0,76.0,2.0,Marshall,4,15.25,6.25,40.5,14.75,1.0,1.5,20.25,1.0,1.25,3.0,0.75,19.0
09/14/2018,Georgia,3-2,0,5.0,0,45.0,20.0,138.0,0.181,42.0,7.0,4.0,63.0,4.0,1.0,20.0,3.0,63.0,2.0,Georgia,5,9.0,4.0,27.6,8.4,1.4,0.8,12.6,0.8,0.2,4.0,0.6,12.6
