date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,"Furman @ Athens, Ga.",3-1,0,4.0,0,56.0,15.0,137.0,0.299,52.0,10.0,8.0,49.0,3.0,4.0,12.0,0.0,76.0,0.0,Furman
08/25/2018,"Coastal Carolina @ Athens, Ga.",3-0,0,3.0,0,40.0,13.0,97.0,0.278,40.0,5.0,5.0,53.0,1.0,2.0,12.0,0.0,53.0,0.0,Coastal Carolina
08/25/2018,@ Georgia,1-3,0,4.0,0,51.0,19.0,159.0,0.201,48.0,5.0,5.0,71.0,6.0,0.0,4.0,3.0,58.0,0.0,Georgia
08/31/2018,"Eastern Ill. @ Indianapolis, Ind.",3-0,0,3.0,0,55.0,13.0,126.0,0.333,52.0,0.0,8.0,67.0,3.0,1.0,14.0,1.0,63.0,0.0,Eastern Ill.
09/01/2018,"Auburn @ Indianapolis, Ind.",3-1,0,4.0,0,52.0,18.0,124.0,0.274,48.0,5.0,5.0,54.0,5.0,1.0,22.0,4.0,69.0,4.0,Auburn
09/01/2018,@ Butler,3-0,0,3.0,0,37.0,13.0,93.0,0.258,33.0,4.0,0.0,42.0,2.0,0.0,12.0,1.0,47.0,1.0,Butler
09/07/2018,"Stony Brook @ Pullman, Wash.",3-0,0,3.0,0,43.0,12.0,100.0,0.31,41.0,6.0,6.0,52.0,2.0,3.0,10.0,4.0,57.0,0.0,Stony Brook
09/07/2018,@ Washington St.,1-3,0,4.0,0,51.0,25.0,157.0,0.166,45.0,2.0,8.0,56.0,3.0,1.0,6.0,2.0,57.0,2.0,Washington St.
09/08/2018,"McNeese @ Pullman, Wash.",3-0,0,3.0,0,48.0,18.0,109.0,0.275,46.0,4.0,9.0,47.0,1.0,4.0,8.0,0.0,60.0,1.0,McNeese
09/14/2018,"Tulsa @ Milwaukee, Wis.",3-1,0,4.0,0,57.0,23.0,161.0,0.211,55.0,7.0,8.0,78.0,5.0,1.0,18.0,0.0,74.0,1.0,Tulsa
09/15/2018,@ Marquette,0-3,0,3.0,0,37.0,15.0,111.0,0.198,35.0,2.0,9.0,51.0,8.0,0.0,12.0,2.0,45.0,1.0,Marquette
09/15/2018,"Wisconsin @ Milwaukee, Wis.",1-3,0,4.0,0,48.0,34.0,145.0,0.097,47.0,1.0,7.0,52.0,4.0,2.0,8.0,4.0,55.0,2.0,Wisconsin
09/21/2018,@ Missouri St.,3-0,0,3.0,0,49.0,10.0,110.0,0.355,44.0,4.0,7.0,58.0,2.0,1.0,8.0,1.0,58.0,0.0,Missouri St.
09/22/2018,@ Southern Ill.,3-0,0,3.0,0,47.0,13.0,120.0,0.283,41.0,4.0,6.0,55.0,2.0,1.0,12.0,0.0,58.0,0.0,Southern Ill.
09/28/2018,Evansville,3-0,0,3.0,0,38.0,8.0,88.0,0.341,33.0,2.0,4.0,47.0,1.0,0.0,14.0,0.0,47.0,0.0,Evansville
09/29/2018,Indiana St.,3-1,0,4.0,0,59.0,16.0,169.0,0.254,57.0,4.0,10.0,73.0,0.0,2.0,16.0,2.0,73.0,1.0,Indiana St.
10/05/2018,@ UNI,0-3,0,3.0,0,29.0,16.0,112.0,0.116,26.0,1.0,5.0,42.0,4.0,1.0,8.0,1.0,35.0,1.0,UNI
10/06/2018,@ Drake,3-1,0,4.0,0,58.0,21.0,188.0,0.197,56.0,6.0,14.0,88.0,2.0,3.0,24.0,2.0,79.0,4.0,Drake
10/12/2018,Valparaiso,3-1,0,4.0,0,66.0,22.0,173.0,0.254,65.0,4.0,10.0,90.0,2.0,2.0,11.0,1.0,77.5,0.0,Valparaiso
10/13/2018,Loyola Chicago,3-0,0,3.0,0,51.0,14.0,116.0,0.319,47.0,7.0,7.0,53.0,2.0,1.0,12.0,2.0,65.0,0.0,Loyola Chicago
