date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2018,"Stony Brook @ Tampa, Fla.",2-3,0,5.0,0,53.0,19.0,155.0,0.219,52.0,12.0,13.0,57.0,6.0,1.0,8.0,3.0,70.0,4.0,Stony Brook,5,10.6,3.8,31.0,10.4,2.4,2.6,11.4,1.2,0.2,1.6,0.6,14.0
08/24/2018,@ South Fla.,2-3,0,5.0,0,63.0,38.0,182.0,0.137,58.0,10.0,12.0,67.0,7.0,0.0,4.0,1.0,75.0,3.0,South Fla.,5,12.6,7.6,36.4,11.6,2.0,2.4,13.4,1.4,0.0,0.8,0.2,15.0
08/25/2018,"San Jose St. @ Tampa, FL",0-3,0,3.0,0,28.0,12.0,94.0,0.17,26.0,2.0,11.0,26.0,2.0,0.0,11.0,3.0,35.5,1.0,San Jose St.,3,9.333333333333334,4.0,31.333333333333332,8.666666666666666,0.6666666666666666,3.6666666666666665,8.666666666666666,0.6666666666666666,0.0,3.6666666666666665,1.0,11.833333333333334
08/31/2018,"High Point @ Kennesaw, Ga.",1-3,0,4.0,0,28.0,16.0,103.0,0.117,26.0,3.0,13.0,37.0,8.0,1.0,10.0,0.0,37.0,1.0,High Point,4,7.0,4.0,25.75,6.5,0.75,3.25,9.25,2.0,0.25,2.5,0.0,9.25
08/31/2018,"Presbyterian @ Kennesaw, Ga.",0-3,0,3.0,0,26.0,21.0,95.0,0.053,25.0,3.0,7.0,34.0,7.0,0.0,14.0,0.0,36.0,2.0,Presbyterian,3,8.666666666666666,7.0,31.666666666666668,8.333333333333334,1.0,2.3333333333333335,11.333333333333334,2.333333333333333,0.0,4.666666666666667,0.0,12.0
09/07/2018,"Alabama A&M @ Macon, Ga.",3-0,0,3.0,0,38.0,17.0,113.0,0.186,34.0,13.0,7.0,28.0,4.0,2.0,16.0,0.0,61.0,0.0,Alabama A&M,3,12.666666666666666,5.666666666666667,37.666666666666664,11.333333333333334,4.333333333333333,2.3333333333333335,9.333333333333334,1.3333333333333333,0.6666666666666666,5.333333333333333,0.0,20.333333333333332
09/07/2018,"UT Martin @ Macon, Ga.",1-3,0,4.0,0,43.0,23.0,128.0,0.156,40.0,7.0,10.0,44.0,7.0,3.0,10.0,1.0,58.0,0.0,UT Martin,4,10.75,5.75,32.0,10.0,1.75,2.5,11.0,1.75,0.75,2.5,0.25,14.5
09/08/2018,@ Mercer,1-3,0,4.0,0,37.0,30.0,144.0,0.049,34.0,9.0,11.0,59.0,6.0,5.0,8.0,0.0,55.0,0.0,Mercer,4,9.25,7.5,36.0,8.5,2.25,2.75,14.75,1.5,1.25,2.0,0.0,13.75
09/11/2018,North Dakota,1-3,0,4.0,0,58.0,24.0,153.0,0.222,54.0,4.0,13.0,60.0,3.0,3.0,7.0,1.0,68.5,2.0,North Dakota,4,14.5,6.0,38.25,13.5,1.0,3.25,15.0,0.75,0.75,1.75,0.25,17.125
09/14/2018,@ Florida,1-3,0,4.0,0,38.0,33.0,120.0,0.042,34.0,2.0,10.0,37.0,9.0,1.0,6.0,1.0,44.0,1.0,Florida,4,9.5,8.25,30.0,8.5,0.5,2.5,9.25,2.25,0.25,1.5,0.25,11.0
09/14/2018,"Army West Point @ Gainesville, Fla.",1-3,0,4.0,0,48.0,28.0,126.0,0.159,46.0,7.0,13.0,36.0,3.0,1.0,6.0,1.0,59.0,1.0,Army West Point,4,12.0,7.0,31.5,11.5,1.75,3.25,9.0,0.75,0.25,1.5,0.25,14.75
09/15/2018,"FIU @ Gainesville, Fla.",2-3,0,5.0,0,56.0,26.0,144.0,0.208,50.0,3.0,14.0,45.0,9.0,0.0,14.0,1.0,66.0,0.0,FIU,5,11.2,5.2,28.8,10.0,0.6,2.8,9.0,1.8,0.0,2.8,0.2,13.2
09/18/2018,@ Stetson,1-3,0,4.0,0,56.0,27.0,159.0,0.182,52.0,6.0,13.0,56.0,4.0,2.0,16.0,2.0,72.0,1.0,Stetson,4,14.0,6.75,39.75,13.0,1.5,3.25,14.0,1.0,0.5,4.0,0.5,18.0
09/21/2018,FGCU,0-3,0,3.0,0,26.0,16.0,97.0,0.103,24.0,2.0,6.0,34.0,7.0,1.0,2.0,2.0,30.0,3.0,FGCU,3,8.666666666666666,5.333333333333333,32.333333333333336,8.0,0.6666666666666666,2.0,11.333333333333334,2.333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,10.0
09/22/2018,Liberty,0-3,0,3.0,0,30.0,19.0,96.0,0.115,29.0,7.0,12.0,23.0,3.0,3.0,2.0,1.0,41.0,1.0,Liberty,3,10.0,6.333333333333333,32.0,9.666666666666666,2.3333333333333335,4.0,7.666666666666667,1.0,1.0,0.6666666666666666,0.3333333333333333,13.666666666666666
09/25/2018,@ North Florida,0-3,0,3.0,0,36.0,20.0,113.0,0.142,33.0,8.0,8.0,38.0,2.0,1.0,0.0,2.0,45.0,1.0,North Florida,3,12.0,6.666666666666667,37.666666666666664,11.0,2.6666666666666665,2.6666666666666665,12.666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,15.0
10/05/2018,North Ala.,3-0,0,3.0,0,47.0,10.0,110.0,0.336,45.0,8.0,10.0,49.0,5.0,3.0,0.0,1.0,58.0,4.0,North Ala.,3,15.666666666666666,3.3333333333333335,36.666666666666664,15.0,2.6666666666666665,3.3333333333333335,16.333333333333332,1.6666666666666667,1.0,0.0,0.3333333333333333,19.333333333333332
10/06/2018,NJIT,2-3,0,5.0,0,47.0,30.0,168.0,0.101,46.0,10.0,9.0,83.0,6.0,8.0,0.0,3.0,65.0,1.0,NJIT,5,9.4,6.0,33.6,9.2,2.0,1.8,16.6,1.2,1.6,0.0,0.6,13.0
10/12/2018,@ Kennesaw St.,0-3,0,3.0,0,26.0,15.0,80.0,0.138,26.0,1.0,10.0,22.0,7.0,0.0,0.0,0.0,27.0,1.0,Kennesaw St.,3,8.666666666666666,5.0,26.666666666666668,8.666666666666666,0.3333333333333333,3.3333333333333335,7.333333333333333,2.333333333333333,0.0,0.0,0.0,9.0
10/13/2018,@ Lipscomb,0-3,0,3.0,0,17.0,14.0,74.0,0.041,16.0,0.0,6.0,29.0,6.0,1.0,0.0,3.0,18.0,4.0,Lipscomb,3,5.666666666666667,4.666666666666667,24.666666666666668,5.333333333333333,0.0,2.0,9.666666666666666,2.0,0.3333333333333333,0.0,1.0,6.0
10/16/2018,Stetson,3-2,0,5.0,0,65.0,30.0,183.0,0.191,56.0,11.0,17.0,71.0,5.0,4.0,12.0,2.0,86.0,3.0,Stetson,5,13.0,6.0,36.6,11.2,2.2,3.4,14.2,1.0,0.8,2.4,0.4,17.2
10/19/2018,@ Liberty,0-3,0,3.0,0,27.0,25.0,97.0,0.021,26.0,3.0,6.0,38.0,4.0,2.0,6.0,1.0,35.0,1.0,Liberty,3,9.0,8.333333333333334,32.333333333333336,8.666666666666666,1.0,2.0,12.666666666666666,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,11.666666666666666
10/21/2018,@ FGCU,0-3,0,3.0,0,31.0,26.0,106.0,0.047,30.0,1.0,8.0,45.0,3.0,1.0,0.0,0.0,33.0,2.0,FGCU,3,10.333333333333334,8.666666666666666,35.333333333333336,10.0,0.3333333333333333,2.6666666666666665,15.0,1.0,0.3333333333333333,0.0,0.0,11.0
