date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,Bradley,3-2,0,5.0,0,65.0,24.0,177.0,0.232,62.0,1.0,8.0,85.0,2.0,5.0,20.0,3.0,81.0,0.0,Bradley
08/24/2018,St. Francis Brooklyn,3-0,0,3.0,0,40.0,9.0,99.0,0.313,34.0,6.0,6.0,38.0,2.0,2.0,24.0,1.0,60.0,1.0,St. Francis Brooklyn
08/25/2018,Hampton,3-0,0,3.0,0,36.0,8.0,72.0,0.389,33.0,8.0,7.0,35.0,5.0,1.0,10.0,4.0,50.0,0.0,Hampton
08/28/2018,@ Marshall,2-3,0,5.0,0,57.0,26.0,156.0,0.199,56.0,1.0,8.0,71.0,3.0,4.0,16.0,3.0,70.0,1.0,Marshall
08/31/2018,Mercer,3-0,0,3.0,0,39.0,14.0,98.0,0.255,35.0,6.0,6.0,44.0,0.0,1.0,16.0,1.0,54.0,0.0,Mercer
08/31/2018,Saint Francis (PA),3-0,0,3.0,0,41.0,10.0,108.0,0.287,39.0,3.0,4.0,57.0,4.0,0.0,18.0,6.0,53.0,2.0,Saint Francis 
09/01/2018,Wright St.,0-3,0,3.0,0,40.0,18.0,112.0,0.196,40.0,4.0,5.0,42.0,6.0,2.0,8.0,1.0,50.0,3.0,Wright St.
09/07/2018,@ Toledo,3-1,0,4.0,0,59.0,20.0,155.0,0.252,55.0,1.0,9.0,69.0,3.0,0.0,12.0,0.0,66.0,1.0,Toledo
09/08/2018,"Manhattan @ Toledo, Ohio",3-0,0,3.0,0,36.0,21.0,92.0,0.163,33.0,8.0,11.0,37.0,0.0,1.0,10.0,1.0,50.0,1.0,Manhattan
09/08/2018,"Duquesne @ Toledo, OH",3-0,0,3.0,0,40.0,17.0,111.0,0.207,38.0,8.0,9.0,57.0,0.0,1.0,6.0,0.0,52.0,2.0,Duquesne
09/14/2018,"Penn @ Morgantown, W.Va.",3-0,0,3.0,0,43.0,17.0,101.0,0.257,40.0,2.0,11.0,46.0,3.0,2.0,12.0,1.0,53.0,4.0,Penn
09/14/2018,@ West Virginia,2-3,0,5.0,0,45.0,36.0,153.0,0.059,42.0,5.0,7.0,63.0,2.0,1.0,18.0,3.0,60.0,5.0,West Virginia
09/15/2018,"Wake Forest @ Morgantown, W.Va.",1-3,0,4.0,0,55.0,23.0,130.0,0.246,49.0,9.0,18.0,40.0,3.0,1.0,4.0,0.0,67.0,2.0,Wake Forest
09/21/2018,Jacksonville St.,3-2,0,5.0,0,68.0,26.0,160.0,0.262,64.0,8.0,6.0,63.0,3.0,1.0,16.0,6.0,85.0,6.0,Jacksonville St.
09/22/2018,Tennessee Tech,3-0,0,3.0,0,46.0,19.0,113.0,0.239,45.0,5.0,7.0,49.0,5.0,1.0,14.0,1.0,59.0,1.0,Tennessee Tech
09/26/2018,Eastern Ky.,3-0,0,3.0,0,48.0,17.0,124.0,0.25,44.0,4.0,3.0,48.0,3.0,0.0,8.0,2.0,56.0,2.0,Eastern Ky.
09/29/2018,@ Austin Peay,0-3,0,3.0,0,29.0,15.0,111.0,0.126,29.0,4.0,3.0,58.0,5.0,4.0,10.0,3.0,42.0,4.0,Austin Peay
10/05/2018,@ Belmont,3-0,0,3.0,0,41.0,15.0,109.0,0.239,40.0,2.0,3.0,58.0,4.0,3.0,20.0,0.0,56.0,2.0,Belmont
10/06/2018,@ Tennessee St.,3-0,0,3.0,0,40.0,17.0,114.0,0.202,38.0,5.0,7.0,48.0,2.0,0.0,12.0,1.0,51.0,3.0,Tennessee St.
10/10/2018,UT Martin,3-1,0,4.0,0,61.0,26.0,167.0,0.21,53.0,4.0,5.0,84.0,5.0,2.0,10.0,2.0,72.0,5.0,UT Martin
10/13/2018,Southeast Mo. St.,3-1,0,4.0,0,63.0,18.0,152.0,0.296,61.0,4.0,6.0,77.0,3.0,1.0,12.0,0.0,74.0,2.0,Southeast Mo. St.
10/19/2018,@ SIUE,1-3,0,4.0,0,45.0,30.0,168.0,0.089,42.0,2.0,6.0,72.0,4.0,0.0,18.0,0.0,56.0,1.0,SIUE
10/20/2018,@ Eastern Ill.,0-3,0,3.0,0,34.0,20.0,122.0,0.115,32.0,4.0,6.0,48.0,7.0,0.0,6.0,1.0,41.0,0.0,Eastern Ill.
10/26/2018,@ Tennessee Tech,3-1,0,4.0,0,49.0,15.0,137.0,0.248,44.0,5.0,10.0,68.0,2.0,7.0,12.0,0.0,67.0,2.0,Tennessee Tech
