date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2018,@ Arizona St.,0-3,0,3.0,0,27.0,16.0,97.0,0.113,25.0,2.0,8.0,40.0,10.0,0.0,16.0,1.0,37.0,0.0,Arizona St.,3,9.0,5.333333333333333,32.333333333333336,8.333333333333334,0.6666666666666666,2.6666666666666665,13.333333333333334,3.333333333333333,0.0,5.333333333333333,0.3333333333333333,12.333333333333334
08/24/2018,"Pacific @ Tempe, Ariz.",3-1,0,4.0,0,43.0,18.0,134.0,0.187,38.0,3.0,8.0,45.0,8.0,3.0,14.0,1.0,56.0,1.0,Pacific,4,10.75,4.5,33.5,9.5,0.75,2.0,11.25,2.0,0.75,3.5,0.25,14.0
08/25/2018,"UT Arlington @ Tempe, Ariz.",3-0,0,3.0,0,41.0,8.0,102.0,0.324,40.0,5.0,5.0,51.0,3.0,3.0,10.0,0.0,54.0,2.0,UT Arlington,3,13.666666666666666,2.6666666666666665,34.0,13.333333333333334,1.6666666666666667,1.6666666666666667,17.0,1.0,1.0,3.3333333333333335,0.0,18.0
08/31/2018,"FGCU @ Albuquerque, N.M.",0-3,0,3.0,0,25.0,23.0,103.0,0.019,24.0,3.0,2.0,48.0,1.0,1.0,8.0,2.0,33.0,1.0,FGCU,3,8.333333333333334,7.666666666666667,34.333333333333336,8.0,1.0,0.6666666666666666,16.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,11.0
08/31/2018,"Eastern Ky. @ Albuquerque, N.M.",3-2,0,5.0,0,69.0,28.0,165.0,0.248,63.0,7.0,10.0,70.0,8.0,0.0,18.0,2.0,85.0,0.0,Eastern Ky.,5,13.8,5.6,33.0,12.6,1.4,2.0,14.0,1.6,0.0,3.6,0.4,17.0
09/01/2018,@ New Mexico,3-0,0,3.0,0,45.0,14.0,103.0,0.301,42.0,4.0,10.0,40.0,2.0,1.0,14.0,1.0,57.0,4.0,New Mexico,3,15.0,4.666666666666667,34.333333333333336,14.0,1.3333333333333333,3.3333333333333335,13.333333333333334,0.6666666666666666,0.3333333333333333,4.666666666666667,0.3333333333333333,19.0
09/04/2018,Grambling,3-0,0,3.0,0,47.0,13.0,99.0,0.343,44.0,3.0,8.0,39.0,1.0,0.0,6.0,0.0,53.0,1.0,Grambling,3,15.666666666666666,4.333333333333333,33.0,14.666666666666666,1.0,2.6666666666666665,13.0,0.3333333333333333,0.0,2.0,0.0,17.666666666666668
09/07/2018,Montana,3-2,0,5.0,0,60.0,24.0,164.0,0.22,55.0,5.0,6.0,64.0,4.0,2.0,12.0,0.0,73.0,1.0,Montana,5,12.0,4.8,32.8,11.0,1.0,1.2,12.8,0.8,0.4,2.4,0.0,14.6
09/08/2018,Arizona,3-2,0,5.0,0,58.0,22.0,158.0,0.228,55.0,6.0,3.0,60.0,4.0,4.0,12.0,4.0,74.0,1.0,Arizona,5,11.6,4.4,31.6,11.0,1.2,0.6,12.0,0.8,0.8,2.4,0.8,14.8
09/09/2018,@ UTEP,3-0,0,3.0,0,43.0,11.0,94.0,0.34,42.0,6.0,5.0,35.0,3.0,0.0,10.0,3.0,54.0,0.0,UTEP,3,14.333333333333334,3.6666666666666665,31.333333333333332,14.0,2.0,1.6666666666666667,11.666666666666666,1.0,0.0,3.3333333333333335,1.0,18.0
09/14/2018,@ Arizona,0-3,0,3.0,0,28.0,18.0,106.0,0.094,27.0,3.0,9.0,45.0,3.0,1.0,4.0,0.0,34.0,0.0,Arizona,3,9.333333333333334,6.0,35.333333333333336,9.0,1.0,3.0,15.0,1.0,0.3333333333333333,1.3333333333333333,0.0,11.333333333333334
09/14/2018,"UC Davis @ Tucson, Ariz.",3-2,0,5.0,0,50.0,26.0,165.0,0.145,48.0,6.0,8.0,68.0,8.0,0.0,14.0,3.0,63.0,2.0,UC Davis,5,10.0,5.2,33.0,9.6,1.2,1.6,13.6,1.6,0.0,2.8,0.6,12.6
09/15/2018,"UT Martin @ Tucson, Ariz.",3-0,0,3.0,0,32.0,11.0,94.0,0.223,32.0,8.0,4.0,41.0,3.0,3.0,22.0,0.0,54.0,0.0,UT Martin,3,10.666666666666666,3.6666666666666665,31.333333333333332,10.666666666666666,2.6666666666666665,1.3333333333333333,13.666666666666666,1.0,1.0,7.333333333333333,0.0,18.0
09/20/2018,@ California Baptist,2-3,0,5.0,0,67.0,27.0,170.0,0.235,63.0,3.0,4.0,73.0,8.0,1.0,16.0,1.0,79.0,0.0,California Baptist,5,13.4,5.4,34.0,12.6,0.6,0.8,14.6,1.6,0.2,3.2,0.2,15.8
09/22/2018,@ CSU Bakersfield,2-3,0,5.0,0,49.0,25.0,143.0,0.168,47.0,7.0,5.0,63.0,8.0,2.0,14.0,4.0,65.0,0.0,CSU Bakersfield,5,9.8,5.0,28.6,9.4,1.4,1.0,12.6,1.6,0.4,2.8,0.8,13.0
09/27/2018,Seattle U,3-1,0,4.0,0,52.0,28.0,169.0,0.142,47.0,11.0,6.0,90.0,7.0,5.0,18.0,4.0,77.0,0.0,Seattle U,4,13.0,7.0,42.25,11.75,2.75,1.5,22.5,1.75,1.25,4.5,1.0,19.25
09/29/2018,Grand Canyon,3-0,0,3.0,0,47.0,12.0,100.0,0.35,41.0,3.0,4.0,32.0,3.0,1.0,18.0,1.0,60.0,1.0,Grand Canyon,3,15.666666666666666,4.0,33.333333333333336,13.666666666666666,1.0,1.3333333333333333,10.666666666666666,1.0,0.3333333333333333,6.0,0.3333333333333333,20.0
10/04/2018,@ Kansas City,3-0,0,3.0,0,42.0,11.0,88.0,0.352,39.0,5.0,5.0,33.0,1.0,0.0,26.0,2.0,60.0,1.0,Kansas City,3,14.0,3.6666666666666665,29.333333333333332,13.0,1.6666666666666667,1.6666666666666667,11.0,0.3333333333333333,0.0,8.666666666666666,0.6666666666666666,20.0
10/06/2018,@ Chicago St.,3-0,0,3.0,0,43.0,14.0,105.0,0.276,42.0,1.0,7.0,52.0,1.0,1.0,20.0,1.0,55.0,1.0,Chicago St.,3,14.333333333333334,4.666666666666667,35.0,14.0,0.3333333333333333,2.3333333333333335,17.333333333333332,0.3333333333333333,0.3333333333333333,6.666666666666667,0.3333333333333333,18.333333333333332
10/13/2018,@ UTRGV,3-2,0,5.0,0,63.0,24.0,191.0,0.204,59.0,6.0,13.0,83.0,4.0,1.0,16.0,3.0,78.0,5.0,UTRGV,5,12.6,4.8,38.2,11.8,1.2,2.6,16.6,0.8,0.2,3.2,0.6,15.6
10/18/2018,Utah Valley,3-1,0,4.0,0,68.0,24.0,182.0,0.242,67.0,5.0,3.0,86.0,8.0,1.0,14.0,1.0,81.0,4.0,Utah Valley,4,17.0,6.0,45.5,16.75,1.25,0.75,21.5,2.0,0.25,3.5,0.25,20.25
