date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/24/2018,@ Wyoming,0-3,0,3.0,0,25.0,24.0,91.0,0.011,24.0,0.0,4.0,30.0,7.0,1.0,6.0,2.0,29.0,1.0,Wyoming,3,8.333333333333334,8.0,30.33333333333333,8.0,0.0,1.3333333333333333,10.0,2.333333333333333,0.3333333333333333,2.0,0.6666666666666666,9.666666666666666,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/24/2018,"Colorado @ Laramie, Wyo.",0-3,0,3.0,0,35.0,19.0,103.0,0.155,32.0,2.0,6.0,31.0,2.0,0.0,12.0,0.0,43.0,2.0,Colorado,3,11.666666666666666,6.333333333333333,34.333333333333336,10.666666666666666,0.6666666666666666,2.0,10.333333333333334,0.6666666666666666,0.0,4.0,0.0,14.333333333333334,,4.166666666666667,,4.0,,15.166666666666664,,0.0055,,4.0,,0.0,,0.6666666666666666,,5.0,,0.16666666666666666,,1.0,,0.3333333333333333,,4.833333333333333
08/25/2018,"Oral Roberts @ Laramie, Wyo.",1-3,0,4.0,0,57.0,28.0,153.0,0.19,54.0,4.0,7.0,46.0,2.0,1.0,16.0,6.0,70.0,0.0,Oral Roberts,4,14.25,7.0,38.25,13.5,1.0,1.75,11.5,0.5,0.25,4.0,1.5,17.5,,6.666666666666667,,4.777777777777778,,21.555555555555554,,0.05533333333333334,,6.222222222222221,,0.2222222222222222,,1.111111111111111,,6.777777777777779,,0.1111111111111111,,2.0,,0.2222222222222222,,8.0
08/31/2018,"Indiana St. @ Knoxville, TN",1-3,0,4.0,0,46.0,18.0,139.0,0.201,45.0,7.0,8.0,65.0,6.0,0.0,14.0,3.0,60.0,0.0,Indiana St.,4,11.5,4.5,34.75,11.25,1.75,2.0,16.25,1.5,0.0,3.5,0.75,15.0,11.416666666666666,8.5625,7.111111111111111,5.333333333333333,34.30555555555555,25.729166666666664,0.11866666666666666,0.089,10.722222222222221,8.041666666666666,0.5555555555555555,0.41666666666666663,1.6944444444444444,1.2708333333333333,10.611111111111112,7.958333333333334,0.19444444444444442,0.14583333333333331,3.3333333333333335,2.5,0.7222222222222222,0.5416666666666666,13.833333333333334,10.375
09/01/2018,@ Tennessee,1-3,0,4.0,0,38.0,26.0,144.0,0.083,35.0,2.0,7.0,54.0,6.0,2.0,14.0,1.0,49.0,0.0,Tennessee,4,9.5,6.5,36.0,8.75,0.5,1.75,13.5,1.5,0.5,3.5,0.25,12.25,12.472222222222221,9.15,5.944444444444444,5.166666666666666,35.77777777777778,27.53333333333333,0.18200000000000002,0.11139999999999999,11.805555555555555,8.683333333333334,1.1388888888888888,0.6833333333333333,1.9166666666666667,1.4166666666666665,12.694444444444445,9.616666666666667,0.08333333333333333,0.11666666666666665,3.8333333333333335,2.7,0.75,0.5833333333333333,15.611111111111112,11.3
09/01/2018,"Winthrop @ Knoxville, Tenn.",2-3,0,5.0,0,59.0,25.0,170.0,0.2,54.0,4.0,6.0,74.0,6.0,1.0,16.0,5.0,72.0,0.0,Winthrop,5,11.8,5.0,34.0,10.8,0.8,1.2,14.8,1.2,0.2,3.2,1.0,14.4,11.75,9.208333333333334,6.0,5.388888888888888,36.333333333333336,28.944444444444443,0.158,0.10666666666666665,11.166666666666666,8.694444444444445,1.0833333333333333,0.6527777777777778,1.8333333333333333,1.472222222222222,13.75,10.26388888888889,0.25,0.18055555555555555,3.6666666666666665,2.8333333333333335,0.8333333333333334,0.5277777777777778,14.916666666666666,11.458333333333334
09/04/2018,@ Ga. Southern,3-1,0,4.0,0,58.0,22.0,132.0,0.273,56.0,6.0,6.0,44.0,3.0,4.0,10.0,3.0,73.0,3.0,Ga. Southern,4,14.5,5.5,33.0,14.0,1.5,1.5,11.0,0.75,1.0,2.5,0.75,18.25,10.933333333333332,9.578571428571427,5.333333333333333,5.333333333333333,34.916666666666664,29.666666666666664,0.16133333333333336,0.11999999999999998,10.266666666666667,8.995238095238095,1.0166666666666666,0.6738095238095239,1.6500000000000001,1.4333333333333331,14.85,10.911904761904763,0.2333333333333333,0.18333333333333332,3.4,2.8857142857142857,0.6666666666666666,0.5952380952380951,13.883333333333333,11.87857142857143
09/07/2018,New Mexico,2-3,0,5.0,0,65.0,22.0,158.0,0.272,64.0,4.0,8.0,74.0,7.0,1.0,26.0,1.0,83.0,10.0,New Mexico,5,13.0,4.4,31.6,12.8,0.8,1.6,14.8,1.4,0.2,5.2,0.2,16.6,11.933333333333332,10.19375,5.666666666666667,5.354166666666666,34.333333333333336,30.083333333333332,0.18533333333333335,0.139125,11.183333333333335,9.620833333333334,0.9333333333333332,0.7770833333333333,1.4833333333333334,1.4416666666666664,13.1,10.922916666666667,0.5666666666666667,0.28541666666666665,3.0666666666666664,2.8375,0.6666666666666666,0.6145833333333333,14.966666666666667,12.675
09/08/2018,USC Upstate,3-1,0,4.0,0,55.0,21.0,153.0,0.222,52.0,4.0,5.0,70.0,5.0,3.0,20.0,0.0,72.0,2.0,USC Upstate,4,13.75,5.25,38.25,13.0,1.0,1.25,17.5,1.25,0.75,5.0,0.0,18.0,13.1,10.505555555555555,4.966666666666668,5.248148148148148,32.86666666666667,30.25185185185185,0.24833333333333338,0.15388888888888888,12.533333333333333,9.974074074074075,1.0333333333333334,0.7796296296296297,1.4333333333333333,1.459259259259259,13.533333333333333,11.353703703703705,0.4666666666666666,0.2759259259259259,3.6333333333333333,3.0999999999999996,0.65,0.5685185185185184,16.416666666666668,13.11111111111111
09/08/2018,Furman,1-3,0,4.0,0,48.0,23.0,153.0,0.163,46.0,2.0,1.0,64.0,9.0,1.0,10.0,1.0,56.0,3.0,Furman,4,12.0,5.75,38.25,11.5,0.5,0.25,16.0,2.25,0.25,2.5,0.25,14.0,13.75,10.83,5.050000000000001,5.248333333333333,34.28333333333333,31.051666666666666,0.2556666666666667,0.1607,13.266666666666666,10.276666666666667,1.0999999999999999,0.8016666666666665,1.45,1.438333333333333,14.433333333333332,11.968333333333334,0.65,0.32333333333333336,4.233333333333333,3.29,0.31666666666666665,0.5116666666666666,17.616666666666667,13.6
