date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,"Sacred Heart @ Chestnut Hill, Mass.",0-3,0,3.0,0,23.0,25.0,88.0,-0.023,21.0,3.0,5.0,26.0,4.0,1.0,4.0,0.0,29.0,3.0,Sacred Heart
08/25/2018,@ Boston College,0-3,0,3.0,0,28.0,35.0,110.0,-0.064,25.0,2.0,7.0,41.0,4.0,2.0,4.0,0.0,34.0,1.0,Boston College
08/25/2018,"Hartford @ Chesnut Hill, Mass.",3-0,0,3.0,0,42.0,14.0,89.0,0.315,38.0,11.0,6.0,46.0,4.0,0.0,6.0,0.0,56.0,0.0,Hartford
08/31/2018,UMass Lowell,3-1,0,4.0,0,51.0,31.0,133.0,0.15,51.0,6.0,10.0,55.0,2.0,0.0,16.0,0.0,65.0,0.0,UMass Lowell
09/01/2018,Brown,3-1,0,4.0,0,58.0,19.0,170.0,0.229,54.0,11.0,10.0,77.0,10.0,3.0,14.0,0.0,79.0,1.0,Brown
09/01/2018,FDU,3-0,0,3.0,0,50.0,14.0,108.0,0.333,45.0,2.0,10.0,49.0,2.0,2.0,14.0,0.0,61.0,2.0,FDU
09/07/2018,"Arkansas St. @ Kansas City, Mo.",0-3,0,3.0,0,32.0,16.0,99.0,0.162,30.0,3.0,6.0,39.0,4.0,1.0,18.0,0.0,45.0,0.0,Arkansas St.
09/07/2018,"SIUE @ Kansas City, Mo.",3-0,0,3.0,0,43.0,16.0,98.0,0.276,41.0,3.0,7.0,42.0,3.0,5.0,6.0,0.0,54.0,0.0,SIUE
09/08/2018,"Southeast Mo. St. @ Kansas City, Mo.",3-2,0,5.0,0,71.0,25.0,186.0,0.247,63.0,6.0,10.0,90.0,8.0,2.0,4.0,0.0,81.0,1.0,Southeast Mo. St.
09/08/2018,@ Kansas City,0-3,0,3.0,0,39.0,19.0,100.0,0.2,36.0,3.0,4.0,38.0,6.0,0.0,10.0,0.0,47.0,1.0,Kansas City
09/11/2018,Bryant,2-3,0,5.0,0,53.0,22.0,135.0,0.23,52.0,3.0,15.0,54.0,9.0,3.0,10.0,2.0,64.0,0.0,Bryant
09/21/2018,Marquette,0-3,0,3.0,0,35.0,16.0,91.0,0.209,33.0,1.0,5.0,32.0,5.0,0.0,8.0,1.0,40.0,1.0,Marquette
09/23/2018,DePaul,3-2,0,5.0,0,61.0,22.0,186.0,0.21,55.0,7.0,6.0,75.0,5.0,2.0,22.0,3.0,81.0,0.0,DePaul
09/28/2018,@ Xavier,0-3,0,3.0,0,39.0,20.0,116.0,0.164,38.0,2.0,5.0,60.0,3.0,0.0,6.0,3.0,44.0,0.0,Xavier
09/29/2018,@ Butler,0-3,0,3.0,0,33.0,26.0,119.0,0.059,33.0,2.0,6.0,45.0,5.0,0.0,2.0,3.0,36.0,1.0,Butler
10/05/2018,St. John's (NY),1-3,0,4.0,0,49.0,24.0,147.0,0.17,47.0,9.0,7.0,63.0,6.0,2.0,12.0,1.0,66.0,1.0,St. John's 
10/07/2018,Seton Hall,2-3,0,5.0,0,67.0,27.0,182.0,0.22,60.0,2.0,6.0,84.0,4.0,0.0,16.0,1.0,77.0,0.0,Seton Hall
10/12/2018,@ Villanova,1-3,0,4.0,0,42.0,22.0,143.0,0.14,37.0,6.0,10.0,71.0,8.0,0.0,15.0,1.0,55.5,0.0,Villanova
10/13/2018,@ Georgetown,1-3,0,4.0,0,40.0,21.0,114.0,0.167,38.0,3.0,15.0,50.0,9.0,1.0,10.0,3.0,49.0,0.0,Georgetown
10/18/2018,Butler,0-3,0,3.0,0,34.0,18.0,99.0,0.162,34.0,5.0,10.0,39.0,7.0,0.0,12.0,0.0,45.0,1.0,Butler
10/20/2018,Xavier,1-3,0,4.0,0,59.0,27.0,150.0,0.213,56.0,8.0,6.0,57.0,4.0,2.0,8.0,4.0,73.0,2.0,Xavier
10/26/2018,@ DePaul,3-0,0,3.0,0,44.0,12.0,110.0,0.291,44.0,3.0,5.0,45.0,3.0,1.0,8.0,2.0,52.0,0.0,DePaul
10/27/2018,@ Marquette,0-3,0,3.0,0,32.0,11.0,94.0,0.223,31.0,2.0,5.0,39.0,7.0,0.0,6.0,3.0,37.0,1.0,Marquette
11/02/2018,@ Seton Hall,1-3,0,4.0,0,50.0,28.0,137.0,0.161,48.0,6.0,10.0,56.0,6.0,1.0,14.0,0.0,64.0,1.0,Seton Hall
11/03/2018,@ St. John's (NY),1-3,0,4.0,0,48.0,26.0,135.0,0.163,45.0,2.0,10.0,48.0,9.0,1.0,12.0,4.0,57.0,0.0,St. John's 
11/09/2018,Villanova,0-3,0,3.0,0,29.0,19.0,118.0,0.085,24.0,2.0,6.0,38.0,5.0,2.0,4.0,0.0,35.0,3.0,Villanova
11/11/2018,Georgetown,2-3,0,5.0,0,60.0,17.0,142.0,0.303,57.0,5.0,11.0,63.0,7.0,3.0,12.0,2.0,74.0,2.0,Georgetown
11/16/2018,@ Creighton,0-3,0,3.0,0,29.0,8.0,79.0,0.266,26.0,3.0,6.0,27.0,13.0,3.0,6.0,2.0,38.0,2.0,Creighton
11/17/2018,@ Creighton,0-3,0,3.0,0,22.0,15.0,83.0,0.084,20.0,3.0,7.0,25.0,13.0,0.0,8.0,0.0,29.0,1.0,Creighton
