date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/24/2018,"Bowling Green @ West Lafayette, Ind.",3-0,0,3.0,0,48.0,11.0,125.0,0.296,44.0,2.0,7.0,64.0,2.0,1.0,4.0,2.0,53.0,0.0,Bowling Green,3,16.0,3.6666666666666665,41.66666666666666,14.666666666666666,0.6666666666666666,2.333333333333333,21.33333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,17.666666666666668,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/24/2018,"Wofford @ West Lafayette, Ind.",3-1,0,4.0,0,48.0,15.0,155.0,0.213,43.0,4.0,5.0,67.0,5.0,2.0,20.0,4.0,64.0,0.0,Wofford,4,12.0,3.75,38.75,10.75,1.0,1.25,16.75,1.25,0.5,5.0,1.0,16.0,,8.0,,1.8333333333333333,,20.83333333333333,,0.148,,7.333333333333333,,0.3333333333333333,,1.1666666666666665,,10.666666666666664,,0.16666666666666666,,0.6666666666666666,,0.3333333333333333,,8.833333333333334
08/25/2018,@ Purdue,0-3,0,3.0,0,25.0,12.0,98.0,0.133,24.0,3.0,3.0,37.0,11.0,0.0,8.0,1.0,32.0,0.0,Purdue,3,8.333333333333334,4.0,32.666666666666664,8.0,1.0,1.0,12.333333333333334,3.6666666666666665,0.0,2.6666666666666665,0.3333333333333333,10.666666666666666,,9.333333333333334,,2.472222222222222,,26.805555555555554,,0.16966666666666666,,8.472222222222221,,0.5555555555555555,,1.1944444444444444,,12.694444444444443,,0.27777777777777773,,2.111111111111111,,0.5555555555555555,,11.222222222222223
08/31/2018,"ETSU @ Nashville, Tenn.",0-3,0,3.0,0,32.0,21.0,108.0,0.102,30.0,1.0,4.0,41.0,7.0,3.0,4.0,2.0,38.0,0.0,ETSU,3,10.666666666666666,7.0,36.0,10.0,0.3333333333333333,1.3333333333333333,13.666666666666666,2.333333333333333,1.0,1.3333333333333333,0.6666666666666666,12.666666666666666,12.111111111111112,9.083333333333334,3.8055555555555554,2.8541666666666665,37.694444444444436,28.27083333333333,0.214,0.1605,11.138888888888888,8.354166666666666,0.8888888888888888,0.6666666666666666,1.5277777777777777,1.1458333333333333,16.805555555555554,12.604166666666666,0.27777777777777773,0.20833333333333331,3.0,2.25,0.6666666666666666,0.49999999999999994,14.777777777777779,11.083333333333334
08/31/2018,@ Belmont,3-0,0,3.0,0,35.0,10.0,95.0,0.263,32.0,5.0,10.0,51.0,1.0,2.0,6.0,4.0,45.0,0.0,Belmont,3,11.666666666666666,3.333333333333333,31.666666666666668,10.666666666666666,1.6666666666666667,3.333333333333333,17.0,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,15.0,10.333333333333334,9.4,4.916666666666667,3.6833333333333327,35.80555555555555,29.816666666666663,0.14933333333333335,0.1488,9.583333333333334,8.683333333333334,0.7777777777777778,0.6,1.1944444444444444,1.1833333333333331,14.25,12.816666666666666,0.5,0.36666666666666664,3.0,2.066666666666667,0.6666666666666666,0.5333333333333333,13.111111111111109,11.4
09/01/2018,"UMBC @ Nashville, Tenn.",3-1,0,4.0,0,55.0,18.0,158.0,0.234,50.0,3.0,11.0,77.0,6.0,5.0,14.0,2.0,70.0,3.0,UMBC,4,13.75,4.5,39.5,12.5,0.75,2.75,19.25,1.5,1.25,3.5,0.5,17.5,10.222222222222221,9.777777777777777,4.777777777777778,3.6249999999999996,33.44444444444444,30.124999999999996,0.166,0.16783333333333336,9.555555555555555,9.013888888888888,1.0,0.7777777777777778,1.8888888888888886,1.5416666666666667,14.333333333333334,13.513888888888888,0.5555555555555555,0.4166666666666667,2.0,2.055555555555556,0.7777777777777777,0.6666666666666666,12.777777777777777,12.0
09/07/2018,Abilene Christian,3-2,0,5.0,0,70.0,26.0,202.0,0.218,65.0,7.0,13.0,87.0,5.0,2.0,4.0,0.0,81.0,0.0,Abilene Christian,5,14.0,5.2,40.4,13.0,1.4,2.6,17.4,1.0,0.4,0.8,0.0,16.2,12.027777777777777,10.345238095238093,4.944444444444444,3.7499999999999996,35.72222222222222,31.46428571428571,0.19966666666666666,0.1772857142857143,11.055555555555555,9.511904761904761,0.9166666666666666,0.7738095238095238,2.472222222222222,1.7142857142857142,16.63888888888889,14.333333333333332,0.9722222222222222,0.5357142857142857,2.277777777777778,2.261904761904762,0.8333333333333334,0.6428571428571429,15.055555555555557,12.785714285714286
09/08/2018,Northwestern St.,3-0,0,3.0,0,48.0,15.0,115.0,0.287,44.0,5.0,7.0,49.0,3.0,1.0,2.0,4.0,55.0,0.0,Northwestern St.,3,16.0,5.0,38.333333333333336,14.666666666666666,1.6666666666666667,2.333333333333333,16.333333333333332,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,18.33333333333333,13.138888888888888,10.802083333333332,4.344444444444444,3.9312499999999995,37.18888888888889,32.58125,0.23833333333333337,0.182375,12.055555555555555,9.947916666666666,1.2722222222222221,0.8520833333333333,2.8944444444444444,1.825,17.883333333333333,14.716666666666665,0.7722222222222221,0.51875,2.1,2.0791666666666666,0.611111111111111,0.5625,16.23333333333333,13.2125
09/08/2018,Oral Roberts,3-1,0,4.0,0,60.0,21.0,143.0,0.273,58.0,1.0,16.0,71.0,4.0,1.0,14.0,2.0,69.0,1.0,Oral Roberts,4,15.0,5.25,35.75,14.5,0.25,4.0,17.75,1.0,0.25,3.5,0.5,17.25,14.583333333333334,11.379629629629628,4.8999999999999995,4.05,39.41111111111111,33.22037037037037,0.24633333333333332,0.194,13.388888888888888,10.472222222222221,1.2722222222222221,0.9425925925925925,2.5611111111111113,1.8814814814814815,17.66111111111111,14.896296296296295,0.6611111111111111,0.4981481481481482,1.6555555555555557,1.9222222222222223,0.611111111111111,0.6481481481481481,17.344444444444445,13.781481481481482
09/14/2018,"Illinois St. @ Milwaukee, Wis.",1-3,0,4.0,0,48.0,22.0,158.0,0.165,47.0,5.0,7.0,70.0,7.0,1.0,14.0,4.0,61.0,2.0,Illinois St.,4,12.0,5.5,39.5,11.75,1.25,1.75,17.5,1.75,0.25,3.5,1.0,15.25,15.0,11.741666666666665,5.1499999999999995,4.17,38.16111111111111,33.47333333333333,0.25933333333333336,0.20190000000000002,14.055555555555555,10.875,1.1055555555555554,0.8733333333333333,2.977777777777778,2.0933333333333333,17.16111111111111,15.181666666666667,0.3277777777777778,0.47333333333333333,1.6555555555555557,2.08,0.611111111111111,0.6333333333333333,17.26111111111111,14.128333333333334
09/15/2018,@ Marquette,0-3,0,3.0,0,36.0,18.0,127.0,0.142,34.0,2.0,8.0,57.0,5.0,2.0,12.0,1.0,46.0,2.0,Marquette,3,12.0,6.0,42.333333333333336,11.333333333333334,0.6666666666666666,2.6666666666666665,19.0,1.6666666666666667,0.6666666666666666,4.0,0.3333333333333333,15.333333333333334,14.333333333333334,11.765151515151514,5.25,4.29090909090909,37.861111111111114,34.021212121212116,0.2416666666666667,0.19854545454545455,13.638888888888888,10.954545454545455,1.0555555555555556,0.9075757575757575,2.6944444444444446,2.062121212121212,17.194444444444443,15.392424242424243,0.27777777777777773,0.45303030303030306,2.555555555555556,2.209090909090909,0.9444444444444443,0.6666666666666666,16.944444444444443,14.23030303030303
09/21/2018,Memphis,3-0,0,3.0,0,35.0,13.0,111.0,0.198,33.0,3.0,10.0,62.0,1.0,6.0,10.0,0.0,49.0,0.0,Memphis,3,11.666666666666666,4.333333333333333,37.0,11.0,1.0,3.333333333333333,20.666666666666668,0.3333333333333333,2.0,3.333333333333333,0.0,16.333333333333332,13.0,11.784722222222221,5.583333333333333,4.433333333333333,39.19444444444445,34.71388888888888,0.19333333333333336,0.19383333333333333,12.527777777777779,10.986111111111112,0.7222222222222222,0.8874999999999998,2.8055555555555554,2.1125000000000003,18.083333333333332,15.693055555555555,0.3888888888888889,0.4708333333333334,3.6666666666666665,2.3583333333333334,0.611111111111111,0.6388888888888888,15.944444444444445,14.322222222222223
