date,opponent/venue,result,attend,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/24/2018,"USC Upstate @ Charlotte, N.C.",3-0,0,3.0,0,44.0,10.0,86.0,0.395,41.0,3.0,5.0,40.0,4.0,0.0,18.0,2.0,56.0,2.0,USC Upstate
08/25/2018,"Presbyterian @ Charlotte, N.C.",3-0,0,3.0,0,43.0,20.0,112.0,0.205,39.0,7.0,3.0,49.0,1.0,1.0,12.0,1.0,57.0,2.0,Presbyterian
08/25/2018,@ Charlotte,3-2,0,5.0,0,69.0,35.0,178.0,0.191,67.0,4.0,6.0,81.0,7.0,1.0,34.0,4.0,91.0,0.0,Charlotte
08/31/2018,William & Mary,3-0,0,3.0,0,35.0,9.0,68.0,0.382,28.0,13.0,6.0,23.0,2.0,0.0,12.0,0.0,54.0,2.0,William & Mary
08/31/2018,Campbell,3-0,0,3.0,0,37.0,10.0,85.0,0.318,35.0,11.0,8.0,37.0,2.0,0.0,10.0,0.0,53.0,1.0,Campbell
09/01/2018,Robert Morris,3-1,0,4.0,0,59.0,25.0,150.0,0.227,52.0,13.0,9.0,69.0,3.0,0.0,12.0,0.0,78.0,1.0,Robert Morris
09/07/2018,"IUPUI @ Athens, Ohio",3-1,0,4.0,0,56.0,17.0,137.0,0.285,53.0,7.0,7.0,58.0,3.0,5.0,18.0,0.0,77.0,0.0,IUPUI
09/07/2018,@ Ohio,3-1,0,4.0,0,58.0,16.0,127.0,0.331,52.0,5.0,12.0,56.0,4.0,0.0,16.0,0.0,71.0,0.0,Ohio
09/08/2018,"Samford @ Athens, Ohio",0-3,0,3.0,0,26.0,14.0,86.0,0.14,25.0,0.0,6.0,34.0,4.0,1.0,6.0,1.0,30.0,0.0,Samford
09/11/2018,VCU,3-0,0,3.0,0,43.0,12.0,103.0,0.301,41.0,4.0,4.0,39.0,2.0,1.0,14.0,0.0,55.0,0.0,VCU
09/15/2018,"Baylor @ San Antonio, Texas",0-3,0,3.0,0,39.0,17.0,107.0,0.206,38.0,3.0,7.0,40.0,6.0,0.0,2.0,3.0,43.0,1.0,Baylor
09/16/2018,@ UTSA,1-3,0,4.0,0,57.0,20.0,141.0,0.262,54.0,2.0,6.0,59.0,4.0,1.0,10.0,5.0,65.0,2.0,UTSA
09/21/2018,Pittsburgh,0-3,0,3.0,0,31.0,22.0,98.0,0.092,27.0,1.0,7.0,30.0,6.0,1.0,10.0,0.0,38.0,1.0,Pittsburgh
09/23/2018,Virginia,3-0,0,3.0,0,47.0,19.0,103.0,0.272,43.0,3.0,8.0,42.0,0.0,1.0,14.0,1.0,58.0,1.0,Virginia
09/28/2018,North Carolina,3-0,0,3.0,0,42.0,19.0,110.0,0.209,40.0,3.0,8.0,47.0,2.0,0.0,12.0,0.0,51.0,0.0,North Carolina
09/30/2018,NC State,1-3,0,4.0,0,46.0,30.0,141.0,0.113,43.0,5.0,4.0,56.0,2.0,1.0,10.0,3.0,57.0,2.0,NC State
10/05/2018,@ Georgia Tech,3-0,0,3.0,0,42.0,11.0,103.0,0.301,38.0,10.0,7.0,48.0,4.0,0.0,18.0,3.0,61.0,1.0,Georgia Tech
10/07/2018,@ Clemson,0-3,0,3.0,0,34.0,20.0,93.0,0.151,32.0,1.0,6.0,23.0,4.0,1.0,8.0,3.0,40.0,3.0,Clemson
10/12/2018,@ Louisville,0-3,0,3.0,0,24.0,14.0,89.0,0.112,21.0,0.0,4.0,32.0,7.0,0.0,12.0,2.0,30.0,0.0,Louisville
10/14/2018,@ Notre Dame,0-3,0,3.0,0,31.0,19.0,95.0,0.126,31.0,3.0,3.0,38.0,7.0,1.0,6.0,3.0,38.0,0.0,Notre Dame
10/19/2018,Wake Forest,3-2,0,5.0,0,55.0,35.0,173.0,0.116,51.0,8.0,12.0,71.0,7.0,1.0,18.0,5.0,73.0,1.0,Wake Forest
10/21/2018,Duke,2-3,0,5.0,0,59.0,26.0,161.0,0.205,52.0,8.0,7.0,74.0,2.0,3.0,12.0,3.0,76.0,0.0,Duke
10/26/2018,@ Miami (FL),0-3,0,3.0,0,30.0,14.0,97.0,0.165,30.0,1.0,5.0,35.0,8.0,0.0,2.0,0.0,32.0,0.0,Miami 
10/28/2018,@ Florida St.,0-3,0,3.0,0,38.0,27.0,113.0,0.097,37.0,4.0,4.0,40.0,2.0,1.0,4.0,0.0,45.0,0.0,Florida St.
11/02/2018,Syracuse,1-3,0,4.0,0,49.0,39.0,143.0,0.07,46.0,2.0,3.0,52.0,9.0,1.0,0.0,0.0,52.0,1.0,Syracuse
11/04/2018,Boston College,3-0,0,3.0,0,43.0,11.0,106.0,0.302,43.0,4.0,6.0,40.0,3.0,3.0,14.0,2.0,57.0,0.0,Boston College
11/09/2018,@ Virginia,2-3,0,5.0,0,62.0,32.0,173.0,0.173,60.0,4.0,8.0,66.0,8.0,2.0,14.0,3.0,75.0,1.0,Virginia
11/16/2018,@ Boston College,2-3,0,5.0,0,67.0,34.0,184.0,0.179,65.0,4.0,6.0,81.0,5.0,2.0,18.0,2.0,82.0,2.0,Boston College
11/18/2018,@ Syracuse,0-3,0,3.0,0,38.0,24.0,113.0,0.124,35.0,2.0,4.0,37.0,7.0,0.0,8.0,0.0,44.0,0.0,Syracuse
11/21/2018,Clemson,2-3,0,5.0,0,64.0,29.0,151.0,0.232,59.0,6.0,10.0,57.0,9.0,1.0,22.0,4.0,82.0,1.0,Clemson
