date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,"San Diego St. @ Fort Myers, FL",0-3,3.0,1.0,0,32.0,17.0,105.0,0.143,32.0,4.0,12.0,43.0,2.0,0.0,8.0,0.0,0.0,0.0,San Diego St.,3,10.666666666666666,5.666666666666667,35.0,10.666666666666666,1.3333333333333333,4.0,14.333333333333334,0.0,2.6666666666666665,0.0,0.0
08/30/2019,@ FGCU,1-3,4.0,1.0,0,43.0,24.0,138.0,0.138,43.0,5.0,7.0,61.0,5.0,0.0,8.0,1.0,0.0,0.0,FGCU,4,10.75,6.0,34.5,10.75,1.25,1.75,15.25,0.0,2.0,0.25,0.0
08/31/2019,"Bryant @ Fort Myers, FL",3-1,4.0,1.0,0,49.0,23.0,146.0,0.178,48.0,8.0,6.0,72.0,5.0,0.0,8.0,1.0,0.0,0.0,Bryant,4,12.25,5.75,36.5,12.0,2.0,1.5,18.0,0.0,2.0,0.25,0.0
09/06/2019,"William & Mary @ Cincinnati, OH",0-3,3.0,0.0,0,37.0,25.0,111.0,0.108,37.0,7.0,10.0,53.0,9.0,0.0,10.0,1.0,49.0,0.0,William & Mary,3,12.333333333333334,8.333333333333334,37.0,12.333333333333334,2.3333333333333335,3.3333333333333335,17.666666666666668,0.0,3.3333333333333335,0.3333333333333333,16.333333333333332
09/06/2019,@ Xavier,3-2,5.0,0.0,0,58.0,25.0,178.0,0.185,54.0,3.0,7.0,90.0,9.0,5.0,18.0,0.0,75.0,0.0,Xavier,5,11.6,5.0,35.6,10.8,0.6,1.4,18.0,1.0,3.6,0.0,15.0
09/07/2019,"Wright St. @ Cincinnati, Ohio",0-3,3.0,0.0,0,30.0,20.0,114.0,0.088,30.0,2.0,9.0,50.0,6.0,0.0,10.0,0.0,37.0,0.0,Wright St.,3,10.0,6.666666666666667,38.0,10.0,0.6666666666666666,3.0,16.666666666666668,0.0,3.3333333333333335,0.0,12.333333333333334
09/13/2019,Saint Francis (PA),3-0,3.0,1.0,0,37.0,10.0,81.0,0.333,32.0,8.0,8.0,35.0,0.0,6.0,2.0,1.0,52.0,0.0,Saint Francis ,3,12.333333333333334,3.3333333333333335,27.0,10.666666666666666,2.6666666666666665,2.6666666666666665,11.666666666666666,2.0,0.6666666666666666,0.3333333333333333,17.333333333333332
09/14/2019,Eastern Ky.,3-0,3.0,1.0,0,38.0,15.0,101.0,0.228,36.0,4.0,7.0,44.0,2.0,1.0,6.0,1.0,46.0,0.0,Eastern Ky.,3,12.666666666666666,5.0,33.666666666666664,12.0,1.3333333333333333,2.3333333333333335,14.666666666666666,0.3333333333333333,2.0,0.3333333333333333,15.333333333333334
09/14/2019,Seton Hall,3-0,3.0,1.0,0,44.0,9.0,100.0,0.35,39.0,7.0,11.0,43.0,3.0,5.0,12.0,1.0,62.0,1.0,Seton Hall,3,14.666666666666666,3.0,33.333333333333336,13.0,2.3333333333333335,3.6666666666666665,14.333333333333334,1.6666666666666667,4.0,0.3333333333333333,20.666666666666668
09/20/2019,@ North Dakota,3-0,3.0,0.0,0,43.0,13.0,82.0,0.366,39.0,7.0,8.0,38.0,0.0,3.0,4.0,1.0,55.0,0.0,North Dakota,3,14.333333333333334,4.333333333333333,27.333333333333332,13.0,2.3333333333333335,2.6666666666666665,12.666666666666666,1.0,1.3333333333333333,0.3333333333333333,18.333333333333332
09/20/2019,"Eastern Wash. @ Grand Forks, N.D.",3-0,3.0,0.0,0,43.0,18.0,103.0,0.243,39.0,5.0,10.0,42.0,1.0,0.0,6.0,2.0,51.0,0.0,Eastern Wash.,3,14.333333333333334,6.0,34.333333333333336,13.0,1.6666666666666667,3.3333333333333335,14.0,0.0,2.0,0.6666666666666666,17.0
09/26/2019,@ Buffalo,3-2,5.0,1.0,0,60.0,20.0,171.0,0.234,55.0,10.0,11.0,100.0,2.0,2.0,20.0,0.0,82.0,1.0,Buffalo,5,12.0,4.0,34.2,11.0,2.0,2.2,20.0,0.4,4.0,0.0,16.4
09/28/2019,Ball St.,3-2,5.0,1.0,0,66.0,26.0,180.0,0.222,57.0,8.0,10.0,77.0,4.0,4.0,10.0,4.0,83.0,5.0,Ball St.,5,13.2,5.2,36.0,11.4,1.6,2.0,15.4,0.8,2.0,0.8,16.6
10/04/2019,@ Bowling Green,3-1,4.0,1.0,0,54.0,20.0,152.0,0.224,50.0,4.0,17.0,71.0,6.0,0.0,12.0,0.0,64.0,2.0,Bowling Green,4,13.5,5.0,38.0,12.5,1.0,4.25,17.75,0.0,3.0,0.0,16.0
10/05/2019,@ Miami (OH),3-0,3.0,1.0,0,39.0,11.0,111.0,0.252,34.0,7.0,4.0,53.0,4.0,2.0,14.0,0.0,55.0,0.0,Miami ,3,13.0,3.6666666666666665,37.0,11.333333333333334,2.3333333333333335,1.3333333333333333,17.666666666666668,0.6666666666666666,4.666666666666667,0.0,18.333333333333332
