date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,"South Carolina St. @ Montgomery, AL",3-0,3.0,1.0,0,44.0,13.0,95.0,0.326,37.0,3.0,6.0,48.0,4.0,2.0,2.0,1.0,0.0,0.0,South Carolina St.
08/31/2019,@  Florida A&M,3 - 1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida A&M
08/31/2019,"Delaware St. @ Montgomery, AL",3-0,3.0,1.0,0,35.0,9.0,81.0,0.321,30.0,6.0,4.0,33.0,3.0,4.0,4.0,0.0,0.0,1.0,Delaware St.
09/03/2019,@ Belmont,0-3,3.0,1.0,0,28.0,19.0,97.0,0.093,26.0,1.0,3.0,40.0,9.0,0.0,10.0,0.0,0.0,0.0,Belmont
09/06/2019,@ Southern Ill.,1-3,4.0,1.0,0,56.0,16.0,133.0,0.301,53.0,4.0,7.0,59.0,5.0,0.0,16.0,2.0,68.0,1.0,Southern Ill.
09/06/2019,"Southeastern La. @ Carbondale, IL",0-3,3.0,1.0,0,24.0,8.0,86.0,0.186,22.0,3.0,3.0,39.0,10.0,1.0,19.0,1.0,37.5,0.0,Southeastern La.
09/07/2019,"SIUE @ Carbondale, IL",0-3,3.0,1.0,0,28.0,14.0,92.0,0.152,24.0,4.0,4.0,39.0,10.0,0.0,13.0,1.0,38.5,0.0,SIUE
09/13/2019,"Gardner-Webb @ Spartanburg, SC",3-0,3.0,1.0,0,42.0,7.0,99.0,0.354,32.0,3.0,3.0,50.0,5.0,2.0,6.0,3.0,50.0,0.0,Gardner-Webb
09/13/2019,@ Wofford,1-3,4.0,1.0,0,29.0,20.0,113.0,0.08,25.0,6.0,8.0,52.0,11.0,3.0,15.0,7.0,45.5,0.0,Wofford
09/14/2019,"N.C. A&T @ Spartanburg, SC",0-3,3.0,1.0,0,32.0,16.0,89.0,0.18,32.0,2.0,1.0,34.0,5.0,0.0,6.0,6.0,37.0,0.0,N.C. A&T
09/17/2019,Middle Tenn.,0-3,3.0,1.0,0,32.0,16.0,99.0,0.162,27.0,2.0,4.0,38.0,9.0,4.0,9.0,2.0,42.5,0.0,Middle Tenn.
09/20/2019,@ USC Upstate,1-3,4.0,1.0,0,47.0,14.0,126.0,0.262,43.0,4.0,2.0,64.0,11.0,1.0,8.0,8.0,56.0,0.0,USC Upstate
09/21/2019,"East Carolina @ Boiling Springs, NC",2-3,5.0,1.0,0,58.0,24.0,188.0,0.181,56.0,5.0,6.0,79.0,4.0,5.0,4.0,2.0,70.0,2.0,East Carolina
09/21/2019,@ Gardner-Webb,1-3,4.0,1.0,0,48.0,30.0,166.0,0.108,45.0,6.0,3.0,79.0,10.0,2.0,14.0,0.0,63.0,3.0,Gardner-Webb
09/27/2019,"Ark.-Pine Bluff @ Prairie View, TX",3-1,4.0,1.0,0,53.0,18.0,123.0,0.285,44.0,4.0,9.0,56.0,5.0,5.0,8.0,1.0,66.0,0.0,Ark.-Pine Bluff
09/27/2019,@  Southern U.,3 - 0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southern U.
09/28/2019,"Grambling @ Prairie View, TX",3-0,3.0,1.0,0,37.0,15.0,90.0,0.244,32.0,8.0,5.0,35.0,3.0,0.0,4.0,0.0,47.0,0.0,Grambling
09/28/2019,@ Prairie View,2-3,5.0,1.0,0,55.0,20.0,178.0,0.197,44.0,4.0,5.0,63.0,3.0,1.0,8.0,0.0,64.0,0.0,Prairie View
09/29/2019,"Texas Southern @ Prairie View, TX",3-0,3.0,1.0,0,37.0,7.0,95.0,0.316,32.0,5.0,8.0,28.0,7.0,2.0,10.0,1.0,49.0,2.0,Texas Southern
10/06/2019,Mississippi Val.,3-0,3.0,1.0,0,40.0,14.0,100.0,0.26,35.0,4.0,8.0,42.0,6.0,4.0,6.0,1.0,51.0,0.0,Mississippi Val.
10/07/2019,Alcorn,3-0,3.0,1.0,0,39.0,7.0,91.0,0.352,34.0,8.0,5.0,48.0,4.0,1.0,4.0,2.0,50.0,1.0,Alcorn
10/14/2019,@ Jackson St.,3-0,3.0,1.0,0,36.0,7.0,87.0,0.333,26.0,4.0,3.0,49.0,1.0,7.0,2.0,0.0,48.0,0.0,Jackson St.
10/18/2019,Alabama St.,0-3,3.0,0.0,0,35.0,19.0,108.0,0.148,34.0,1.0,2.0,45.0,7.0,1.0,10.0,5.0,42.0,1.0,Alabama St.
