date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2019,App State,3-0,3.0,0.0,0,32.0,7.0,84.0,0.298,29.0,6.0,6.0,45.0,2.0,1.0,14.0,0.0,46.0,0.0,App State,3,10.666666666666666,2.333333333333333,28.0,9.666666666666666,2.0,2.0,15.0,0.3333333333333333,4.666666666666667,0.0,15.333333333333334,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2019,LMU (CA),3-0,3.0,0.0,0,38.0,9.0,80.0,0.362,36.0,7.0,8.0,36.0,9.0,0.0,18.0,0.0,54.0,0.0,LMU ,3,12.666666666666666,3.0,26.666666666666668,12.0,2.333333333333333,2.6666666666666665,12.0,0.0,6.0,0.0,18.0,,5.333333333333333,,1.1666666666666665,,14.0,,0.149,,4.833333333333333,,1.0,,1.0,,7.5,,0.16666666666666666,,2.3333333333333335,,0.0,,7.666666666666667
08/31/2019,Samford,2-3,5.0,0.0,0,56.0,27.0,162.0,0.179,49.0,3.0,8.0,70.0,6.0,0.0,16.0,0.0,67.0,0.0,Samford,5,11.2,5.4,32.4,9.8,0.6,1.6,14.0,0.0,3.2,0.0,13.4,,7.777777777777778,,1.7777777777777777,,18.222222222222225,,0.21999999999999997,,7.222222222222221,,1.4444444444444444,,1.5555555555555554,,9.0,,0.1111111111111111,,3.555555555555556,,0.0,,11.111111111111112
09/06/2019,"Nebraska @ San Diego, CA",1-3,4.0,0.0,0,40.0,24.0,144.0,0.111,39.0,4.0,9.0,57.0,6.0,4.0,4.0,1.0,50.0,0.0,Nebraska,4,10.0,6.0,36.0,9.75,1.0,2.25,14.25,1.0,1.0,0.25,12.5,11.511111111111111,8.633333333333333,3.577777777777778,2.6833333333333336,29.022222222222222,21.766666666666666,0.2796666666666667,0.20975,10.488888888888889,7.866666666666666,1.6444444444444442,1.2333333333333332,2.088888888888889,1.5666666666666664,13.666666666666666,10.25,0.1111111111111111,0.08333333333333333,4.622222222222223,3.466666666666667,0.0,0.0,15.577777777777778,11.683333333333334
09/07/2019,"West Virginia @ San Diego, CA",3-1,4.0,0.0,0,58.0,18.0,147.0,0.272,54.0,8.0,12.0,83.0,4.0,5.0,22.0,2.0,82.0,0.0,West Virginia,4,14.5,4.5,36.75,13.5,2.0,3.0,20.75,1.25,5.5,0.5,20.5,11.28888888888889,8.906666666666666,4.800000000000001,3.3466666666666667,31.688888888888886,24.613333333333333,0.2173333333333333,0.19,10.516666666666667,8.243333333333334,1.3111111111111111,1.1866666666666665,2.172222222222222,1.7033333333333331,13.416666666666666,11.05,0.3333333333333333,0.26666666666666666,3.4,2.9733333333333336,0.08333333333333333,0.05,14.633333333333333,11.846666666666668
09/07/2019,@ San Diego St.,3-0,3.0,0.0,0,46.0,8.0,87.0,0.437,42.0,4.0,4.0,30.0,2.0,1.0,8.0,1.0,55.0,0.0,San Diego St.,3,15.333333333333334,2.6666666666666665,29.0,14.0,1.3333333333333333,1.3333333333333333,10.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,18.33333333333333,11.9,9.838888888888889,5.300000000000001,3.538888888888889,35.05,26.63611111111111,0.18733333333333335,0.20366666666666666,11.016666666666667,9.119444444444445,1.2,1.3222222222222222,2.283333333333333,1.9194444444444443,16.333333333333332,12.666666666666666,0.75,0.4305555555555555,3.233333333333333,3.3944444444444444,0.25,0.125,15.466666666666667,13.28888888888889
09/13/2019,@ Kansas,3-0,3.0,0.0,0,47.0,17.0,102.0,0.294,41.0,2.0,12.0,37.0,1.0,1.0,2.0,1.0,51.0,0.0,Kansas,3,15.666666666666666,5.666666666666667,34.0,13.666666666666666,0.6666666666666666,4.0,12.333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,17.0,13.277777777777779,10.623809523809523,4.388888888888888,3.4142857142857146,33.916666666666664,26.973809523809525,0.2733333333333334,0.23700000000000002,12.416666666666666,9.816666666666666,1.4444444444444444,1.3238095238095238,2.1944444444444446,1.8357142857142856,15.0,12.285714285714286,0.8611111111111112,0.41666666666666663,3.0555555555555554,3.2904761904761908,0.3611111111111111,0.15476190476190474,17.11111111111111,14.00952380952381
09/14/2019,"Morehead St. @ Lawrence, KS",3-0,3.0,0.0,0,35.0,8.0,76.0,0.355,30.0,3.0,4.0,38.0,1.0,2.0,18.0,3.0,49.0,0.0,Morehead St.,3,11.666666666666666,2.6666666666666665,25.33333333333333,10.0,1.0,1.3333333333333333,12.666666666666666,0.6666666666666666,6.0,1.0,16.333333333333332,15.166666666666666,11.254166666666666,4.277777777777778,3.6958333333333337,33.25,27.852083333333333,0.33433333333333337,0.244125,13.722222222222221,10.297916666666667,1.3333333333333333,1.2416666666666665,2.777777777777778,2.10625,14.361111111111112,12.291666666666666,0.6388888888888888,0.40625,2.9444444444444446,2.9625000000000004,0.38888888888888884,0.17708333333333331,18.61111111111111,14.383333333333333
09/14/2019,"Syracuse @ Lawrence, Kan.",3-0,3.0,0.0,0,47.0,12.0,95.0,0.368,45.0,1.0,8.0,40.0,5.0,1.0,8.0,2.0,53.0,0.0,Syracuse,3,15.666666666666666,4.0,31.666666666666668,15.0,0.3333333333333333,2.6666666666666665,13.333333333333334,0.3333333333333333,2.6666666666666665,0.6666666666666666,17.666666666666668,14.222222222222221,11.3,3.6666666666666665,3.5814814814814815,29.444444444444443,27.57222222222222,0.36199999999999993,0.2564444444444444,12.555555555555555,10.264814814814816,1.0,1.2148148148148146,2.2222222222222223,2.0203703703703706,11.666666666666666,12.333333333333334,0.4444444444444444,0.4351851851851852,3.1111111111111107,3.3000000000000003,0.5555555555555555,0.2685185185185185,17.222222222222218,14.600000000000001
09/20/2019,Alabama St.,3-0,3.0,1.0,0,38.0,6.0,73.0,0.438,34.0,11.0,5.0,27.0,0.0,6.0,4.0,4.0,57.0,0.0,Alabama St.,3,12.666666666666666,2.0,24.33333333333333,11.333333333333334,3.6666666666666665,1.6666666666666667,9.0,2.0,1.3333333333333333,1.3333333333333333,19.0,14.333333333333334,11.736666666666668,4.111111111111112,3.6233333333333335,30.333333333333332,27.981666666666666,0.33899999999999997,0.26759999999999995,12.888888888888888,10.738333333333333,0.6666666666666666,1.1266666666666665,2.6666666666666665,2.085,12.777777777777779,12.433333333333334,0.4444444444444444,0.425,3.111111111111111,3.236666666666667,0.6666666666666666,0.3083333333333333,17.0,14.906666666666666
09/20/2019,New Mexico St.,3-0,3.0,1.0,0,46.0,20.0,109.0,0.239,44.0,4.0,5.0,55.0,3.0,7.0,2.0,0.0,58.0,0.0,New Mexico St.,3,15.333333333333334,6.666666666666667,36.333333333333336,14.666666666666666,1.3333333333333333,1.6666666666666667,18.33333333333333,2.333333333333333,0.6666666666666666,0.0,19.33333333333333,13.333333333333334,11.82121212121212,2.888888888888889,3.475757575757576,27.11111111111111,27.65,0.387,0.28309090909090906,12.111111111111112,10.792424242424243,1.6666666666666667,1.3575757575757574,1.888888888888889,2.0469696969696973,11.666666666666666,12.12121212121212,1.0,0.5681818181818182,3.3333333333333326,3.063636363636364,0.9999999999999999,0.40151515151515144,17.666666666666668,15.27878787878788
09/21/2019,Sacramento St.,3-1,4.0,1.0,0,64.0,21.0,135.0,0.319,58.0,4.0,9.0,50.0,6.0,2.0,14.0,1.0,77.0,1.0,Sacramento St.,4,16.0,5.25,33.75,14.5,1.0,2.25,12.5,0.5,3.5,0.25,19.25,14.555555555555557,12.113888888888889,4.222222222222222,3.7416666666666667,30.777777777777775,28.373611111111106,0.34833333333333333,0.27941666666666665,13.666666666666666,11.115277777777777,1.7777777777777777,1.3555555555555554,2.0,2.015277777777778,13.555555555555555,12.638888888888886,1.5555555555555554,0.7152777777777777,1.5555555555555554,2.863888888888889,0.6666666666666665,0.3680555555555555,18.666666666666668,15.616666666666665
09/26/2019,@ Arizona St.,0-3,3.0,1.0,0,36.0,17.0,106.0,0.179,32.0,3.0,12.0,38.0,1.0,3.0,6.0,0.0,45.0,0.0,Arizona St.,3,12.0,5.666666666666667,35.333333333333336,10.666666666666666,1.0,4.0,12.666666666666666,1.0,2.0,0.0,15.0,14.666666666666666,12.412820512820513,4.638888888888888,3.8576923076923078,31.472222222222218,28.787179487179483,0.332,0.28246153846153843,13.5,11.375641025641025,2.0,1.3282051282051281,1.8611111111111114,2.0333333333333337,13.277777777777777,12.628205128205126,1.6111111111111114,0.6987179487179487,1.8333333333333333,2.9128205128205127,0.5277777777777777,0.3589743589743589,19.194444444444443,15.896153846153844
