date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,"Central Ark. @ Washington, D.C.",2-3,5.0,0.0,0,65.0,22.0,165.0,0.261,59.0,6.0,9.0,58.0,2.0,1.0,14.0,1.0,79.0,6.0,Central Ark.
08/31/2019,"Rider @ Washington, D.C.",3-0,3.0,0.0,0,31.0,7.0,94.0,0.255,28.0,8.0,4.0,48.0,3.0,1.0,10.0,0.0,45.0,0.0,Rider
08/31/2019,@ Georgetown,0-3,3.0,0.0,0,27.0,24.0,104.0,0.029,25.0,3.0,5.0,49.0,5.0,0.0,6.0,0.0,33.0,1.0,Georgetown
09/06/2019,"Boston College @ Storrs, Conn.",1-3,4.0,0.0,0,47.0,20.0,151.0,0.179,45.0,3.0,8.0,76.0,5.0,1.0,19.0,0.0,60.5,2.0,Boston College
09/06/2019,"Iona @ Storrs, Conn.",3-0,3.0,0.0,0,41.0,7.0,98.0,0.347,40.0,4.0,3.0,55.0,1.0,1.0,8.0,0.0,50.0,0.0,Iona
09/07/2019,@ UConn,1-3,4.0,0.0,0,40.0,30.0,142.0,0.07,38.0,1.0,7.0,48.0,6.0,2.0,10.0,2.0,48.0,1.0,UConn
09/13/2019,Saint Peter's,3-0,3.0,1.0,0,49.0,15.0,123.0,0.276,44.0,5.0,10.0,58.0,3.0,2.0,4.0,1.0,58.0,1.0,Saint Peter's
09/14/2019,Bucknell,2-3,5.0,1.0,0,63.0,22.0,178.0,0.23,59.0,3.0,9.0,72.0,5.0,5.0,10.0,2.0,76.0,0.0,Bucknell
09/14/2019,Rhode Island,1-3,4.0,1.0,0,42.0,17.0,153.0,0.163,39.0,4.0,6.0,69.0,5.0,9.0,6.0,0.0,58.0,0.0,Rhode Island
09/20/2019,"Lafayette @ West Hartford, CT",1-3,4.0,1.0,0,56.0,18.0,143.0,0.266,56.0,11.0,7.0,62.0,6.0,1.0,22.0,0.0,79.0,0.0,Lafayette
09/21/2019,"UMES @ West Hartford, CT",3-1,4.0,1.0,0,47.0,14.0,128.0,0.258,45.0,6.0,10.0,58.0,6.0,0.0,20.0,1.0,63.0,5.0,UMES
09/21/2019,@ Hartford,1-3,4.0,1.0,0,35.0,12.0,106.0,0.217,33.0,6.0,5.0,37.0,5.0,1.0,8.0,2.0,46.0,1.0,Hartford
09/27/2019,LIU,2-3,5.0,1.0,0,56.0,17.0,170.0,0.229,55.0,5.0,9.0,80.0,7.0,2.0,12.0,1.0,69.0,0.0,LIU
09/28/2019,FDU,3-0,3.0,1.0,0,52.0,14.0,125.0,0.304,50.0,2.0,8.0,62.0,1.0,2.0,4.0,0.0,58.0,3.0,FDU
10/04/2019,@ Merrimack,3-0,3.0,0.0,0,34.0,10.0,67.0,0.358,34.0,10.0,7.0,25.0,3.0,2.0,14.0,1.0,53.0,1.0,Merrimack
10/05/2019,St. Francis Brooklyn,3-0,3.0,1.0,0,42.0,14.0,105.0,0.267,41.0,6.0,7.0,47.0,2.0,3.0,8.0,1.0,55.0,1.0,St. Francis Brooklyn
10/11/2019,@ Sacred Heart,1-3,4.0,1.0,0,45.0,22.0,159.0,0.145,40.0,3.0,7.0,69.0,6.0,4.0,22.0,0.0,63.0,0.0,Sacred Heart
10/15/2019,@ Bryant,2-3,5.0,0.0,0,66.0,21.0,164.0,0.274,59.0,1.0,6.0,74.0,5.0,2.0,8.0,2.0,73.0,2.0,Bryant
10/18/2019,Robert Morris,1-3,4.0,1.0,0,54.0,20.0,157.0,0.217,49.0,5.0,4.0,75.0,3.0,5.0,4.0,0.0,66.0,1.0,Robert Morris
10/19/2019,Saint Francis (PA),3-1,4.0,1.0,0,55.0,26.0,163.0,0.178,51.0,8.0,4.0,84.0,2.0,3.0,10.0,4.0,71.0,0.0,Saint Francis 
10/25/2019,@ LIU,3-2,5.0,0.0,0,60.0,21.0,182.0,0.214,56.0,3.0,6.0,88.0,9.0,1.0,22.0,3.0,75.0,0.0,LIU
10/26/2019,@ FDU,3-0,3.0,0.0,0,48.0,16.0,117.0,0.274,46.0,7.0,6.0,63.0,1.0,0.0,4.0,1.0,57.0,0.0,FDU
11/01/2019,Merrimack,3-0,3.0,1.0,0,39.0,5.0,72.0,0.472,38.0,10.0,4.0,40.0,1.0,2.0,10.0,1.0,56.0,0.0,Merrimack
11/02/2019,@ St. Francis Brooklyn,3-1,4.0,1.0,0,64.0,19.0,191.0,0.236,63.0,4.0,10.0,94.0,2.0,0.0,12.0,0.0,74.0,1.0,St. Francis Brooklyn
11/08/2019,@ Robert Morris,2-3,5.0,0.0,0,52.0,26.0,177.0,0.147,52.0,4.0,2.0,77.0,4.0,1.0,16.0,2.0,65.0,2.0,Robert Morris
11/09/2019,@ Saint Francis (PA),3-1,4.0,1.0,0,52.0,14.0,138.0,0.275,48.0,9.0,8.0,59.0,2.0,1.0,9.0,2.0,66.5,0.0,Saint Francis 
11/13/2019,Sacred Heart,1-3,4.0,1.0,0,54.0,26.0,176.0,0.159,51.0,3.0,5.0,72.0,4.0,5.0,12.0,2.0,68.0,0.0,Sacred Heart
11/15/2019,Bryant,3-1,4.0,1.0,0,61.0,24.0,176.0,0.21,58.0,4.0,2.0,83.0,2.0,3.0,20.0,0.0,78.0,3.0,Bryant
11/22/2019,@ Robert Morris,3-2,5.0,0.0,0,69.0,29.0,209.0,0.191,68.0,2.0,5.0,108.0,5.0,0.0,20.0,2.0,81.0,2.0,Robert Morris
11/23/2019,"Sacred Heart @ Moon Township, Pa.",0-3,3.0,0.0,0,31.0,17.0,124.0,0.113,28.0,1.0,1.0,42.0,7.0,2.0,14.0,1.0,41.0,2.0,Sacred Heart
