date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2019,"UMES @ Brooklyn, NY",3-1,4.0,1.0,0,42.0,17.0,99.0,0.253,41.0,13.0,12.0,40.0,10.0,0.0,12.0,5.0,0.0,0.0,UMES,4,10.5,4.25,24.75,10.25,3.25,3.0,10.0,0.0,3.0,1.25,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/31/2019,"Saint Peter's @ Brooklyn, NY",3-0,3.0,1.0,0,51.0,19.0,135.0,0.237,47.0,3.0,4.0,66.0,5.0,2.0,4.0,0.0,0.0,1.0,Saint Peter's,3,17.0,6.333333333333333,45.0,15.666666666666666,1.0,1.3333333333333333,22.0,0.6666666666666666,1.3333333333333333,0.0,0.0,,5.25,,2.125,,12.375,,0.1265,,5.125,,1.625,,1.5,,5.0,,0.0,,1.5,,0.625,,0.0
08/31/2019,"NJIT @ Brooklyn, NY",3-0,3.0,1.0,0,46.0,13.0,109.0,0.303,44.0,12.0,9.0,51.0,1.0,3.0,4.0,2.0,0.0,0.0,NJIT,3,15.333333333333334,4.333333333333333,36.333333333333336,14.666666666666666,4.0,3.0,17.0,1.0,1.3333333333333333,0.6666666666666666,0.0,,9.166666666666666,,3.5277777777777772,,23.25,,0.16333333333333333,,8.638888888888888,,1.4166666666666667,,1.4444444444444444,,10.666666666666666,,0.2222222222222222,,1.4444444444444444,,0.4166666666666667,,0.0
09/06/2019,Eastern Ill.,3-0,3.0,1.0,0,42.0,11.0,103.0,0.301,39.0,3.0,7.0,50.0,7.0,2.0,6.0,1.0,50.0,1.0,Eastern Ill.,3,14.0,3.6666666666666665,34.333333333333336,13.0,1.0,2.333333333333333,16.666666666666668,0.6666666666666666,2.0,0.3333333333333333,16.666666666666668,14.277777777777779,10.708333333333334,4.972222222222222,3.729166666666666,35.361111111111114,26.520833333333336,0.2643333333333333,0.19824999999999998,13.527777777777777,10.145833333333332,2.75,2.0625,2.444444444444444,1.8333333333333333,16.333333333333332,12.25,0.5555555555555555,0.41666666666666663,1.8888888888888886,1.4166666666666665,0.6388888888888888,0.47916666666666663,0.0,0.0
09/06/2019,North Dakota St.,3-2,5.0,1.0,0,59.0,25.0,179.0,0.19,53.0,7.0,5.0,73.0,5.0,0.0,6.0,4.0,69.0,1.0,North Dakota St.,5,11.8,5.0,35.8,10.6,1.4,1.0,14.6,0.0,1.2,0.8,13.8,15.444444444444445,11.366666666666667,4.777777777777778,3.7166666666666663,38.55555555555556,28.083333333333336,0.2803333333333333,0.21879999999999997,14.444444444444443,10.716666666666665,2.0,1.85,2.222222222222222,1.9333333333333331,18.555555555555557,13.133333333333335,0.7777777777777777,0.4666666666666666,1.5555555555555554,1.5333333333333332,0.3333333333333333,0.45,5.555555555555556,3.3333333333333335
09/07/2019,UIC,0-3,3.0,1.0,0,33.0,19.0,95.0,0.147,32.0,0.0,3.0,33.0,9.0,4.0,2.0,1.0,38.0,0.0,UIC,3,11.0,6.333333333333333,31.666666666666668,10.666666666666666,0.0,1.0,11.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,12.666666666666666,13.71111111111111,11.43888888888889,4.333333333333333,3.9305555555555554,35.48888888888889,29.36944444444445,0.26466666666666666,0.21399999999999997,12.755555555555555,10.697222222222221,2.1333333333333333,1.7750000000000001,2.111111111111111,1.7777777777777777,16.08888888888889,13.377777777777778,0.5555555555555556,0.38888888888888884,1.511111111111111,1.4777777777777776,0.6,0.5083333333333333,10.155555555555557,5.077777777777778
09/13/2019,@ DePaul,1-3,4.0,1.0,0,53.0,18.0,145.0,0.241,50.0,2.0,5.0,47.0,2.0,12.0,0.0,0.0,67.0,0.0,DePaul,4,13.25,4.5,36.25,12.5,0.5,1.25,11.75,3.0,0.0,0.0,16.75,12.266666666666666,11.376190476190477,5.0,4.273809523809524,33.93333333333333,29.69761904761905,0.21266666666666667,0.2044285714285714,11.422222222222222,10.692857142857141,0.7999999999999999,1.5214285714285716,1.4444444444444444,1.6666666666666665,14.088888888888889,13.038095238095238,0.6666666666666666,0.5238095238095237,1.288888888888889,1.3619047619047617,0.4888888888888889,0.48333333333333334,14.377777777777778,6.161904761904762
09/14/2019,"Valparaiso @ Chicago, IL",3-1,4.0,1.0,0,51.0,31.0,181.0,0.11,51.0,4.0,4.0,92.0,4.0,8.0,2.0,0.0,64.0,0.0,Valparaiso,4,12.75,7.75,45.25,12.75,1.0,1.0,23.0,2.0,0.5,0.0,16.0,12.016666666666666,11.610416666666667,5.277777777777778,4.302083333333333,34.57222222222222,30.51666666666667,0.19266666666666665,0.20899999999999996,11.255555555555555,10.91875,0.6333333333333333,1.39375,1.0833333333333333,1.6145833333333333,12.450000000000001,12.877083333333333,1.4444444444444446,0.8333333333333333,0.6222222222222222,1.1916666666666664,0.37777777777777777,0.42291666666666666,14.405555555555557,7.485416666666667
09/14/2019,"Holy Cross @ Chicago, IL",3-0,3.0,1.0,0,42.0,10.0,107.0,0.299,40.0,3.0,3.0,49.0,4.0,8.0,4.0,0.0,55.0,0.0,Holy Cross,3,14.0,3.333333333333333,35.666666666666664,13.333333333333334,1.0,1.0,16.333333333333332,2.6666666666666665,1.3333333333333333,0.0,18.33333333333333,12.333333333333334,11.737037037037037,6.194444444444444,4.685185185185185,37.72222222222222,32.153703703703705,0.166,0.19799999999999998,11.972222222222221,11.122222222222222,0.5,1.35,1.0833333333333333,1.5462962962962963,15.25,14.001851851851852,2.111111111111111,0.9629629629629629,0.38888888888888884,1.1148148148148147,0.1111111111111111,0.37592592592592594,15.138888888888888,8.43148148148148
09/20/2019,"Eastern Ill. @ Youngstown, Ohio",3-2,5.0,0.0,0,60.0,30.0,190.0,0.158,56.0,6.0,10.0,97.0,3.0,0.0,14.0,2.0,73.0,2.0,Eastern Ill.,5,12.0,6.0,38.0,11.2,1.2,2.0,19.4,0.0,2.8,0.4,14.6,13.333333333333334,11.963333333333335,5.194444444444444,4.55,39.05555555555555,32.505,0.21666666666666665,0.2081,12.861111111111112,11.343333333333332,0.8333333333333334,1.315,1.0833333333333333,1.4916666666666667,17.027777777777775,14.235,2.5555555555555554,1.1333333333333333,0.6111111111111112,1.1366666666666665,0.0,0.3383333333333333,17.027777777777775,9.421666666666665
09/20/2019,"Robert Morris @ Youngstown, Ohio",3-0,3.0,0.0,0,51.0,21.0,123.0,0.244,50.0,3.0,3.0,55.0,3.0,2.0,6.0,2.0,59.0,1.0,Robert Morris,3,17.0,7.0,41.0,16.666666666666668,1.0,1.0,18.33333333333333,0.6666666666666666,2.0,0.6666666666666666,19.666666666666668,12.916666666666666,11.966666666666667,5.694444444444444,4.681818181818182,39.638888888888886,33.00454545454546,0.18899999999999997,0.20354545454545453,12.427777777777777,11.33030303030303,1.0666666666666667,1.3045454545454545,1.3333333333333333,1.5378787878787876,19.57777777777778,14.704545454545455,1.5555555555555554,1.0303030303030303,1.5444444444444443,1.2878787878787876,0.13333333333333333,0.34393939393939393,16.31111111111111,9.89242424242424
09/21/2019,@ Youngstown St.,3-0,3.0,0.0,0,39.0,12.0,115.0,0.235,37.0,3.0,5.0,53.0,4.0,2.0,8.0,2.0,48.0,0.0,Youngstown St.,3,13.0,4.0,38.333333333333336,12.333333333333334,1.0,1.6666666666666667,17.666666666666668,0.6666666666666666,2.6666666666666665,0.6666666666666666,16.0,14.333333333333334,12.386111111111111,5.444444444444444,4.875,38.22222222222222,33.670833333333334,0.23366666666666666,0.20691666666666664,13.733333333333334,11.774999999999999,1.0666666666666667,1.2791666666666666,1.3333333333333333,1.4930555555555554,18.022222222222222,15.006944444444443,1.111111111111111,0.9999999999999999,2.0444444444444443,1.347222222222222,0.35555555555555557,0.37083333333333335,17.53333333333333,10.706944444444444
09/27/2019,@ NIU,3-1,4.0,1.0,0,54.0,21.0,132.0,0.25,51.0,2.0,10.0,53.0,2.0,3.0,14.0,1.0,66.0,0.0,NIU,4,13.5,5.25,33.0,12.75,0.5,2.5,13.25,0.75,3.5,0.25,16.5,14.0,12.433333333333334,5.666666666666667,4.8076923076923075,39.111111111111114,34.02948717948718,0.21233333333333335,0.20907692307692305,13.4,11.817948717948717,1.0666666666666667,1.2576923076923079,1.5555555555555556,1.5064102564102564,18.466666666666665,15.21153846153846,0.4444444444444444,0.9743589743589742,2.488888888888889,1.4487179487179487,0.5777777777777778,0.39358974358974363,16.755555555555556,11.114102564102563
09/28/2019,@ Western Mich.,3-0,3.0,0.0,0,45.0,17.0,119.0,0.235,41.0,1.0,8.0,62.0,0.0,4.0,12.0,0.0,56.0,0.0,Western Mich.,3,15.0,5.666666666666667,39.66666666666666,13.666666666666666,0.3333333333333333,2.6666666666666665,20.666666666666668,1.3333333333333333,4.0,0.0,18.666666666666668,14.5,12.50952380952381,5.416666666666667,4.839285714285714,37.44444444444445,33.95595238095238,0.243,0.21199999999999997,13.91666666666667,11.88452380952381,0.8333333333333334,1.2035714285714287,1.7222222222222223,1.5773809523809523,16.416666666666668,15.07142857142857,0.6944444444444443,0.9583333333333331,2.7222222222222228,1.5952380952380951,0.5277777777777778,0.38333333333333336,17.38888888888889,11.498809523809523
10/03/2019,@ Eastern Mich.,3-1,4.0,1.0,0,56.0,22.0,177.0,0.192,53.0,4.0,5.0,72.0,3.0,0.0,12.0,0.0,66.0,0.0,Eastern Mich.,4,14.0,5.5,44.25,13.25,1.0,1.25,18.0,0.0,3.0,0.0,16.5,13.833333333333334,12.675555555555555,4.972222222222222,4.894444444444445,37.0,34.336666666666666,0.24,0.2135333333333333,12.916666666666666,12.003333333333332,0.611111111111111,1.1455555555555557,2.277777777777778,1.65,17.194444444444446,15.444444444444441,0.9166666666666666,0.9833333333333332,3.3888888888888893,1.7555555555555555,0.3055555555555555,0.3577777777777778,17.055555555555557,11.976666666666665
10/05/2019,Kent St.,3-1,4.0,1.0,0,58.0,19.0,165.0,0.236,55.0,6.0,5.0,81.0,3.0,1.0,6.0,0.0,68.0,1.0,Kent St.,4,14.5,4.75,41.25,13.75,1.5,1.25,20.25,0.25,1.5,0.0,17.0,14.166666666666666,12.758333333333333,5.472222222222221,4.932291666666667,38.97222222222222,34.95625,0.22566666666666665,0.21218749999999997,13.222222222222221,12.081249999999999,0.611111111111111,1.1364583333333333,2.138888888888889,1.625,17.305555555555557,15.604166666666664,0.6944444444444443,0.9218749999999999,3.5,1.8333333333333333,0.08333333333333333,0.3354166666666667,17.222222222222225,12.259374999999999
10/11/2019,Ball St.,3-1,4.0,1.0,0,67.0,24.0,182.0,0.236,59.0,2.0,6.0,92.0,7.0,1.0,4.0,2.0,72.0,0.0,Ball St.,4,16.75,6.0,45.5,14.75,0.5,1.5,23.0,0.25,1.0,0.5,18.0,14.5,12.860784313725489,5.305555555555555,4.921568627450981,41.72222222222222,35.32647058823529,0.22099999999999997,0.2135882352941176,13.555555555555555,12.17941176470588,0.9444444444444443,1.157843137254902,1.722222222222222,1.6029411764705883,19.63888888888889,15.877450980392155,0.5277777777777778,0.8823529411764705,2.8333333333333335,1.8137254901960784,0.0,0.31568627450980397,17.38888888888889,12.538235294117646
