date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,@ Nebraska,1-3,4.0,1.0,0,44.0,33.0,163.0,0.067,37.0,5.0,10.0,65.0,5.0,0.0,8.0,4.0,53.0,0.0,Nebraska,4,11.0,8.25,40.75,9.25,1.25,2.5,16.25,0.0,2.0,1.0,13.25
08/31/2019,"Baylor @ Lincoln, NE",0-3,3.0,1.0,0,31.0,14.0,99.0,0.172,27.0,3.0,13.0,33.0,3.0,0.0,6.0,3.0,37.0,0.0,Baylor,3,10.333333333333334,4.666666666666667,33.0,9.0,1.0,4.333333333333333,11.0,0.0,2.0,1.0,12.333333333333334
09/06/2019,"Kentucky @ Cedar Falls, IA",3-1,4.0,1.0,0,65.0,14.0,161.0,0.317,59.0,4.0,14.0,63.0,3.0,2.0,16.0,1.0,79.0,2.0,Kentucky,4,16.25,3.5,40.25,14.75,1.0,3.5,15.75,0.5,4.0,0.25,19.75
09/06/2019,@ UNI,3-2,5.0,1.0,0,57.0,28.0,188.0,0.154,55.0,6.0,8.0,88.0,3.0,1.0,13.0,4.0,70.5,0.0,UNI,5,11.4,5.6,37.6,11.0,1.2,1.6,17.6,0.2,2.6,0.8,14.1
09/07/2019,"Southern California @ Cedar Falls, IA",3-1,4.0,1.0,0,65.0,15.0,141.0,0.355,58.0,4.0,9.0,60.0,9.0,2.0,8.0,5.0,75.0,0.0,Southern California,4,16.25,3.75,35.25,14.5,1.0,2.25,15.0,0.5,2.0,1.25,18.75
09/13/2019,Omaha,3-0,3.0,0.0,0,34.0,12.0,84.0,0.262,34.0,8.0,10.0,37.0,4.0,1.0,8.0,2.0,47.0,0.0,Omaha,3,11.333333333333334,4.0,28.0,11.333333333333334,2.6666666666666665,3.3333333333333335,12.333333333333334,0.3333333333333333,2.6666666666666665,0.6666666666666666,15.666666666666666
09/14/2019,Drake,3-1,4.0,0.0,0,63.0,15.0,141.0,0.34,60.0,5.0,16.0,73.0,6.0,3.0,12.0,2.0,77.0,0.0,Drake,4,15.75,3.75,35.25,15.0,1.25,4.0,18.25,0.75,3.0,0.5,19.25
09/14/2019,Washington,1-3,4.0,0.0,0,54.0,22.0,150.0,0.213,52.0,5.0,9.0,49.0,9.0,1.0,6.0,2.0,63.0,1.0,Washington,4,13.5,5.5,37.5,13.0,1.25,2.25,12.25,0.25,1.5,0.5,15.75
09/19/2019,Wichita St.,3-0,3.0,0.0,0,44.0,15.0,105.0,0.276,39.0,2.0,10.0,39.0,1.0,3.0,16.0,2.0,57.0,0.0,Wichita St.,3,14.666666666666666,5.0,35.0,13.0,0.6666666666666666,3.3333333333333335,13.0,1.0,5.333333333333333,0.6666666666666666,19.0
09/21/2019,Wyoming,3-0,3.0,0.0,0,40.0,16.0,118.0,0.203,37.0,6.0,5.0,53.0,4.0,4.0,20.0,2.0,60.0,0.0,Wyoming,3,13.333333333333334,5.333333333333333,39.333333333333336,12.333333333333334,2.0,1.6666666666666667,17.666666666666668,1.3333333333333333,6.666666666666667,0.6666666666666666,20.0
