date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
09/06/2019,"Western Ill. @ Cape Girardeau, Mo.",2-3,5.0,0.0,0,68.0,25.0,168.0,0.256,65.0,6.0,12.0,64.0,6.0,0.0,6.0,2.0,77.0,3.0,Western Ill.,5,13.6,5.0,33.6,13.0,1.2,2.4,12.8,0.0,1.2,0.4,15.4
09/06/2019,"Jackson St. @ Cape Girardeau, Mo.",3-0,3.0,0.0,0,40.0,15.0,111.0,0.225,39.0,8.0,6.0,55.0,3.0,0.0,12.0,1.0,54.0,0.0,Jackson St.,3,13.333333333333334,5.0,37.0,13.0,2.6666666666666665,2.0,18.333333333333332,0.0,4.0,0.3333333333333333,18.0
09/07/2019,@ Southeast Mo. St.,0-3,3.0,0.0,0,42.0,28.0,141.0,0.099,40.0,3.0,4.0,68.0,7.0,1.0,4.0,0.0,48.0,1.0,Southeast Mo. St.,3,14.0,9.333333333333334,47.0,13.333333333333334,1.0,1.3333333333333333,22.666666666666668,0.3333333333333333,1.3333333333333333,0.0,16.0
09/10/2019,@ Tennessee St.,3-0,3.0,0.0,0,45.0,20.0,133.0,0.188,42.0,5.0,9.0,44.0,3.0,0.0,0.0,3.0,50.0,0.0,Tennessee St.,3,15.0,6.666666666666667,44.333333333333336,14.0,1.6666666666666667,3.0,14.666666666666666,0.0,0.0,1.0,16.666666666666668
09/13/2019,Purdue Fort Wayne,3-1,4.0,0.0,0,67.0,26.0,164.0,0.25,64.0,7.0,12.0,70.0,2.0,1.0,12.0,2.0,81.0,0.0,Purdue Fort Wayne,4,16.75,6.5,41.0,16.0,1.75,3.0,17.5,0.25,3.0,0.5,20.25
09/14/2019,Middle Tenn.,3-1,4.0,0.0,0,54.0,22.0,152.0,0.211,49.0,4.0,7.0,63.0,6.0,0.0,16.0,2.0,66.0,0.0,Middle Tenn.,4,13.5,5.5,38.0,12.25,1.0,1.75,15.75,0.0,4.0,0.5,16.5
09/14/2019,Eastern Ill.,3-2,5.0,0.0,0,77.0,37.0,228.0,0.175,69.0,6.0,17.0,105.0,5.0,1.0,22.0,1.0,95.0,0.0,Eastern Ill.,5,15.4,7.4,45.6,13.8,1.2,3.4,21.0,0.2,4.4,0.2,19.0
09/17/2019,Tennessee Tech,3-2,5.0,0.0,0,75.0,22.0,167.0,0.317,70.0,6.0,11.0,65.0,2.0,1.0,18.0,4.0,91.0,0.0,Tennessee Tech,5,15.0,4.4,33.4,14.0,1.2,2.2,13.0,0.2,3.6,0.8,18.2
09/20/2019,@ UT Martin,3-1,4.0,1.0,0,60.0,26.0,152.0,0.224,58.0,7.0,6.0,76.0,4.0,2.0,14.0,1.0,76.0,1.0,UT Martin,4,15.0,6.5,38.0,14.5,1.75,1.5,19.0,0.5,3.5,0.25,19.0
09/20/2019,"Little Rock @ Martin, TN",3-0,3.0,1.0,0,41.0,14.0,138.0,0.196,36.0,3.0,6.0,55.0,3.0,0.0,12.0,2.0,50.0,0.0,Little Rock,3,13.666666666666666,4.666666666666667,46.0,12.0,1.0,2.0,18.333333333333332,0.0,4.0,0.6666666666666666,16.666666666666668
09/21/2019,"Mercer @ Martin, TN",3-1,4.0,1.0,0,46.0,17.0,150.0,0.193,42.0,7.0,12.0,66.0,2.0,5.0,10.0,2.0,63.0,1.0,Mercer,4,11.5,4.25,37.5,10.5,1.75,3.0,16.5,1.25,2.5,0.5,15.75
09/27/2019,@ UNI,1-3,4.0,1.0,0,55.0,33.0,182.0,0.121,55.0,3.0,7.0,92.0,3.0,0.0,10.0,1.0,63.0,1.0,UNI,4,13.75,8.25,45.5,13.75,0.75,1.75,23.0,0.0,2.5,0.25,15.75
09/28/2019,@ Drake,3-1,4.0,0.0,0,60.0,19.0,153.0,0.268,59.0,4.0,3.0,86.0,7.0,0.0,12.0,1.0,70.0,0.0,Drake,4,15.0,4.75,38.25,14.75,1.0,0.75,21.5,0.0,3.0,0.25,17.5
09/30/2019,Illinois St.,3-2,5.0,0.0,0,51.0,29.0,156.0,0.141,46.0,9.0,8.0,52.0,7.0,1.0,18.0,3.0,70.0,0.0,Illinois St.,5,10.2,5.8,31.2,9.2,1.8,1.6,10.4,0.2,3.6,0.6,14.0
10/04/2019,Valparaiso,3-2,5.0,0.0,0,60.0,29.0,196.0,0.158,56.0,6.0,6.0,87.0,2.0,0.0,18.0,1.0,75.0,0.0,Valparaiso,5,12.0,5.8,39.2,11.2,1.2,1.2,17.4,0.0,3.6,0.2,15.0
10/05/2019,Loyola Chicago,0-3,3.0,0.0,0,25.0,18.0,109.0,0.064,24.0,1.0,9.0,44.0,7.0,0.0,4.0,1.0,28.0,0.0,Loyola Chicago,3,8.333333333333334,6.0,36.333333333333336,8.0,0.3333333333333333,3.0,14.666666666666666,0.0,1.3333333333333333,0.3333333333333333,9.333333333333334
