date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,"Wisconsin @ Chapel Hill, N.C.",0-3,3.0,0.0,0,31.0,16.0,104.0,0.144,30.0,5.0,4.0,45.0,4.0,0.0,16.0,2.0,44.0,2.0,Wisconsin
08/31/2019,"Minnesota @ Chapel Hill, N.C.",3-0,3.0,0.0,0,43.0,15.0,112.0,0.25,40.0,5.0,4.0,55.0,0.0,2.0,16.0,5.0,58.0,0.0,Minnesota
09/06/2019,"Fla. Atlantic @ Fort Worth, Texas",3-2,5.0,0.0,0,64.0,20.0,150.0,0.293,61.0,7.0,7.0,67.0,8.0,2.0,24.0,4.0,85.0,0.0,Fla. Atlantic
09/07/2019,"Colorado St. @ Fort Worth, Texas",0-3,3.0,0.0,0,28.0,13.0,89.0,0.169,23.0,3.0,6.0,36.0,7.0,1.0,10.0,3.0,37.0,0.0,Colorado St.
09/08/2019,@ TCU,3-0,3.0,0.0,0,39.0,10.0,92.0,0.315,37.0,5.0,6.0,43.0,2.0,0.0,14.0,2.0,51.0,0.0,TCU
09/13/2019,Stony Brook,3-0,3.0,0.0,0,37.0,14.0,100.0,0.23,35.0,6.0,2.0,53.0,3.0,0.0,25.0,1.0,55.5,0.0,Stony Brook
09/14/2019,St. John's (NY),3-0,3.0,0.0,0,47.0,16.0,119.0,0.261,44.0,1.0,3.0,48.0,5.0,6.0,18.0,2.0,63.0,1.0,St. John's 
09/17/2019,@ Florida,0-3,3.0,0.0,0,32.0,16.0,107.0,0.15,29.0,0.0,3.0,40.0,5.0,2.0,6.0,3.0,37.0,1.0,Florida
09/20/2019,Alabama,3-0,3.0,0.0,0,39.0,7.0,86.0,0.372,36.0,2.0,8.0,37.0,1.0,1.0,16.0,0.0,50.0,1.0,Alabama
09/27/2019,@ Duke,3-1,4.0,1.0,0,55.0,16.0,140.0,0.279,50.0,3.0,6.0,66.0,4.0,2.0,16.0,1.0,68.0,3.0,Duke
09/29/2019,@ Wake Forest,3-0,3.0,0.0,0,38.0,14.0,97.0,0.247,34.0,5.0,3.0,43.0,4.0,4.0,12.0,4.0,53.0,0.0,Wake Forest
10/04/2019,Virginia,3-1,4.0,0.0,0,56.0,12.0,126.0,0.349,55.0,4.0,7.0,60.0,3.0,2.0,6.0,1.0,65.0,0.0,Virginia
10/06/2019,Pittsburgh,1-3,4.0,0.0,0,33.0,18.0,112.0,0.134,30.0,3.0,5.0,53.0,8.0,1.0,34.0,4.0,54.0,0.0,Pittsburgh
10/11/2019,@ NC State,3-0,3.0,1.0,0,37.0,9.0,81.0,0.346,35.0,5.0,8.0,41.0,1.0,1.0,18.0,0.0,52.0,0.0,NC State
10/13/2019,@ North Carolina,2-3,5.0,0.0,0,61.0,29.0,169.0,0.189,60.0,5.0,5.0,63.0,7.0,4.0,22.0,4.0,81.0,1.0,North Carolina
10/18/2019,Boston College,3-0,3.0,0.0,0,52.0,11.0,105.0,0.39,47.0,3.0,5.0,39.0,8.0,1.0,16.0,1.0,64.0,0.0,Boston College
10/20/2019,Syracuse,3-0,3.0,0.0,0,39.0,10.0,81.0,0.358,35.0,3.0,2.0,32.0,5.0,0.0,26.0,1.0,55.0,2.0,Syracuse
10/25/2019,@ Georgia Tech,0-3,3.0,1.0,0,24.0,17.0,100.0,0.07,22.0,3.0,6.0,39.0,6.0,0.0,14.0,2.0,34.0,2.0,Georgia Tech
10/27/2019,@ Clemson,3-1,4.0,0.0,0,60.0,17.0,124.0,0.347,55.0,2.0,5.0,49.0,5.0,2.0,20.0,1.0,74.0,2.0,Clemson
10/30/2019,Miami (FL),3-1,4.0,0.0,0,57.0,24.0,145.0,0.228,51.0,5.0,5.0,63.0,7.0,1.0,22.0,1.0,74.0,1.0,Miami 
11/01/2019,@ Virginia Tech,3-0,3.0,1.0,0,37.0,11.0,103.0,0.252,32.0,6.0,7.0,53.0,2.0,2.0,20.0,0.0,55.0,2.0,Virginia Tech
11/02/2019,@ High Point,3-2,5.0,1.0,0,68.0,21.0,188.0,0.25,62.0,1.0,6.0,95.0,5.0,1.0,26.0,4.0,83.0,0.0,High Point
11/08/2019,Notre Dame,0-3,3.0,0.0,0,32.0,16.0,113.0,0.142,30.0,3.0,5.0,51.0,6.0,0.0,17.0,3.0,43.5,1.0,Notre Dame
11/10/2019,Louisville,3-1,4.0,0.0,0,52.0,16.0,127.0,0.283,46.0,9.0,3.0,63.0,5.0,3.0,22.0,1.0,75.0,2.0,Louisville
11/17/2019,North Carolina,2-3,5.0,0.0,0,67.0,18.0,152.0,0.322,65.0,3.0,7.0,72.0,7.0,5.0,18.0,4.0,84.0,3.0,North Carolina
11/22/2019,@ Pittsburgh,1-3,4.0,0.0,0,47.0,22.0,162.0,0.154,45.0,2.0,3.0,75.0,4.0,4.0,14.0,5.0,60.0,2.0,Pittsburgh
11/24/2019,Duke,3-0,3.0,0.0,0,34.0,6.0,74.0,0.378,34.0,10.0,4.0,35.0,3.0,2.0,10.0,1.0,51.0,1.0,Duke
11/27/2019,@ Miami (FL),3-1,4.0,1.0,0,46.0,15.0,138.0,0.225,44.0,8.0,7.0,73.0,6.0,0.0,24.0,2.0,66.0,2.0,Miami 
12/05/2019,"UCF @ Gainesville, Fla.",2-3,5.0,0.0,0,56.0,27.0,219.0,0.132,54.0,4.0,6.0,123.0,3.0,1.0,20.0,3.0,71.0,1.0,UCF
