date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,"Loyola Maryland @ Charlottesville, VA",2-3,5.0,1.0,0,50.0,23.0,172.0,0.157,46.0,3.0,8.0,78.0,7.0,2.0,12.0,1.0,0.0,1.0,Loyola Maryland
08/30/2019,@ Virginia,1-3,4.0,1.0,0,36.0,24.0,128.0,0.094,32.0,4.0,4.0,55.0,10.0,1.0,12.0,1.0,0.0,0.0,Virginia
08/31/2019,"Coastal Carolina @ Charlottesville, VA",0-3,3.0,1.0,0,36.0,20.0,100.0,0.16,35.0,5.0,2.0,46.0,4.0,1.0,10.0,1.0,0.0,2.0,Coastal Carolina
09/07/2019,"James Madison @ High Point, NC",0-3,3.0,1.0,0,30.0,21.0,110.0,0.082,29.0,4.0,4.0,50.0,5.0,0.0,4.0,0.0,36.0,1.0,James Madison
09/07/2019,"Kennesaw St. @ High Point, NC",2-3,5.0,1.0,0,56.0,12.0,175.0,0.251,46.0,5.0,8.0,71.0,14.0,0.0,12.0,0.0,67.0,1.0,Kennesaw St.
09/08/2019,@ High Point,0-3,3.0,1.0,0,26.0,16.0,109.0,0.092,19.0,1.0,4.0,45.0,7.0,1.0,2.0,0.0,29.0,1.0,High Point
09/13/2019,@ Elon,1-3,4.0,0.0,0,54.0,21.0,131.0,0.252,51.0,3.0,8.0,44.0,4.0,1.0,16.0,0.0,66.0,4.0,Elon
09/14/2019,@ Wake Forest,0-3,3.0,0.0,0,31.0,16.0,103.0,0.146,31.0,0.0,4.0,42.0,7.0,1.0,10.0,3.0,37.0,1.0,Wake Forest
09/19/2019,@ Winthrop,1-3,4.0,0.0,0,46.0,23.0,135.0,0.17,43.0,1.0,6.0,62.0,5.0,6.0,13.0,2.0,59.5,2.0,Winthrop
09/20/2019,"App State @ Rock Hill, SC",0-3,3.0,0.0,0,33.0,13.0,101.0,0.198,29.0,2.0,7.0,45.0,13.0,1.0,12.0,1.0,42.0,3.0,App State
09/22/2019,NC State,0-3,3.0,0.0,0,34.0,19.0,95.0,0.158,32.0,3.0,2.0,34.0,4.0,2.0,16.0,3.0,47.0,1.0,NC State
09/27/2019,ETSU,1-3,4.0,0.0,0,64.0,20.0,142.0,0.31,62.0,6.0,6.0,60.0,9.0,6.0,10.0,3.0,81.0,1.0,ETSU
09/28/2019,Western Caro.,2-3,5.0,0.0,0,64.0,26.0,193.0,0.197,56.0,0.0,9.0,88.0,8.0,6.0,6.0,5.0,73.0,0.0,Western Caro.
10/04/2019,Wofford,0-3,3.0,0.0,0,40.0,18.0,108.0,0.204,38.0,5.0,8.0,34.0,7.0,3.0,6.0,0.0,51.0,1.0,Wofford
10/05/2019,The Citadel,3-1,4.0,0.0,0,54.0,24.0,130.0,0.231,52.0,9.0,8.0,57.0,3.0,3.0,14.0,4.0,73.0,0.0,The Citadel
10/11/2019,@ Samford,0-3,3.0,0.0,0,29.0,18.0,99.0,0.111,28.0,2.0,3.0,48.0,9.0,2.0,10.0,1.0,38.0,1.0,Samford
10/12/2019,@ Chattanooga,3-2,5.0,1.0,0,64.0,33.0,187.0,0.166,54.0,5.0,5.0,89.0,6.0,4.0,22.0,0.0,84.0,5.0,Chattanooga
10/16/2019,UNC Greensboro,3-1,4.0,0.0,0,68.0,22.0,171.0,0.269,65.0,6.0,9.0,79.0,5.0,2.0,8.0,4.0,80.0,0.0,UNC Greensboro
10/18/2019,Mercer,3-2,5.0,0.0,0,57.0,27.0,149.0,0.201,48.0,3.0,7.0,51.0,7.0,5.0,12.0,3.0,71.0,3.0,Mercer
10/25/2019,@ ETSU,3-2,5.0,1.0,0,52.0,19.0,162.0,0.204,48.0,5.0,4.0,79.0,9.0,3.0,8.0,0.0,64.0,0.0,ETSU
10/26/2019,@ Western Caro.,0-3,3.0,1.0,0,44.0,20.0,148.0,0.162,40.0,4.0,3.0,73.0,5.0,1.0,0.0,1.0,49.0,0.0,Western Caro.
11/01/2019,@  The Citadel,1 - 3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Citadel
11/02/2019,@ Wofford,1-3,4.0,1.0,0,57.0,22.0,151.0,0.232,50.0,6.0,5.0,55.0,7.0,5.0,2.0,5.0,69.0,0.0,Wofford
11/08/2019,Chattanooga,3-2,5.0,0.0,0,78.0,20.0,171.0,0.339,73.0,4.0,7.0,70.0,8.0,8.0,4.0,4.0,92.0,0.0,Chattanooga
11/09/2019,Samford,2-3,5.0,0.0,0,61.0,20.0,179.0,0.229,58.0,5.0,4.0,85.0,8.0,1.0,22.0,2.0,78.0,3.0,Samford
11/12/2019,@ UNC Greensboro,3-1,4.0,0.0,0,51.0,15.0,152.0,0.237,50.0,7.0,1.0,75.0,6.0,3.0,12.0,2.0,67.0,1.0,UNC Greensboro
11/16/2019,@ Mercer,2-3,5.0,1.0,0,43.0,24.0,175.0,0.109,37.0,5.0,5.0,83.0,6.0,7.0,16.0,5.0,63.0,1.0,Mercer
11/22/2019,@ Wofford,3-1,4.0,1.0,0,45.0,13.0,134.0,0.239,40.0,3.0,2.0,62.0,8.0,14.0,10.0,3.0,67.0,0.0,Wofford
11/23/2019,"Samford @ Spartanburg, SC",2-3,5.0,1.0,0,70.0,21.0,194.0,0.253,54.0,2.0,6.0,91.0,7.0,2.0,12.0,4.0,80.0,1.0,Samford
