date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
09/06/2019,Sacred Heart,3-2,5.0,0.0,0,49.0,15.0,139.0,0.245,46.0,12.0,12.0,39.0,2.0,0.0,20.0,2.0,71.0,1.0,Sacred Heart
09/07/2019,Colgate,1-3,4.0,0.0,0,46.0,22.0,131.0,0.183,42.0,6.0,10.0,38.0,7.0,2.0,20.0,0.0,64.0,1.0,Colgate
09/07/2019,Rhode Island,3-1,4.0,0.0,0,62.0,14.0,140.0,0.343,53.0,6.0,12.0,51.0,2.0,0.0,16.0,1.0,76.0,0.0,Rhode Island
09/13/2019,"La Salle @ Santa Barbara, CA",0-3,3.0,0.0,0,34.0,17.0,110.0,0.155,34.0,5.0,9.0,45.0,5.0,2.0,12.0,2.0,47.0,0.0,La Salle
09/14/2019,"San Diego @ Santa Barbara, CA",0-3,3.0,0.0,0,29.0,16.0,86.0,0.151,27.0,1.0,5.0,26.0,6.0,2.0,10.0,1.0,37.0,1.0,San Diego
09/14/2019,@ UC Santa Barbara,1-3,4.0,0.0,0,41.0,17.0,119.0,0.202,39.0,2.0,5.0,46.0,11.0,1.0,8.0,2.0,48.0,1.0,UC Santa Barbara
09/18/2019,Boston College,2-3,5.0,0.0,0,58.0,24.0,152.0,0.224,52.0,5.0,16.0,52.0,10.0,1.0,20.0,1.0,74.0,0.0,Boston College
09/19/2019,@ Northeastern,1-3,4.0,0.0,0,50.0,23.0,135.0,0.2,45.0,5.0,11.0,44.0,8.0,2.0,12.0,0.0,63.0,0.0,Northeastern
09/21/2019,Syracuse,1-3,4.0,0.0,0,41.0,19.0,98.0,0.224,36.0,9.0,7.0,35.0,7.0,1.0,10.0,2.0,56.0,3.0,Syracuse
09/28/2019,Dartmouth,2-3,5.0,0.0,0,53.0,35.0,151.0,0.119,50.0,8.0,13.0,53.0,11.0,0.0,18.0,0.0,70.0,0.0,Dartmouth
10/04/2019,@ Yale,0-3,3.0,0.0,0,30.0,20.0,107.0,0.093,26.0,2.0,6.0,50.0,4.0,1.0,8.0,0.0,37.0,0.0,Yale
10/05/2019,@ Brown,3-0,3.0,0.0,0,48.0,12.0,105.0,0.343,47.0,3.0,7.0,48.0,7.0,1.0,12.0,1.0,58.0,1.0,Brown
10/11/2019,@ Columbia,0-3,3.0,0.0,0,32.0,21.0,111.0,0.099,30.0,4.0,6.0,28.0,4.0,2.0,15.0,2.0,45.5,2.0,Columbia
10/12/2019,@ Cornell,1-3,4.0,1.0,0,49.0,18.0,134.0,0.231,49.0,10.0,9.0,48.0,6.0,3.0,6.0,0.0,65.0,2.0,Cornell
10/18/2019,Princeton,0-3,3.0,0.0,0,38.0,18.0,107.0,0.187,36.0,2.0,7.0,34.0,7.0,1.0,0.0,2.0,41.0,0.0,Princeton
10/19/2019,Penn,3-1,4.0,0.0,0,49.0,20.0,120.0,0.242,45.0,6.0,8.0,44.0,1.0,0.0,18.0,2.0,64.0,0.0,Penn
10/25/2019,@ Dartmouth,0-3,3.0,1.0,0,48.0,19.0,125.0,0.232,38.0,4.0,9.0,47.0,4.0,0.0,1.0,0.0,52.5,1.0,Dartmouth
11/01/2019,Brown,2-3,5.0,0.0,0,57.0,30.0,175.0,0.154,55.0,11.0,7.0,73.0,10.0,1.0,26.0,1.0,82.0,0.0,Brown
11/02/2019,Yale,3-1,4.0,0.0,0,64.0,19.0,150.0,0.3,58.0,5.0,6.0,72.0,7.0,2.0,24.0,3.0,83.0,0.0,Yale
11/08/2019,@ Penn,1-3,4.0,1.0,0,44.0,27.0,138.0,0.123,43.0,11.0,7.0,60.0,7.0,3.0,12.0,2.0,64.0,2.0,Penn
11/09/2019,@ Princeton,0-3,3.0,0.0,0,27.0,14.0,105.0,0.124,25.0,5.0,4.0,36.0,6.0,2.0,4.0,3.0,36.0,0.0,Princeton
11/15/2019,Cornell,0-3,3.0,0.0,0,27.0,18.0,103.0,0.087,25.0,9.0,5.0,40.0,8.0,1.0,10.0,2.0,42.0,2.0,Cornell
11/16/2019,Columbia,2-3,5.0,0.0,0,57.0,19.0,165.0,0.23,52.0,7.0,11.0,49.0,5.0,2.0,19.0,3.0,75.5,1.0,Columbia
