date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,"Fordham @ Atlanta, Ga.",2-3,5.0,0.0,0,65.0,43.0,187.0,0.118,63.0,6.0,4.0,74.0,7.0,2.0,8.0,1.0,77.0,0.0,Fordham,5,13.0,8.6,37.4,12.6,1.2,0.8,14.8,0.4,1.6,0.2,15.4
08/31/2019,@ Georgia St.,2-3,5.0,1.0,0,61.0,37.0,174.0,0.138,57.0,7.0,7.0,65.0,7.0,2.0,14.0,1.0,77.0,2.0,Georgia St.,5,12.2,7.4,34.8,11.4,1.4,1.4,13.0,0.4,2.8,0.2,15.4
08/31/2019,"Western Caro. @ Atlanta, GA",3-0,3.0,1.0,0,39.0,16.0,112.0,0.205,37.0,4.0,5.0,56.0,4.0,2.0,14.0,1.0,0.0,2.0,Western Caro.,3,13.0,5.333333333333333,37.333333333333336,12.333333333333334,1.3333333333333333,1.6666666666666667,18.666666666666668,0.6666666666666666,4.666666666666667,0.3333333333333333,0.0
09/06/2019,Prairie View,3-0,3.0,1.0,0,46.0,10.0,88.0,0.409,45.0,7.0,5.0,44.0,2.0,2.0,2.0,1.0,56.0,0.0,Prairie View,3,15.333333333333334,3.3333333333333335,29.333333333333332,15.0,2.3333333333333335,1.6666666666666667,14.666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,18.666666666666668
09/06/2019,South Dakota St.,3-0,3.0,1.0,0,46.0,12.0,113.0,0.301,42.0,8.0,9.0,48.0,3.0,2.0,8.0,3.0,60.0,0.0,South Dakota St.,3,15.333333333333334,4.0,37.666666666666664,14.0,2.6666666666666665,3.0,16.0,0.6666666666666666,2.6666666666666665,1.0,20.0
09/07/2019,ULM,3-0,3.0,1.0,0,46.0,12.0,107.0,0.318,41.0,11.0,3.0,49.0,7.0,1.0,8.0,1.0,62.0,0.0,ULM,3,15.333333333333334,4.0,35.666666666666664,13.666666666666666,3.6666666666666665,1.0,16.333333333333332,0.3333333333333333,2.6666666666666665,0.3333333333333333,20.666666666666668
09/10/2019,Houston,1-3,4.0,1.0,0,44.0,27.0,143.0,0.119,43.0,4.0,8.0,63.0,7.0,0.0,16.0,2.0,56.0,0.0,Houston,4,11.0,6.75,35.75,10.75,1.0,2.0,15.75,0.0,4.0,0.5,14.0
09/13/2019,"Grambling @ Las Cruces, NM",3-0,3.0,1.0,0,46.0,14.0,100.0,0.32,41.0,3.0,5.0,43.0,0.0,0.0,8.0,1.0,53.0,0.0,Grambling,3,15.333333333333334,4.666666666666667,33.333333333333336,13.666666666666666,1.0,1.6666666666666667,14.333333333333334,0.0,2.6666666666666665,0.3333333333333333,17.666666666666668
09/14/2019,"Portland @ Las Cruces, NM",1-3,4.0,1.0,0,33.0,30.0,136.0,0.022,26.0,4.0,7.0,57.0,9.0,0.0,6.0,2.0,40.0,0.0,Portland,4,8.25,7.5,34.0,6.5,1.0,1.75,14.25,0.0,1.5,0.5,10.0
09/14/2019,@ New Mexico St.,1-3,4.0,1.0,0,42.0,30.0,147.0,0.082,40.0,9.0,2.0,54.0,5.0,1.0,4.0,0.0,54.0,0.0,New Mexico St.,4,10.5,7.5,36.75,10.0,2.25,0.5,13.5,0.25,1.0,0.0,13.5
09/24/2019,@ New Orleans,1-3,4.0,1.0,0,39.0,25.0,127.0,0.11,38.0,6.0,9.0,51.0,5.0,1.0,4.0,2.0,48.0,2.0,New Orleans,4,9.75,6.25,31.75,9.5,1.5,2.25,12.75,0.25,1.0,0.5,12.0
09/28/2019,@ Southeastern La.,1-3,4.0,1.0,0,45.0,27.0,139.0,0.129,44.0,6.0,8.0,66.0,8.0,0.0,10.0,0.0,56.0,4.0,Southeastern La.,4,11.25,6.75,34.75,11.0,1.5,2.0,16.5,0.0,2.5,0.0,14.0
10/03/2019,SFA,0-3,3.0,1.0,0,36.0,22.0,114.0,0.123,35.0,6.0,4.0,48.0,10.0,1.0,6.0,0.0,46.0,0.0,SFA,3,12.0,7.333333333333333,38.0,11.666666666666666,2.0,1.3333333333333333,16.0,0.3333333333333333,2.0,0.0,15.333333333333334
10/05/2019,Abilene Christian,3-1,4.0,1.0,0,59.0,26.0,150.0,0.22,56.0,13.0,6.0,47.0,3.0,2.0,12.0,0.0,80.0,1.0,Abilene Christian,4,14.75,6.5,37.5,14.0,3.25,1.5,11.75,0.5,3.0,0.0,20.0
10/08/2019,@ Northwestern St.,0-3,3.0,1.0,0,22.0,19.0,94.0,0.032,21.0,4.0,6.0,34.0,7.0,0.0,4.0,0.0,28.0,2.0,Northwestern St.,3,7.333333333333333,6.333333333333333,31.333333333333332,7.0,1.3333333333333333,2.0,11.333333333333334,0.0,1.3333333333333333,0.0,9.333333333333334
10/12/2019,@ Sam Houston,0-3,3.0,1.0,0,39.0,25.0,127.0,0.11,38.0,2.0,5.0,40.0,3.0,0.0,14.0,0.0,48.0,2.0,Sam Houston,3,13.0,8.333333333333334,42.333333333333336,12.666666666666666,0.6666666666666666,1.6666666666666667,13.333333333333334,0.0,4.666666666666667,0.0,16.0
10/17/2019,Central Ark.,0-3,3.0,1.0,0,28.0,20.0,112.0,0.071,27.0,4.0,1.0,46.0,3.0,1.0,0.0,0.0,33.0,2.0,Central Ark.,3,9.333333333333334,6.666666666666667,37.333333333333336,9.0,1.3333333333333333,0.3333333333333333,15.333333333333334,0.3333333333333333,0.0,0.0,11.0
10/19/2019,Nicholls,3-0,3.0,1.0,0,40.0,14.0,102.0,0.255,37.0,4.0,3.0,42.0,7.0,0.0,8.0,0.0,48.0,1.0,Nicholls,3,13.333333333333334,4.666666666666667,34.0,12.333333333333334,1.3333333333333333,1.0,14.0,0.0,2.6666666666666665,0.0,16.0
10/22/2019,@ McNeese,3-0,3.0,1.0,0,46.0,15.0,125.0,0.248,46.0,5.0,4.0,60.0,3.0,2.0,4.0,0.0,55.0,2.0,McNeese,3,15.333333333333334,5.0,41.666666666666664,15.333333333333334,1.6666666666666667,1.3333333333333333,20.0,0.6666666666666666,1.3333333333333333,0.0,18.333333333333332
10/26/2019,@ Houston Christian,0-3,3.0,1.0,0,31.0,20.0,119.0,0.092,30.0,6.0,3.0,46.0,2.0,0.0,8.0,0.0,41.0,0.0,Houston Christian,3,10.333333333333334,6.666666666666667,39.666666666666664,10.0,2.0,1.0,15.333333333333334,0.0,2.6666666666666665,0.0,13.666666666666666
10/31/2019,UIW,1-3,4.0,1.0,0,59.0,21.0,144.0,0.264,54.0,6.0,8.0,68.0,11.0,2.0,4.0,0.0,69.0,0.0,UIW,4,14.75,5.25,36.0,13.5,1.5,2.0,17.0,0.5,1.0,0.0,17.25
11/02/2019,A&M-Corpus Christi,1-3,4.0,1.0,0,43.0,25.0,137.0,0.131,41.0,6.0,10.0,47.0,9.0,0.0,2.0,0.0,50.0,1.0,A&M-Corpus Christi,4,10.75,6.25,34.25,10.25,1.5,2.5,11.75,0.0,0.5,0.0,12.5
11/05/2019,New Orleans,0-3,3.0,1.0,0,33.0,23.0,122.0,0.082,33.0,4.0,7.0,53.0,6.0,2.0,2.0,0.0,40.0,0.0,New Orleans,3,11.0,7.666666666666667,40.666666666666664,11.0,1.3333333333333333,2.3333333333333335,17.666666666666668,0.6666666666666666,0.6666666666666666,0.0,13.333333333333334
11/09/2019,Southeastern La.,3-2,5.0,1.0,0,58.0,30.0,153.0,0.183,54.0,6.0,8.0,58.0,5.0,4.0,16.0,0.0,76.0,0.0,Southeastern La.,5,11.6,6.0,30.6,10.8,1.2,1.6,11.6,0.8,3.2,0.0,15.2
11/14/2019,@ SFA,0-3,3.0,1.0,0,31.0,21.0,106.0,0.094,30.0,0.0,9.0,38.0,5.0,0.0,2.0,1.0,32.0,1.0,SFA,3,10.333333333333334,7.0,35.333333333333336,10.0,0.0,3.0,12.666666666666666,0.0,0.6666666666666666,0.3333333333333333,10.666666666666666
11/16/2019,@ Abilene Christian,2-3,5.0,1.0,0,71.0,31.0,171.0,0.234,66.0,2.0,8.0,63.0,6.0,1.0,8.0,0.0,78.0,1.0,Abilene Christian,5,14.2,6.2,34.2,13.2,0.4,1.6,12.6,0.2,1.6,0.0,15.6
