date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,Minnesota,0-3,3.0,0.0,0,35.0,21.0,112.0,0.125,31.0,4.0,5.0,35.0,3.0,0.0,14.0,3.0,46.0,0.0,Minnesota
08/31/2019,Wisconsin,0-3,3.0,0.0,0,33.0,13.0,91.0,0.22,29.0,0.0,3.0,30.0,5.0,0.0,12.0,1.0,39.0,0.0,Wisconsin
09/06/2019,"California @ Irvine, CA",0-3,3.0,1.0,0,27.0,19.0,101.0,0.079,24.0,4.0,4.0,33.0,1.0,0.0,6.0,1.0,34.0,1.0,California
09/06/2019,@ UC Irvine,3-1,4.0,1.0,0,52.0,16.0,120.0,0.3,48.0,11.0,14.0,38.0,2.0,2.0,19.0,5.0,74.5,0.0,UC Irvine
09/07/2019,"UNLV @ Irvine, CA",2-3,5.0,1.0,0,52.0,23.0,142.0,0.204,46.0,7.0,7.0,58.0,9.0,1.0,18.0,4.0,69.0,1.0,UNLV
09/13/2019,"Miami (OH) @ Rochester, Mich.",1-3,4.0,0.0,0,45.0,19.0,147.0,0.177,42.0,3.0,9.0,70.0,8.0,2.0,22.0,2.0,61.0,0.0,Miami 
09/15/2019,@ Michigan St.,0-3,3.0,1.0,0,29.0,25.0,97.0,0.041,27.0,4.0,9.0,35.0,4.0,0.0,12.0,2.0,39.0,1.0,Michigan St.
09/20/2019,VCU,1-3,4.0,0.0,0,55.0,27.0,172.0,0.163,53.0,6.0,10.0,65.0,2.0,2.0,14.0,5.0,70.0,0.0,VCU
09/21/2019,Colgate,3-1,4.0,0.0,0,56.0,25.0,153.0,0.203,51.0,3.0,7.0,61.0,2.0,3.0,15.0,1.0,69.5,0.0,Colgate
09/21/2019,Radford,3-0,3.0,0.0,0,43.0,19.0,101.0,0.238,38.0,5.0,5.0,47.0,1.0,1.0,12.0,5.0,55.0,0.0,Radford
09/27/2019,@ Notre Dame,0-3,3.0,1.0,0,35.0,19.0,107.0,0.15,35.0,2.0,7.0,52.0,1.0,1.0,18.0,1.0,47.0,5.0,Notre Dame
09/29/2019,@ Louisville,1-3,4.0,1.0,0,48.0,25.0,150.0,0.153,48.0,5.0,12.0,60.0,4.0,4.0,22.0,0.0,68.0,0.0,Louisville
10/02/2019,@ NC State,3-2,5.0,1.0,0,59.0,24.0,159.0,0.22,51.0,7.0,12.0,56.0,3.0,5.0,29.0,1.0,85.5,3.0,NC State
10/06/2019,Virginia Tech,3-1,4.0,0.0,0,69.0,24.0,166.0,0.271,63.0,2.0,9.0,69.0,1.0,2.0,16.0,2.0,81.0,1.0,Virginia Tech
10/11/2019,Miami (FL),3-1,4.0,0.0,0,51.0,23.0,138.0,0.203,46.0,5.0,9.0,49.0,4.0,2.0,44.0,4.0,80.0,0.0,Miami 
10/13/2019,Florida St.,3-2,5.0,0.0,0,66.0,34.0,179.0,0.179,63.0,7.0,4.0,74.0,5.0,3.0,26.0,2.0,89.0,0.0,Florida St.
10/18/2019,@ Pittsburgh,0-3,3.0,0.0,0,31.0,19.0,96.0,0.125,30.0,6.0,9.0,30.0,5.0,0.0,14.0,4.0,44.0,1.0,Pittsburgh
10/20/2019,@ Virginia,3-0,3.0,1.0,0,48.0,11.0,99.0,0.374,43.0,4.0,4.0,41.0,5.0,2.0,14.0,2.0,61.0,1.0,Virginia
10/25/2019,Syracuse,3-1,4.0,0.0,0,57.0,20.0,137.0,0.27,54.0,4.0,10.0,43.0,6.0,1.0,17.0,1.0,70.5,0.0,Syracuse
10/27/2019,Boston College,3-0,3.0,0.0,0,45.0,10.0,102.0,0.343,42.0,4.0,2.0,29.0,2.0,3.0,10.0,4.0,57.0,0.0,Boston College
11/01/2019,Georgia Tech,2-3,5.0,0.0,0,63.0,26.0,173.0,0.214,62.0,4.0,13.0,63.0,3.0,2.0,21.0,1.0,79.5,0.0,Georgia Tech
11/03/2019,Clemson,3-0,3.0,0.0,0,41.0,16.0,115.0,0.217,38.0,3.0,8.0,53.0,1.0,4.0,22.0,0.0,59.0,0.0,Clemson
11/07/2019,@ Duke,3-1,4.0,1.0,0,59.0,26.0,169.0,0.195,54.0,5.0,5.0,77.0,2.0,1.0,12.0,1.0,71.0,4.0,Duke
11/10/2019,@ Wake Forest,3-0,3.0,0.0,0,41.0,13.0,120.0,0.233,37.0,4.0,5.0,51.0,2.0,1.0,10.0,2.0,51.0,0.0,Wake Forest
11/17/2019,@ Florida St.,3-2,5.0,0.0,0,67.0,27.0,171.0,0.234,64.0,7.0,6.0,62.0,3.0,1.0,25.0,1.0,87.5,3.0,Florida St.
11/21/2019,Duke,3-0,3.0,0.0,0,43.0,20.0,114.0,0.202,33.0,4.0,6.0,49.0,5.0,1.0,20.0,2.0,58.0,0.0,Duke
11/27/2019,Wake Forest,2-3,5.0,0.0,0,63.0,28.0,161.0,0.217,57.0,6.0,9.0,58.0,3.0,2.0,15.0,2.0,78.5,2.0,Wake Forest
11/29/2019,@ Virginia Tech,2-3,5.0,1.0,0,50.0,33.0,179.0,0.095,49.0,7.0,8.0,75.0,7.0,0.0,2.0,0.0,58.0,0.0,Virginia Tech
