date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,Illinois St.,1-3,4.0,0.0,0,27.0,16.0,112.0,0.098,26.0,3.0,4.0,36.0,9.0,3.0,16.0,0.0,41.0,0.0,Illinois St.
08/30/2019,Pepperdine,3-2,5.0,1.0,0,53.0,19.0,174.0,0.195,48.0,4.0,6.0,81.0,6.0,0.0,21.0,2.0,0.0,0.0,Pepperdine
08/31/2019,Tulsa,3-1,4.0,1.0,0,58.0,17.0,146.0,0.281,53.0,2.0,8.0,64.0,4.0,1.0,26.0,1.0,0.0,0.0,Tulsa
09/05/2019,@ Cal Poly,0-3,3.0,0.0,0,20.0,14.0,84.0,0.071,20.0,0.0,8.0,29.0,9.0,0.0,6.0,5.0,23.0,0.0,Cal Poly
09/06/2019,"San Jose St. @ San Luis Obispo, CA",2-3,5.0,0.0,0,54.0,20.0,174.0,0.195,48.0,5.0,5.0,65.0,7.0,3.0,20.0,0.0,72.0,1.0,San Jose St.
09/07/2019,"Wichita St. @ San Luis Obispo, CA",1-3,4.0,0.0,0,54.0,25.0,158.0,0.184,50.0,3.0,3.0,75.0,4.0,2.0,6.0,4.0,62.0,2.0,Wichita St.
09/13/2019,"Cal St. Fullerton @ Abilene, TX",3-0,3.0,1.0,0,42.0,16.0,113.0,0.23,41.0,3.0,1.0,65.0,1.0,1.0,8.0,0.0,50.0,1.0,Cal St. Fullerton
09/14/2019,@ Abilene Christian,3-0,3.0,1.0,0,53.0,17.0,129.0,0.279,51.0,3.0,3.0,64.0,4.0,1.0,6.0,1.0,60.0,2.0,Abilene Christian
09/14/2019,"Prairie View @ Abilene, TX",3-0,3.0,1.0,0,57.0,13.0,130.0,0.338,52.0,3.0,4.0,66.0,0.0,0.0,8.0,2.0,64.0,1.0,Prairie View
09/19/2019,Kansas St.,2-3,5.0,1.0,0,58.0,17.0,175.0,0.234,50.0,7.0,5.0,67.0,4.0,3.0,8.0,3.0,72.0,0.0,Kansas St.
09/20/2019,New Mexico,2-3,5.0,1.0,0,57.0,25.0,198.0,0.162,52.0,6.0,7.0,96.0,9.0,3.0,20.0,3.0,76.0,0.0,New Mexico
09/21/2019,Ohio,3-0,3.0,1.0,0,50.0,7.0,117.0,0.368,47.0,1.0,4.0,59.0,3.0,4.0,5.0,1.0,57.5,0.0,Ohio
09/27/2019,UAB,3-0,3.0,1.0,0,46.0,14.0,120.0,0.267,43.0,2.0,6.0,60.0,9.0,3.0,8.0,0.0,55.0,0.0,UAB
09/29/2019,Rice,0-3,3.0,1.0,0,33.0,13.0,117.0,0.171,32.0,1.0,2.0,50.0,5.0,1.0,12.0,1.0,41.0,0.0,Rice
10/04/2019,@ Southern Miss.,3-1,4.0,0.0,0,62.0,12.0,149.0,0.336,58.0,7.0,4.0,71.0,3.0,1.0,8.0,1.0,74.0,0.0,Southern Miss.
10/06/2019,@ Louisiana Tech,3-0,3.0,1.0,0,52.0,12.0,133.0,0.301,49.0,6.0,3.0,75.0,3.0,1.0,8.0,1.0,63.0,0.0,Louisiana Tech
10/13/2019,Southern Miss.,3-0,3.0,1.0,0,46.0,10.0,103.0,0.35,46.0,3.0,8.0,54.0,0.0,0.0,22.0,2.0,60.0,0.0,Southern Miss.
10/18/2019,@ Charlotte,3-0,3.0,0.0,0,53.0,17.0,142.0,0.254,48.0,2.0,2.0,80.0,0.0,0.0,10.0,0.0,60.0,0.0,Charlotte
10/20/2019,@ Marshall,3-1,4.0,0.0,0,64.0,25.0,188.0,0.207,59.0,2.0,4.0,88.0,4.0,1.0,12.0,0.0,73.0,1.0,Marshall
10/25/2019,Middle Tenn.,2-3,5.0,1.0,0,66.0,34.0,189.0,0.169,61.0,1.0,6.0,70.0,3.0,5.0,8.0,0.0,76.0,0.0,Middle Tenn.
10/27/2019,Louisiana Tech,3-0,3.0,1.0,0,43.0,10.0,90.0,0.367,41.0,5.0,5.0,37.0,4.0,0.0,6.0,2.0,51.0,0.0,Louisiana Tech
11/01/2019,@ FIU,3-2,5.0,1.0,0,60.0,22.0,191.0,0.199,56.0,4.0,6.0,97.0,8.0,4.0,32.0,1.0,84.0,2.0,FIU
11/03/2019,@ Fla. Atlantic,3-2,5.0,0.0,0,56.0,23.0,157.0,0.21,51.0,6.0,6.0,63.0,8.0,1.0,15.0,3.0,70.5,3.0,Fla. Atlantic
11/08/2019,Western Ky.,1-3,4.0,1.0,0,47.0,22.0,148.0,0.169,38.0,4.0,4.0,53.0,7.0,1.0,10.0,1.0,57.0,0.0,Western Ky.
11/10/2019,@ UTEP,1-3,4.0,0.0,0,45.0,30.0,134.0,0.112,42.0,6.0,8.0,49.0,4.0,3.0,10.0,3.0,59.0,5.0,UTEP
11/16/2019,UTSA,3-2,5.0,1.0,0,54.0,15.0,128.0,0.305,52.0,14.0,8.0,52.0,11.0,1.0,16.0,3.0,77.0,0.0,UTSA
11/22/2019,"UTSA @ Houston, Texas",1-3,4.0,0.0,0,54.0,32.0,189.0,0.116,51.0,5.0,8.0,88.0,8.0,2.0,24.0,2.0,73.0,0.0,UTSA
11/29/2019,@ SMU,3-1,4.0,1.0,0,59.0,16.0,188.0,0.229,47.0,5.0,12.0,77.0,2.0,0.0,18.0,0.0,73.0,0.0,SMU
