date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,"South Alabama @ Fort Wayne, Ind.",3-1,4.0,0.0,0,52.0,21.0,128.0,0.242,45.0,6.0,13.0,58.0,4.0,4.0,16.0,1.0,70.0,1.0,South Alabama,4,13.0,5.25,32.0,11.25,1.5,3.25,14.5,1.0,4.0,0.25,17.5
08/31/2019,"Western Mich. @ Fort Wayne, Ind.",2-3,5.0,0.0,0,63.0,26.0,179.0,0.207,60.0,5.0,8.0,71.0,4.0,4.0,4.0,2.0,74.0,1.0,Western Mich.,5,12.6,5.2,35.8,12.0,1.0,1.6,14.2,0.8,0.8,0.4,14.8
08/31/2019,@ Purdue Fort Wayne,3-0,3.0,0.0,0,39.0,7.0,109.0,0.294,35.0,8.0,6.0,54.0,1.0,1.0,20.0,1.0,58.0,0.0,Purdue Fort Wayne,3,13.0,2.3333333333333335,36.333333333333336,11.666666666666666,2.6666666666666665,2.0,18.0,0.3333333333333333,6.666666666666667,0.3333333333333333,19.333333333333332
09/06/2019,"Stony Brook @ Washington, D.C.",3-0,3.0,0.0,0,43.0,14.0,100.0,0.29,41.0,9.0,6.0,48.0,2.0,2.0,14.0,0.0,61.0,1.0,Stony Brook,3,14.333333333333334,4.666666666666667,33.333333333333336,13.666666666666666,3.0,2.0,16.0,0.6666666666666666,4.666666666666667,0.0,20.333333333333332
09/07/2019,@ Georgetown,3-1,4.0,0.0,0,57.0,21.0,157.0,0.229,54.0,7.0,12.0,82.0,5.0,2.0,20.0,2.0,76.0,0.0,Georgetown,4,14.25,5.25,39.25,13.5,1.75,3.0,20.5,0.5,5.0,0.5,19.0
09/07/2019,"Marshall @ Washington, D.C.",0-3,3.0,0.0,0,35.0,26.0,107.0,0.084,35.0,3.0,5.0,33.0,6.0,0.0,6.0,0.0,41.0,0.0,Marshall,3,11.666666666666666,8.666666666666666,35.666666666666664,11.666666666666666,1.0,1.6666666666666667,11.0,0.0,2.0,0.0,13.666666666666666
09/13/2019,Ball St.,2-3,5.0,0.0,0,65.0,27.0,194.0,0.196,60.0,6.0,9.0,91.0,3.0,2.0,27.0,2.0,86.5,0.0,Ball St.,5,13.0,5.4,38.8,12.0,1.2,1.8,18.2,0.4,5.4,0.4,17.3
09/14/2019,Notre Dame,1-3,4.0,0.0,0,54.0,26.0,168.0,0.167,52.0,7.0,10.0,73.0,3.0,1.0,6.0,1.0,65.0,1.0,Notre Dame,4,13.5,6.5,42.0,13.0,1.75,2.5,18.25,0.25,1.5,0.25,16.25
09/14/2019,Cincinnati,3-2,5.0,0.0,0,71.0,23.0,178.0,0.27,64.0,5.0,9.0,65.0,4.0,3.0,26.0,2.0,92.0,0.0,Cincinnati,5,14.2,4.6,35.6,12.8,1.0,1.8,13.0,0.6,5.2,0.4,18.4
09/20/2019,@ Western Ky.,2-3,5.0,0.0,0,54.0,29.0,173.0,0.145,50.0,4.0,8.0,80.0,8.0,0.0,24.0,1.0,70.0,4.0,Western Ky.,5,10.8,5.8,34.6,10.0,0.8,1.6,16.0,0.0,4.8,0.2,14.0
09/21/2019,Samford @ Unknown,3-0,3.0,0.0,0,37.0,17.0,108.0,0.185,35.0,12.0,5.0,46.0,2.0,4.0,8.0,2.0,57.0,2.0,Samford,3,12.333333333333334,5.666666666666667,36.0,11.666666666666666,4.0,1.6666666666666667,15.333333333333334,1.3333333333333333,2.6666666666666665,0.6666666666666666,19.0
