date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,Western Mich.,2-3,5.0,0.0,0,58.0,22.0,158.0,0.228,51.0,1.0,9.0,59.0,3.0,2.0,24.0,2.0,73.0,1.0,Western Mich.,5,11.6,4.4,31.6,10.2,0.2,1.8,11.8,0.4,4.8,0.4,14.6
08/31/2019,South Alabama,3-1,4.0,0.0,0,54.0,12.0,125.0,0.336,48.0,4.0,11.0,53.0,4.0,0.0,20.0,2.0,68.0,1.0,South Alabama,4,13.5,3.0,31.25,12.0,1.0,2.75,13.25,0.0,5.0,0.5,17.0
08/31/2019,Northern Ky.,0-3,3.0,0.0,0,34.0,25.0,120.0,0.075,33.0,1.0,2.0,56.0,8.0,0.0,4.0,1.0,37.0,0.0,Northern Ky.,3,11.333333333333334,8.333333333333334,40.0,11.0,0.3333333333333333,0.6666666666666666,18.666666666666668,0.0,1.3333333333333333,0.3333333333333333,12.333333333333334
09/06/2019,"Nevada @ San Francisco, CA",0-3,3.0,1.0,0,38.0,20.0,101.0,0.178,35.0,5.0,8.0,36.0,4.0,0.0,2.0,2.0,44.0,1.0,Nevada,3,12.666666666666666,6.666666666666667,33.666666666666664,11.666666666666666,1.6666666666666667,2.6666666666666665,12.0,0.0,0.6666666666666666,0.6666666666666666,14.666666666666666
09/06/2019,@ San Francisco,0-3,3.0,1.0,0,26.0,17.0,89.0,0.101,26.0,3.0,7.0,38.0,6.0,1.0,14.0,1.0,37.0,2.0,San Francisco,3,8.666666666666666,5.666666666666667,29.666666666666668,8.666666666666666,1.0,2.3333333333333335,12.666666666666666,0.3333333333333333,4.666666666666667,0.3333333333333333,12.333333333333334
09/07/2019,"UC Riverside @ San Francisco, CA",3-2,5.0,1.0,0,57.0,24.0,181.0,0.182,52.0,2.0,8.0,82.0,10.0,0.0,20.0,4.0,69.0,2.0,UC Riverside,5,11.4,4.8,36.2,10.4,0.4,1.6,16.4,0.0,4.0,0.8,13.8
09/10/2019,IUPUI,1-3,4.0,0.0,0,55.0,20.0,157.0,0.223,53.0,5.0,5.0,69.0,7.0,2.0,16.0,0.0,70.0,2.0,IUPUI,4,13.75,5.0,39.25,13.25,1.25,1.25,17.25,0.5,4.0,0.0,17.5
09/13/2019,@ Evansville,1-3,4.0,0.0,0,46.0,17.0,145.0,0.2,44.0,2.0,5.0,55.0,7.0,1.0,16.0,2.0,57.0,0.0,Evansville,4,11.5,4.25,36.25,11.0,0.5,1.25,13.75,0.25,4.0,0.5,14.25
09/14/2019,Middle Tenn.,2-3,5.0,0.0,0,44.0,23.0,166.0,0.127,40.0,3.0,5.0,75.0,8.0,5.0,24.0,2.0,64.0,0.0,Middle Tenn.,5,8.8,4.6,33.2,8.0,0.6,1.0,15.0,1.0,4.8,0.4,12.8
09/14/2019,Eastern Ill.,3-1,4.0,0.0,0,53.0,20.0,134.0,0.246,48.0,6.0,5.0,70.0,5.0,0.0,14.0,3.0,66.0,0.0,Eastern Ill.,4,13.25,5.0,33.5,12.0,1.5,1.25,17.5,0.0,3.5,0.75,16.5
