date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,Canisius,3-0,3.0,0.0,0,45.0,19.0,120.0,0.217,40.0,7.0,3.0,50.0,1.0,0.0,14.0,1.0,59.0,0.0,Canisius
08/30/2019,CSU Bakersfield,3-2,5.0,0.0,0,50.0,25.0,140.0,0.179,45.0,5.0,10.0,62.0,6.0,2.0,28.0,3.0,71.0,2.0,CSU Bakersfield
08/31/2019,Nevada,1-3,4.0,0.0,0,46.0,27.0,179.0,0.106,42.0,8.0,10.0,82.0,4.0,2.0,20.0,5.0,66.0,1.0,Nevada
09/03/2019,@ UC Davis,1-3,4.0,0.0,0,33.0,19.0,121.0,0.116,31.0,2.0,8.0,51.0,7.0,0.0,12.0,0.0,41.0,1.0,UC Davis
09/05/2019,"Denver @ Honolulu, HI",0-3,3.0,1.0,0,29.0,13.0,89.0,0.18,24.0,2.0,9.0,36.0,7.0,1.0,6.0,2.0,35.0,0.0,Denver
09/06/2019,@ Hawaii,0-3,3.0,1.0,0,38.0,18.0,116.0,0.172,36.0,2.0,6.0,49.0,2.0,1.0,0.0,1.0,41.0,2.0,Hawaii
09/07/2019,"Army West Point @ Honolulu, HI",3-2,5.0,1.0,0,52.0,30.0,206.0,0.107,44.0,2.0,12.0,89.0,8.0,2.0,23.0,8.0,67.5,1.0,Army West Point
09/13/2019,"Murray St. @ Chicago, Ill.",1-3,4.0,0.0,0,45.0,20.0,146.0,0.171,41.0,2.0,8.0,62.0,7.0,2.0,22.0,10.0,60.0,4.0,Murray St.
09/14/2019,"Bradley @ Chicago, Ill.",1-3,4.0,0.0,0,52.0,28.0,177.0,0.136,47.0,6.0,6.0,85.0,8.0,2.0,12.0,0.0,66.0,0.0,Bradley
09/14/2019,@ UIC,0-3,3.0,0.0,0,39.0,18.0,116.0,0.181,35.0,3.0,7.0,44.0,4.0,0.0,6.0,5.0,45.0,4.0,UIC
09/20/2019,"New Mexico St. @ Tucson, AZ",3-2,5.0,1.0,0,56.0,24.0,157.0,0.204,51.0,4.0,19.0,57.0,4.0,1.0,16.0,2.0,69.0,0.0,New Mexico St.
09/20/2019,"Alabama St. @ Tucson, AZ",3-0,3.0,1.0,0,46.0,8.0,95.0,0.4,41.0,5.0,7.0,46.0,3.0,1.0,4.0,0.0,54.0,0.0,Alabama St.
09/21/2019,@ Arizona,1-3,4.0,1.0,0,44.0,25.0,127.0,0.15,43.0,6.0,9.0,41.0,4.0,3.0,12.0,0.0,59.0,1.0,Arizona
09/26/2019,@ Eastern Wash.,3-1,4.0,1.0,0,55.0,19.0,146.0,0.247,48.0,4.0,8.0,64.0,1.0,1.0,14.0,0.0,67.0,1.0,Eastern Wash.
09/28/2019,@ Idaho,2-3,5.0,1.0,0,63.0,29.0,195.0,0.174,58.0,4.0,13.0,92.0,6.0,3.0,6.0,0.0,73.0,0.0,Idaho
10/03/2019,Southern Utah,2-3,5.0,0.0,0,65.0,26.0,167.0,0.234,63.0,9.0,9.0,68.0,14.0,1.0,26.0,2.0,88.0,0.0,Southern Utah
10/05/2019,Northern Ariz.,3-2,5.0,0.0,0,79.0,29.0,203.0,0.246,71.0,12.0,18.0,89.0,7.0,2.0,14.0,3.0,100.0,1.0,Northern Ariz.
10/10/2019,@ Idaho St.,3-2,5.0,1.0,0,72.0,30.0,218.0,0.193,68.0,6.0,8.0,116.0,5.0,1.0,12.0,0.0,85.0,0.0,Idaho St.
10/12/2019,@ Weber St.,3-2,5.0,0.0,0,65.0,38.0,195.0,0.138,64.0,6.0,6.0,79.0,4.0,4.0,14.0,0.0,82.0,0.0,Weber St.
10/15/2019,Portland St.,3-0,3.0,0.0,0,51.0,21.0,126.0,0.238,48.0,10.0,6.0,56.0,2.0,1.0,8.0,1.0,66.0,1.0,Portland St.
10/17/2019,Northern Colo.,1-3,4.0,0.0,0,41.0,25.0,116.0,0.138,38.0,4.0,9.0,47.0,8.0,1.0,18.0,2.0,55.0,0.0,Northern Colo.
10/24/2019,Montana,3-1,4.0,0.0,0,59.0,25.0,152.0,0.224,53.0,9.0,7.0,62.0,8.0,3.0,12.0,1.0,77.0,0.0,Montana
10/26/2019,@ Montana St.,2-3,5.0,1.0,0,66.0,27.0,203.0,0.192,59.0,5.0,6.0,86.0,5.0,2.0,17.0,2.0,81.5,3.0,Montana St.
10/31/2019,Idaho,3-2,5.0,0.0,0,63.0,22.0,153.0,0.268,60.0,11.0,6.0,70.0,6.0,2.0,20.0,1.0,86.0,0.0,Idaho
11/02/2019,Eastern Wash.,2-3,5.0,0.0,0,50.0,19.0,160.0,0.194,46.0,8.0,14.0,74.0,12.0,4.0,22.0,2.0,73.0,1.0,Eastern Wash.
11/07/2019,@ Northern Ariz.,0-3,3.0,0.0,0,23.0,30.0,98.0,-0.071,22.0,2.0,3.0,43.0,12.0,1.0,4.0,4.0,28.0,0.0,Northern Ariz.
11/09/2019,@ Southern Utah,3-0,3.0,1.0,0,44.0,14.0,100.0,0.3,39.0,3.0,4.0,47.0,7.0,1.0,14.0,1.0,55.0,0.0,Southern Utah
11/14/2019,Weber St.,0-3,3.0,0.0,0,30.0,22.0,114.0,0.07,28.0,4.0,4.0,47.0,6.0,2.0,2.0,3.0,37.0,0.0,Weber St.
11/16/2019,Idaho St.,3-0,3.0,0.0,0,49.0,17.0,130.0,0.246,44.0,9.0,6.0,49.0,5.0,0.0,16.0,1.0,66.0,0.0,Idaho St.
11/19/2019,@ Portland St.,2-3,5.0,1.0,0,61.0,25.0,163.0,0.221,59.0,13.0,13.0,62.0,6.0,1.0,12.0,7.0,81.0,0.0,Portland St.
11/23/2019,@ Northern Colo.,1-3,4.0,1.0,0,55.0,19.0,150.0,0.24,52.0,4.0,10.0,55.0,3.0,3.0,10.0,0.0,67.0,0.0,Northern Colo.
11/28/2019,Montana St.,1-3,4.0,0.0,0,53.0,31.0,155.0,0.142,50.0,0.0,8.0,75.0,15.0,1.0,16.0,4.0,62.0,2.0,Montana St.
