date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2019,@ Denver,1-3,4.0,1.0,0,47.0,22.0,130.0,0.192,45.0,5.0,15.0,42.0,10.0,3.0,4.0,3.0,57.0,3.0,Denver,4,11.75,5.5,32.5,11.25,1.25,3.75,10.5,0.75,1.0,0.75,14.25,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/31/2019,"Seattle U @ Denver, CO",1-3,4.0,1.0,0,48.0,20.0,133.0,0.211,44.0,7.0,12.0,46.0,6.0,0.0,14.0,3.0,0.0,3.0,Seattle U,4,12.0,5.0,33.25,11.0,1.75,3.0,11.5,0.0,3.5,0.75,0.0,,5.875,,2.75,,16.25,,0.096,,5.625,,0.625,,1.875,,5.25,,0.375,,0.5,,0.375,,7.125
08/31/2019,"Southern Miss. @ Denver, CO",3-0,3.0,1.0,0,44.0,14.0,122.0,0.246,41.0,6.0,4.0,58.0,4.0,1.0,14.0,1.0,0.0,1.0,Southern Miss.,3,14.666666666666666,4.666666666666667,40.66666666666666,13.666666666666666,2.0,1.3333333333333333,19.33333333333333,0.3333333333333333,4.666666666666667,0.3333333333333333,0.0,,7.916666666666667,,3.5,,21.916666666666668,,0.13433333333333333,,7.416666666666667,,1.0,,2.25,,7.333333333333333,,0.25,,1.5,,0.5,,4.75
09/06/2019,UC Riverside,3-2,5.0,1.0,0,67.0,17.0,169.0,0.296,59.0,3.0,14.0,65.0,2.0,1.0,16.0,4.0,79.0,2.0,UC Riverside,5,13.4,3.4,33.8,11.8,0.6,2.8,13.0,0.2,3.2,0.8,15.8,12.805555555555555,9.604166666666666,5.055555555555556,3.791666666666667,35.47222222222222,26.604166666666664,0.21633333333333335,0.16225,11.972222222222221,8.979166666666666,1.6666666666666667,1.25,2.6944444444444446,2.0208333333333335,13.777777777777777,10.333333333333332,0.3611111111111111,0.2708333333333333,3.055555555555556,2.291666666666667,0.611111111111111,0.4583333333333333,4.75,3.5625
09/06/2019,Purdue Fort Wayne,3-0,3.0,1.0,0,41.0,14.0,98.0,0.276,40.0,6.0,6.0,45.0,3.0,3.0,8.0,2.0,54.0,1.0,Purdue Fort Wayne,3,13.666666666666666,4.666666666666667,32.666666666666664,13.333333333333334,2.0,2.0,15.0,1.0,2.6666666666666665,0.6666666666666666,18.0,13.355555555555554,10.363333333333333,4.355555555555555,3.7133333333333334,35.90555555555555,28.04333333333333,0.25099999999999995,0.189,12.155555555555557,9.543333333333333,1.45,1.1199999999999999,2.3777777777777778,2.1766666666666667,14.611111111111109,10.866666666666665,0.17777777777777778,0.25666666666666665,3.788888888888889,2.4733333333333336,0.6277777777777778,0.5266666666666666,5.266666666666667,6.01
09/07/2019,Nevada,1-3,4.0,1.0,0,53.0,23.0,160.0,0.188,46.0,2.0,7.0,76.0,6.0,5.0,6.0,2.0,63.0,1.0,Nevada,4,13.25,5.75,40.0,11.5,0.5,1.75,19.0,1.25,1.5,0.5,15.75,13.911111111111111,10.91388888888889,4.2444444444444445,3.8722222222222222,35.71111111111111,28.813888888888883,0.27266666666666667,0.20350000000000001,12.933333333333332,10.175,1.5333333333333332,1.2666666666666666,2.0444444444444443,2.147222222222222,15.777777777777777,11.555555555555555,0.5111111111111111,0.38055555555555554,3.511111111111111,2.5055555555555555,0.6,0.5499999999999999,11.266666666666666,8.008333333333333
09/13/2019,Utah St.,3-0,3.0,1.0,0,48.0,14.0,110.0,0.309,44.0,6.0,7.0,40.0,3.0,1.0,10.0,0.0,60.0,0.0,Utah St.,3,16.0,4.666666666666667,36.66666666666666,14.666666666666666,2.0,2.333333333333333,13.333333333333334,0.3333333333333333,3.333333333333333,0.0,20.0,13.43888888888889,11.247619047619049,4.605555555555555,4.140476190476191,35.48888888888889,30.411904761904758,0.25333333333333335,0.2012857142857143,12.211111111111114,10.364285714285716,1.0333333333333334,1.157142857142857,2.183333333333333,2.0904761904761906,15.666666666666666,12.619047619047619,0.8166666666666668,0.5047619047619047,2.4555555555555557,2.3619047619047615,0.6555555555555556,0.5428571428571428,16.516666666666666,9.114285714285714
09/14/2019,Cornell,1-3,4.0,1.0,0,47.0,27.0,128.0,0.156,45.0,6.0,5.0,41.0,4.0,1.0,12.0,1.0,60.0,1.0,Cornell,4,11.75,6.75,32.0,11.25,1.5,1.25,10.25,0.25,3.0,0.25,15.0,14.305555555555555,11.841666666666667,5.027777777777779,4.20625,36.444444444444436,31.193749999999994,0.25766666666666665,0.21475,13.166666666666666,10.902083333333335,1.5,1.2625,2.0277777777777777,2.120833333333333,15.777777777777779,12.708333333333332,0.861111111111111,0.48333333333333334,2.5,2.483333333333333,0.38888888888888884,0.475,17.916666666666668,10.475
09/20/2019,@ CSU Bakersfield,2-3,5.0,1.0,0,51.0,21.0,177.0,0.169,48.0,8.0,12.0,77.0,7.0,3.0,16.0,1.0,70.0,0.0,CSU Bakersfield,5,10.2,4.2,35.4,9.6,1.6,2.4,15.4,0.6,3.2,0.2,14.0,13.666666666666666,11.831481481481482,5.722222222222222,4.488888888888889,36.22222222222222,31.283333333333328,0.21766666666666665,0.2082222222222222,12.472222222222221,10.940740740740743,1.3333333333333333,1.2888888888888888,1.7777777777777777,2.0240740740740737,14.194444444444445,12.435185185185183,0.611111111111111,0.4574074074074075,2.611111111111111,2.5407407407407403,0.25,0.44999999999999996,16.916666666666668,10.977777777777778
09/21/2019,"Fresno St. @ Bakersfield, CA",0-3,3.0,1.0,0,41.0,18.0,131.0,0.176,41.0,3.0,10.0,61.0,3.0,0.0,16.0,3.0,52.0,3.0,Fresno St.,3,13.666666666666666,6.0,43.66666666666666,13.666666666666666,1.0,3.333333333333333,20.33333333333333,0.0,5.333333333333333,1.0,17.333333333333332,12.65,11.668333333333333,5.205555555555556,4.46,34.68888888888889,31.694999999999993,0.2113333333333333,0.20429999999999998,11.838888888888889,10.806666666666668,1.7,1.3199999999999998,1.9944444444444442,2.0616666666666665,12.994444444444445,12.731666666666666,0.3944444444444444,0.4716666666666667,3.1777777777777776,2.6066666666666665,0.15,0.425,16.333333333333332,11.28
