date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,"Seattle U @ Denver, Colo.",1-3,4.0,0.0,0,47.0,23.0,140.0,0.171,42.0,4.0,5.0,60.0,5.0,0.0,18.0,4.0,60.0,1.0,Seattle U,4,11.75,5.75,35.0,10.5,1.0,1.25,15.0,0.0,4.5,1.0,15.0
08/31/2019,@ Denver,0-3,3.0,1.0,0,31.0,15.0,87.0,0.184,25.0,1.0,5.0,21.0,5.0,1.0,4.0,2.0,0.0,1.0,Denver,3,10.333333333333334,5.0,29.0,8.333333333333334,0.3333333333333333,1.6666666666666667,7.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.0
08/31/2019,"San Francisco @ Denver, CO",0-3,3.0,1.0,0,31.0,21.0,119.0,0.084,31.0,4.0,3.0,51.0,6.0,1.0,6.0,3.0,0.0,0.0,San Francisco,3,10.333333333333334,7.0,39.666666666666664,10.333333333333334,1.3333333333333333,1.0,17.0,0.3333333333333333,2.0,1.0,0.0
09/06/2019,Arkansas St.,0-3,3.0,0.0,0,27.0,14.0,86.0,0.151,25.0,1.0,9.0,34.0,7.0,0.0,8.0,0.0,32.0,1.0,Arkansas St.,3,9.0,4.666666666666667,28.666666666666668,8.333333333333334,0.3333333333333333,3.0,11.333333333333334,0.0,2.6666666666666665,0.0,10.666666666666666
09/07/2019,New Orleans,0-3,3.0,0.0,0,31.0,18.0,119.0,0.109,27.0,1.0,6.0,47.0,2.0,0.0,6.0,1.0,35.0,1.0,New Orleans,3,10.333333333333334,6.0,39.666666666666664,9.0,0.3333333333333333,2.0,15.666666666666666,0.0,2.0,0.3333333333333333,11.666666666666666
09/07/2019,Mississippi St.,0-3,3.0,0.0,0,39.0,17.0,108.0,0.204,37.0,2.0,4.0,39.0,5.0,1.0,4.0,1.0,44.0,1.0,Mississippi St.,3,13.0,5.666666666666667,36.0,12.333333333333334,0.6666666666666666,1.3333333333333333,13.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,14.666666666666666
09/10/2019,@ Louisiana,0-3,3.0,0.0,0,31.0,20.0,106.0,0.104,30.0,2.0,8.0,53.0,3.0,1.0,8.0,3.0,38.0,1.0,Louisiana,3,10.333333333333334,6.666666666666667,35.333333333333336,10.0,0.6666666666666666,2.6666666666666665,17.666666666666668,0.3333333333333333,2.6666666666666665,1.0,12.666666666666666
09/13/2019,"Winthrop @ Statesboro, GA",0-3,3.0,1.0,0,31.0,16.0,115.0,0.13,30.0,3.0,1.0,71.0,4.0,1.0,4.0,3.0,37.0,1.0,Winthrop,3,10.333333333333334,5.333333333333333,38.333333333333336,10.0,1.0,0.3333333333333333,23.666666666666668,0.3333333333333333,1.3333333333333333,1.0,12.333333333333334
09/13/2019,@ Ga. Southern,0-3,3.0,1.0,0,37.0,18.0,127.0,0.15,33.0,5.0,4.0,58.0,3.0,1.0,8.0,2.0,47.0,1.0,Ga. Southern,3,12.333333333333334,6.0,42.333333333333336,11.0,1.6666666666666667,1.3333333333333333,19.333333333333332,0.3333333333333333,2.6666666666666665,0.6666666666666666,15.666666666666666
09/14/2019,"UNC Asheville @ Statesboro, GA",0-3,3.0,1.0,0,43.0,21.0,146.0,0.151,40.0,4.0,5.0,71.0,1.0,1.0,6.0,1.0,51.0,3.0,UNC Asheville,3,14.333333333333334,7.0,48.666666666666664,13.333333333333334,1.3333333333333333,1.6666666666666667,23.666666666666668,0.3333333333333333,2.0,0.3333333333333333,17.0
