date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,@ Ball St.,0-3,3.0,1.0,0,42.0,16.0,108.0,0.241,39.0,4.0,11.0,44.0,6.0,0.0,16.0,3.0,54.0,1.0,Ball St.
08/30/2019,"South Fla. @ Muncie, IN",1-3,4.0,1.0,0,56.0,17.0,152.0,0.257,52.0,8.0,12.0,61.0,3.0,0.0,4.0,2.0,0.0,4.0,South Fla.
09/03/2019,Alabama St.,3-0,3.0,0.0,0,43.0,13.0,86.0,0.349,40.0,6.0,10.0,28.0,3.0,1.0,6.0,0.0,53.0,0.0,Alabama St.
09/06/2019,"Jacksonville St. @ Birmingham,Ala.",3-1,4.0,0.0,0,55.0,17.0,146.0,0.26,54.0,6.0,7.0,69.0,5.0,2.0,12.0,0.0,69.0,2.0,Jacksonville St.
09/07/2019,"North Ala. @ Birmingham, Ala.",3-1,4.0,0.0,0,55.0,16.0,144.0,0.271,51.0,10.0,8.0,52.0,8.0,1.0,10.0,3.0,71.0,0.0,North Ala.
09/07/2019,@ Samford,1-3,4.0,0.0,0,45.0,22.0,142.0,0.162,42.0,8.0,5.0,66.0,12.0,3.0,16.0,3.0,64.0,2.0,Samford
09/12/2019,Alabama,0-3,3.0,0.0,0,38.0,30.0,119.0,0.067,36.0,3.0,6.0,41.0,1.0,1.0,16.0,0.0,50.0,1.0,Alabama
09/13/2019,Alcorn,3-0,3.0,0.0,0,37.0,13.0,94.0,0.255,33.0,5.0,9.0,56.0,3.0,0.0,8.0,2.0,46.0,1.0,Alcorn
09/13/2019,Georgia St.,3-1,4.0,0.0,0,48.0,25.0,141.0,0.163,46.0,11.0,9.0,73.0,6.0,2.0,16.0,0.0,69.0,2.0,Georgia St.
09/14/2019,ETSU,3-2,5.0,0.0,0,57.0,33.0,156.0,0.154,56.0,4.0,10.0,74.0,10.0,5.0,14.0,0.0,73.0,0.0,ETSU
09/19/2019,"North Florida @ Starkville, MS",3-0,3.0,1.0,0,35.0,9.0,91.0,0.286,31.0,10.0,6.0,41.0,6.0,2.0,16.0,0.0,55.0,1.0,North Florida
09/19/2019,"Jackson St. @ Starkville, MS",3-1,4.0,1.0,0,50.0,21.0,139.0,0.209,44.0,6.0,10.0,53.0,3.0,4.0,20.0,2.0,70.0,2.0,Jackson St.
09/20/2019,@ Mississippi St.,2-3,5.0,1.0,0,63.0,29.0,191.0,0.178,60.0,9.0,10.0,78.0,5.0,0.0,8.0,1.0,76.0,1.0,Mississippi St.
09/27/2019,@ North Texas,0-3,3.0,1.0,0,35.0,20.0,121.0,0.124,34.0,9.0,5.0,53.0,2.0,1.0,12.0,0.0,51.0,0.0,North Texas
09/29/2019,@ Louisiana Tech,1-3,4.0,1.0,0,54.0,19.0,137.0,0.255,47.0,7.0,11.0,60.0,7.0,2.0,6.0,1.0,66.0,1.0,Louisiana Tech
10/06/2019,Middle Tenn.,3-1,4.0,0.0,0,57.0,12.0,143.0,0.315,48.0,8.0,4.0,58.0,4.0,0.0,12.0,2.0,71.0,1.0,Middle Tenn.
10/11/2019,@ UTEP,3-0,3.0,0.0,0,38.0,15.0,106.0,0.217,36.0,6.0,6.0,42.0,0.0,1.0,14.0,0.0,52.0,1.0,UTEP
10/13/2019,@ UTSA,0-3,3.0,0.0,0,32.0,14.0,104.0,0.173,31.0,5.0,8.0,44.0,7.0,0.0,12.0,0.0,43.0,0.0,UTSA
10/20/2019,FIU,3-0,3.0,0.0,0,38.0,14.0,104.0,0.231,33.0,7.0,9.0,32.0,0.0,1.0,26.0,3.0,59.0,0.0,FIU
10/25/2019,Western Ky.,0-3,3.0,0.0,0,29.0,25.0,92.0,0.043,24.0,2.0,4.0,21.0,8.0,0.0,4.0,0.0,33.0,0.0,Western Ky.
10/27/2019,Fla. Atlantic,1-3,4.0,0.0,0,43.0,22.0,124.0,0.169,40.0,1.0,5.0,47.0,3.0,0.0,4.0,1.0,46.0,1.0,Fla. Atlantic
11/01/2019,@ Middle Tenn.,2-3,5.0,1.0,0,58.0,17.0,143.0,0.287,51.0,9.0,15.0,49.0,10.0,1.0,8.0,2.0,72.0,1.0,Middle Tenn.
11/03/2019,Rice,0-3,3.0,0.0,0,36.0,15.0,125.0,0.168,33.0,6.0,8.0,42.0,4.0,0.0,8.0,2.0,46.0,1.0,Rice
11/08/2019,Southern Miss.,3-0,3.0,0.0,0,45.0,16.0,113.0,0.257,43.0,6.0,3.0,51.0,4.0,0.0,10.0,0.0,56.0,0.0,Southern Miss.
11/10/2019,Charlotte,1-3,4.0,0.0,0,58.0,34.0,219.0,0.11,50.0,4.0,8.0,109.0,8.0,2.0,8.0,2.0,68.0,0.0,Charlotte
11/14/2019,@ Marshall,1-3,4.0,0.0,0,55.0,27.0,169.0,0.166,52.0,3.0,11.0,70.0,5.0,1.0,8.0,1.0,63.0,2.0,Marshall
11/16/2019,@ Western Ky.,0-3,3.0,0.0,0,23.0,23.0,104.0,0.0,22.0,7.0,15.0,38.0,6.0,0.0,10.0,1.0,35.0,0.0,Western Ky.
