date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,"LIU @ Boulder, CO",3-0,3.0,1.0,0,43.0,12.0,91.0,0.341,40.0,5.0,6.0,37.0,2.0,1.0,16.0,0.0,0.0,0.0,LIU,3,14.333333333333334,4.0,30.333333333333332,13.333333333333334,1.6666666666666667,2.0,12.333333333333334,0.3333333333333333,5.333333333333333,0.0,0.0
08/31/2019,"Wyoming @ Boulder, CO",3-2,5.0,1.0,0,64.0,38.0,200.0,0.13,61.0,6.0,7.0,92.0,2.0,3.0,20.0,1.0,0.0,3.0,Wyoming,5,12.8,7.6,40.0,12.2,1.2,1.4,18.4,0.6,4.0,0.2,0.0
08/31/2019,@ Colorado,1-3,4.0,1.0,0,51.0,30.0,146.0,0.144,47.0,3.0,12.0,48.0,5.0,1.0,20.0,2.0,0.0,0.0,Colorado,4,12.75,7.5,36.5,11.75,0.75,3.0,12.0,0.25,5.0,0.5,0.0
09/06/2019,"NC State @ Richmond, VA",3-1,4.0,1.0,0,58.0,18.0,153.0,0.261,54.0,5.0,15.0,69.0,4.0,0.0,11.0,3.0,68.5,3.0,NC State,4,14.5,4.5,38.25,13.5,1.25,3.75,17.25,0.0,2.75,0.75,17.125
09/07/2019,"Navy @ Richmond, VA",3-1,4.0,1.0,0,48.0,16.0,118.0,0.271,47.0,8.0,9.0,64.0,3.0,1.0,16.0,3.0,65.0,1.0,Navy,4,12.0,4.0,29.5,11.75,2.0,2.25,16.0,0.25,4.0,0.75,16.25
09/07/2019,@ VCU,3-2,5.0,1.0,0,65.0,36.0,193.0,0.15,60.0,5.0,10.0,77.0,3.0,2.0,19.0,1.0,81.5,0.0,VCU,5,13.0,7.2,38.6,12.0,1.0,2.0,15.4,0.4,3.8,0.2,16.3
09/13/2019,San Diego,3-1,4.0,0.0,0,58.0,21.0,146.0,0.253,53.0,2.0,9.0,63.0,4.0,4.0,20.0,0.0,74.0,0.0,San Diego,4,14.5,5.25,36.5,13.25,0.5,2.25,15.75,1.0,5.0,0.0,18.5
09/14/2019,La Salle,3-0,3.0,0.0,0,50.0,20.0,127.0,0.236,48.0,3.0,2.0,62.0,4.0,1.0,20.0,0.0,64.0,0.0,La Salle,3,16.666666666666668,6.666666666666667,42.333333333333336,16.0,1.0,0.6666666666666666,20.666666666666668,0.3333333333333333,6.666666666666667,0.0,21.333333333333332
09/14/2019,Harvard,3-1,4.0,0.0,0,60.0,14.0,125.0,0.368,59.0,11.0,8.0,55.0,2.0,3.0,18.0,1.0,83.0,0.0,Harvard,4,15.0,3.5,31.25,14.75,2.75,2.0,13.75,0.75,4.5,0.25,20.75
09/18/2019,UCLA,3-0,3.0,0.0,0,50.0,9.0,104.0,0.394,47.0,3.0,5.0,42.0,0.0,0.0,14.0,0.0,60.0,1.0,UCLA,3,16.666666666666668,3.0,34.666666666666664,15.666666666666666,1.0,1.6666666666666667,14.0,0.0,4.666666666666667,0.0,20.0
09/20/2019,Pepperdine,3-2,5.0,0.0,0,63.0,30.0,163.0,0.202,59.0,3.0,10.0,67.0,5.0,1.0,20.0,1.0,77.0,0.0,Pepperdine,5,12.6,6.0,32.6,11.8,0.6,2.0,13.4,0.2,4.0,0.2,15.4
09/24/2019,CSUN,3-2,5.0,0.0,0,73.0,24.0,157.0,0.312,65.0,4.0,10.0,55.0,8.0,3.0,10.0,0.0,85.0,0.0,CSUN,5,14.6,4.8,31.4,13.0,0.8,2.0,11.0,0.6,2.0,0.0,17.0
09/27/2019,@ UC Irvine,3-0,3.0,1.0,0,44.0,13.0,102.0,0.304,40.0,1.0,10.0,46.0,3.0,3.0,10.0,1.0,53.0,0.0,UC Irvine,3,14.666666666666666,4.333333333333333,34.0,13.333333333333334,0.3333333333333333,3.3333333333333335,15.333333333333334,1.0,3.3333333333333335,0.3333333333333333,17.666666666666668
09/28/2019,@ Cal St. Fullerton,3-0,3.0,1.0,0,44.0,9.0,109.0,0.321,43.0,3.0,3.0,48.0,3.0,6.0,8.0,1.0,57.0,0.0,Cal St. Fullerton,3,14.666666666666666,3.0,36.333333333333336,14.333333333333334,1.0,1.0,16.0,2.0,2.6666666666666665,0.3333333333333333,19.0
10/04/2019,UC Davis,3-0,3.0,0.0,0,36.0,8.0,73.0,0.384,33.0,6.0,2.0,44.0,3.0,2.0,10.0,1.0,49.0,1.0,UC Davis,3,12.0,2.6666666666666665,24.333333333333332,11.0,2.0,0.6666666666666666,14.666666666666666,0.6666666666666666,3.3333333333333335,0.3333333333333333,16.333333333333332
10/05/2019,UC Riverside,3-0,3.0,0.0,0,48.0,7.0,91.0,0.451,42.0,6.0,5.0,43.0,0.0,1.0,14.0,0.0,62.0,1.0,UC Riverside,3,16.0,2.3333333333333335,30.333333333333332,14.0,2.0,1.6666666666666667,14.333333333333334,0.3333333333333333,4.666666666666667,0.0,20.666666666666668
10/12/2019,Hawaii,0-3,3.0,0.0,0,34.0,16.0,103.0,0.175,33.0,6.0,8.0,41.0,4.0,2.0,10.0,0.0,47.0,1.0,Hawaii,3,11.333333333333334,5.333333333333333,34.333333333333336,11.0,2.0,2.6666666666666665,13.666666666666666,0.6666666666666666,3.3333333333333335,0.0,15.666666666666666
10/19/2019,Cal Poly,3-1,4.0,0.0,0,47.0,22.0,131.0,0.191,46.0,9.0,9.0,61.0,2.0,3.0,20.0,1.0,69.0,2.0,Cal Poly,4,11.75,5.5,32.75,11.5,2.25,2.25,15.25,0.75,5.0,0.25,17.25
10/24/2019,@ UC Davis,3-0,3.0,0.0,0,46.0,9.0,94.0,0.394,42.0,3.0,8.0,34.0,5.0,1.0,18.0,1.0,59.0,0.0,UC Davis,3,15.333333333333334,3.0,31.333333333333332,14.0,1.0,2.6666666666666665,11.333333333333334,0.3333333333333333,6.0,0.3333333333333333,19.666666666666668
