date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2019,Lafayette,3-1,4.0,1.0,0,54.0,20.0,114.0,0.298,51.0,8.0,11.0,37.0,7.0,0.0,12.0,1.0,68.0,0.0,Lafayette,4,13.5,5.0,28.5,12.75,2.0,2.75,9.25,0.0,3.0,0.25,17.0
08/30/2019,Fairfield,2-3,5.0,1.0,0,48.0,26.0,145.0,0.152,46.0,15.0,6.0,64.0,6.0,3.0,6.0,4.0,0.0,0.0,Fairfield,5,9.6,5.2,29.0,9.2,3.0,1.2,12.8,0.6,1.2,0.8,0.0
08/31/2019,Temple,0-3,3.0,1.0,0,30.0,15.0,87.0,0.172,29.0,2.0,9.0,34.0,12.0,0.0,4.0,1.0,0.0,1.0,Temple,3,10.0,5.0,29.0,9.666666666666666,0.6666666666666666,3.0,11.333333333333334,0.0,1.3333333333333333,0.3333333333333333,0.0
09/06/2019,Saint Francis (PA),3-0,3.0,1.0,0,37.0,15.0,90.0,0.244,34.0,6.0,9.0,49.0,5.0,0.0,14.0,1.0,50.0,0.0,Saint Francis ,3,12.333333333333334,5.0,30.0,11.333333333333334,2.0,3.0,16.333333333333332,0.0,4.666666666666667,0.3333333333333333,16.666666666666668
09/06/2019,George Mason,2-3,5.0,1.0,0,59.0,27.0,165.0,0.194,58.0,4.0,4.0,69.0,4.0,2.0,17.0,2.0,73.5,1.0,George Mason,5,11.8,5.4,33.0,11.6,0.8,0.8,13.8,0.4,3.4,0.4,14.7
09/07/2019,Delaware,1-3,4.0,1.0,0,46.0,9.0,116.0,0.319,44.0,6.0,10.0,40.0,6.0,1.0,10.0,2.0,58.0,4.0,Delaware,4,11.5,2.25,29.0,11.0,1.5,2.5,10.0,0.25,2.5,0.5,14.5
09/13/2019,"Charlotte @ Baltimore, Md.",1-3,4.0,0.0,0,50.0,26.0,168.0,0.143,48.0,2.0,6.0,75.0,6.0,2.0,12.0,1.0,60.0,3.0,Charlotte,4,12.5,6.5,42.0,12.0,0.5,1.5,18.75,0.5,3.0,0.25,15.0
09/13/2019,"Canisius @ Baltimore, Md.",3-1,4.0,0.0,0,63.0,16.0,146.0,0.322,57.0,10.0,9.0,62.0,6.0,0.0,12.0,6.0,79.0,1.0,Canisius,4,15.75,4.0,36.5,14.25,2.5,2.25,15.5,0.0,3.0,1.5,19.75
09/14/2019,@ Loyola Maryland,1-3,4.0,0.0,0,40.0,24.0,137.0,0.117,35.0,5.0,7.0,60.0,4.0,2.0,18.0,3.0,56.0,2.0,Loyola Maryland,4,10.0,6.0,34.25,8.75,1.25,1.75,15.0,0.5,4.5,0.75,14.0
09/20/2019,"Campbell @ Boulder, CO",0-3,3.0,1.0,0,39.0,18.0,116.0,0.181,34.0,4.0,6.0,49.0,7.0,0.0,2.0,3.0,44.0,0.0,Campbell,3,13.0,6.0,38.666666666666664,11.333333333333334,1.3333333333333333,2.0,16.333333333333332,0.0,0.6666666666666666,1.0,14.666666666666666
09/21/2019,@ Colorado,0-3,3.0,1.0,0,23.0,19.0,98.0,0.041,21.0,6.0,5.0,39.0,6.0,0.0,6.0,2.0,32.0,0.0,Colorado,3,7.666666666666667,6.333333333333333,32.666666666666664,7.0,2.0,1.6666666666666667,13.0,0.0,2.0,0.6666666666666666,10.666666666666666
09/21/2019,"Oakland @ Boulder, CO",1-3,4.0,1.0,0,36.0,30.0,128.0,0.047,33.0,5.0,4.0,47.0,8.0,3.0,17.0,0.0,52.5,1.0,Oakland,4,9.0,7.5,32.0,8.25,1.25,1.0,11.75,0.75,4.25,0.0,13.125
09/27/2019,UAlbany,2-3,5.0,1.0,0,54.0,32.0,159.0,0.138,52.0,6.0,8.0,71.0,6.0,2.0,24.0,3.0,74.0,1.0,UAlbany,5,10.8,6.4,31.8,10.4,1.2,1.6,14.2,0.4,4.8,0.6,14.8
