date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,North Florida,3-1,4.0,1.0,0,40.0,13.0,122.0,0.221,38.0,6.0,16.0,61.0,6.0,3.0,26.0,1.0,62.0,0.0,North Florida
08/31/2019,Charleston So.,3-0,3.0,0.0,0,39.0,17.0,104.0,0.212,35.0,10.0,8.0,35.0,2.0,2.0,6.0,0.0,54.0,0.0,Charleston So.
08/31/2019,Duquesne,3-0,3.0,1.0,0,39.0,10.0,104.0,0.279,31.0,12.0,5.0,41.0,2.0,0.0,18.0,0.0,0.0,1.0,Duquesne
09/03/2019,@ Campbell,3-2,5.0,0.0,0,52.0,26.0,173.0,0.15,47.0,6.0,12.0,63.0,10.0,1.0,10.0,0.0,64.0,0.0,Campbell
09/06/2019,"App State @ Durham, N.C.",3-2,5.0,0.0,0,58.0,19.0,163.0,0.239,55.0,7.0,12.0,72.0,7.0,0.0,12.0,1.0,71.0,2.0,App State
09/06/2019,@ Duke,1-3,4.0,1.0,0,44.0,20.0,136.0,0.176,38.0,7.0,10.0,57.0,9.0,2.0,10.0,0.0,58.0,0.0,Duke
09/07/2019,"Wofford @ Durham, NC",3-2,5.0,1.0,0,54.0,26.0,183.0,0.153,50.0,6.0,11.0,79.0,10.0,2.0,16.0,0.0,70.0,2.0,Wofford
09/13/2019,"N.C. Central @ Davidson, N.C.",3-0,3.0,0.0,0,50.0,17.0,113.0,0.292,49.0,8.0,9.0,38.0,5.0,0.0,2.0,1.0,59.0,1.0,N.C. Central
09/14/2019,"Presbyterian @ Davidson, NC",3-1,4.0,0.0,0,54.0,13.0,113.0,0.363,52.0,8.0,7.0,50.0,5.0,0.0,16.0,2.0,70.0,1.0,Presbyterian
09/14/2019,@ Davidson,0-3,3.0,0.0,0,35.0,34.0,106.0,0.009,34.0,8.0,5.0,25.0,4.0,0.0,8.0,0.0,47.0,0.0,Davidson
09/20/2019,Drake,3-2,5.0,1.0,0,71.0,26.0,158.0,0.285,65.0,8.0,10.0,75.0,5.0,1.0,8.0,3.0,84.0,0.0,Drake
09/21/2019,Western Caro.,1-3,4.0,1.0,0,51.0,31.0,167.0,0.12,46.0,4.0,5.0,76.0,4.0,1.0,10.0,0.0,61.0,2.0,Western Caro.
09/21/2019,N.C. A&T,3-0,3.0,1.0,0,41.0,11.0,106.0,0.283,37.0,7.0,5.0,46.0,3.0,2.0,20.0,1.0,60.0,0.0,N.C. A&T
09/26/2019,@ James Madison,0-3,3.0,1.0,0,23.0,21.0,106.0,0.019,20.0,1.0,5.0,43.0,2.0,1.0,12.0,0.0,31.0,3.0,James Madison
09/28/2019,@ Delaware,2-3,5.0,0.0,0,37.0,30.0,151.0,0.046,35.0,12.0,7.0,61.0,6.0,3.0,22.0,0.0,63.0,1.0,Delaware
10/04/2019,William & Mary,2-3,5.0,1.0,0,53.0,31.0,156.0,0.141,47.0,9.0,14.0,66.0,7.0,2.0,10.0,0.0,69.0,2.0,William & Mary
10/06/2019,Elon,3-1,4.0,1.0,0,43.0,24.0,138.0,0.138,41.0,9.0,8.0,71.0,4.0,3.0,26.0,2.0,68.0,3.0,Elon
10/11/2019,@ Northeastern,2-3,5.0,0.0,0,48.0,17.0,148.0,0.209,47.0,5.0,8.0,51.0,8.0,3.0,14.0,0.0,63.0,3.0,Northeastern
10/13/2019,@ Hofstra,2-3,5.0,1.0,0,48.0,17.0,135.0,0.23,44.0,9.0,12.0,54.0,13.0,1.0,18.0,0.0,67.0,0.0,Hofstra
10/18/2019,@ Towson,1-3,4.0,0.0,0,43.0,23.0,134.0,0.149,40.0,1.0,8.0,47.0,2.0,1.0,8.0,2.0,49.0,0.0,Towson
10/22/2019,@ Col. of Charleston,0-3,3.0,0.0,0,38.0,17.0,134.0,0.157,36.0,3.0,3.0,52.0,8.0,0.0,10.0,0.0,46.0,1.0,Col. of Charleston
10/25/2019,Delaware,3-0,3.0,1.0,0,41.0,14.0,125.0,0.216,37.0,4.0,6.0,56.0,4.0,1.0,12.0,0.0,52.0,0.0,Delaware
10/27/2019,James Madison,0-3,3.0,1.0,0,28.0,20.0,94.0,0.085,24.0,2.0,7.0,31.0,4.0,0.0,16.0,1.0,38.0,2.0,James Madison
11/01/2019,@ Elon,3-1,4.0,0.0,0,54.0,24.0,150.0,0.2,49.0,6.0,7.0,67.0,6.0,2.0,22.0,0.0,73.0,1.0,Elon
11/03/2019,@ William & Mary,3-1,4.0,1.0,0,52.0,22.0,129.0,0.233,49.0,7.0,6.0,51.0,5.0,2.0,18.0,0.0,70.0,0.0,William & Mary
11/07/2019,Northeastern,2-3,5.0,1.0,0,41.0,18.0,154.0,0.149,39.0,4.0,10.0,76.0,3.0,0.0,28.0,1.0,59.0,1.0,Northeastern
11/09/2019,Hofstra,2-3,5.0,1.0,0,55.0,25.0,172.0,0.174,48.0,4.0,8.0,68.0,3.0,2.0,16.0,0.0,69.0,1.0,Hofstra
11/10/2019,Towson,1-3,4.0,1.0,0,45.0,24.0,153.0,0.137,40.0,7.0,8.0,55.0,2.0,1.0,24.0,1.0,65.0,2.0,Towson
11/17/2019,Col. of Charleston,1-3,4.0,1.0,0,45.0,22.0,142.0,0.162,43.0,5.0,9.0,47.0,2.0,1.0,10.0,4.0,56.0,1.0,Col. of Charleston
