date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
01/24/2021,@ Davidson,3-0,3.0,0,42.0,14.0,111.0,0.252,40.0,8.0,4.0,55.0,4.0,2.0,6.0,0.0,5.0,55.0,1.0,Davidson
01/30/2021,@ Clemson,2-3,5.0,0,58.0,19.0,164.0,0.238,53.0,9.0,9.0,71.0,8.0,3.0,12.0,2.0,9.0,76.0,0.0,Clemson
01/30/2021,@ Clemson,3-1,4.0,0,63.0,10.0,156.0,0.34,54.0,5.0,7.0,58.0,4.0,2.0,24.0,4.0,14.0,82.0,2.0,Clemson
02/07/2021,@ Marshall,1-3,4.0,0,60.0,26.0,154.0,0.221,59.0,6.0,7.0,67.0,6.0,3.0,8.0,0.0,7.0,73.0,0.0,Marshall
02/08/2021,@ Marshall,3-1,4.0,0,56.0,28.0,159.0,0.176,54.0,8.0,3.0,68.0,3.0,4.0,8.0,1.0,8.0,72.0,0.0,Marshall
02/14/2021,FIU,3-1,4.0,0,50.0,18.0,125.0,0.256,45.0,9.0,9.0,48.0,3.0,5.0,22.0,2.0,16.0,75.0,1.0,FIU
02/15/2021,FIU,3-1,4.0,0,54.0,22.0,129.0,0.248,51.0,5.0,11.0,62.0,4.0,0.0,18.0,2.0,9.0,68.0,3.0,FIU
02/21/2021,@ Western Ky.,0-3,3.0,0,39.0,19.0,98.0,0.204,35.0,1.0,8.0,33.0,7.0,1.0,6.0,2.0,4.0,44.0,1.0,Western Ky.
02/22/2021,@ Western Ky.,0-3,3.0,0,40.0,14.0,94.0,0.277,35.0,2.0,6.0,25.0,3.0,1.0,0.0,2.0,1.0,43.0,1.0,Western Ky.
02/28/2021,Middle Tenn.,3-1,4.0,0,49.0,20.0,139.0,0.209,45.0,5.0,9.0,60.0,7.0,8.0,14.0,5.0,15.0,69.0,0.0,Middle Tenn.
03/01/2021,Middle Tenn.,3-1,4.0,0,51.0,10.0,100.0,0.41,47.0,7.0,14.0,39.0,5.0,5.0,12.0,2.0,11.0,69.0,1.0,Middle Tenn.
03/07/2021,@ Fla. Atlantic,3-1,4.0,0,54.0,13.0,137.0,0.299,48.0,4.0,8.0,57.0,6.0,8.0,16.0,0.0,16.0,74.0,2.0,Fla. Atlantic
03/08/2021,@ Fla. Atlantic,3-1,4.0,0,48.0,5.0,116.0,0.371,44.0,11.0,7.0,50.0,11.0,4.0,22.0,0.0,15.0,74.0,1.0,Fla. Atlantic
03/14/2021,Old Dominion,3-0,3.0,0,36.0,9.0,88.0,0.307,29.0,6.0,5.0,40.0,4.0,3.0,12.0,2.0,9.0,51.0,0.0,Old Dominion
03/15/2021,Old Dominion,3-0,3.0,0,38.0,9.0,74.0,0.392,34.0,6.0,7.0,30.0,4.0,6.0,6.0,9.0,9.0,53.0,0.0,Old Dominion
03/26/2021,UNCW,3-1,4.0,0,60.0,23.0,181.0,0.204,56.0,5.0,4.0,90.0,3.0,0.0,22.0,5.0,11.0,76.0,0.0,UNCW
04/01/2021,"UAB @ Hattiesburg, MS",3-2,5.0,0,71.0,15.0,176.0,0.318,63.0,2.0,7.0,68.0,3.0,2.0,16.0,2.0,10.0,83.0,1.0,UAB
04/02/2021,"Rice @ Hattiesburg, MS",0-3,3.0,0,30.0,16.0,103.0,0.136,29.0,4.0,4.0,36.0,4.0,0.0,4.0,2.0,2.0,36.0,0.0,Rice
