date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
01/22/2021,@ Old Dominion,0-3,3.0,0,28.0,21.0,90.0,0.078,24.0,2.0,2.0,43.0,7.0,0.0,2.0,0.0,1.0,31.0,2.0,Old Dominion,3,9.333333333333334,7.0,30.0,8.0,0.6666666666666666,0.6666666666666666,14.333333333333334,2.333333333333333,0.0,0.6666666666666666,0.0,10.333333333333334,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
01/24/2021,@ Norfolk St.,2-3,5.0,0,60.0,36.0,184.0,0.13,59.0,8.0,10.0,78.0,6.0,1.0,10.0,3.0,6.0,74.0,0.0,Norfolk St.,5,12.0,7.2,36.8,11.8,1.6,2.0,15.6,1.2,0.2,2.0,0.6,14.8,,4.666666666666667,,3.5,,15.0,,0.039,,4.0,,0.3333333333333333,,0.3333333333333333,,7.166666666666667,,0.0,,0.3333333333333333,,0.0,,5.166666666666667
01/29/2021,@ Howard,0-3,3.0,0,22.0,22.0,85.0,0.0,19.0,4.0,5.0,24.0,10.0,2.0,2.0,0.0,3.0,29.0,4.0,Howard,3,7.333333333333333,7.333333333333333,28.33333333333333,6.333333333333333,1.3333333333333333,1.6666666666666667,8.0,3.333333333333333,0.6666666666666666,0.6666666666666666,0.0,9.666666666666666,,7.111111111111112,,4.733333333333333,,22.266666666666666,,0.06933333333333334,,6.6000000000000005,,0.7555555555555555,,0.8888888888888888,,9.977777777777778,,0.06666666666666667,,0.8888888888888888,,0.19999999999999998,,8.377777777777778
01/30/2021,Coppin St.,1-3,4.0,0,45.0,21.0,141.0,0.17,42.0,5.0,6.0,62.0,13.0,4.0,12.0,2.0,10.0,60.0,3.0,Coppin St.,4,11.25,5.25,35.25,10.5,1.25,1.5,15.5,3.25,1.0,3.0,0.5,15.0,9.555555555555555,7.166666666666667,7.177777777777777,5.383333333333333,31.71111111111111,23.78333333333333,0.06933333333333334,0.052000000000000005,8.71111111111111,6.533333333333333,1.2,0.8999999999999999,1.4444444444444444,1.0833333333333333,12.644444444444446,9.483333333333334,0.2888888888888889,0.21666666666666667,1.111111111111111,0.8333333333333333,0.19999999999999998,0.15,11.6,8.7
02/01/2021,@ VCU,0-3,3.0,0,33.0,25.0,107.0,0.075,31.0,3.0,4.0,49.0,8.0,1.0,4.0,2.0,3.0,39.0,2.0,VCU,3,11.0,8.333333333333334,35.666666666666664,10.333333333333334,1.0,1.3333333333333333,16.333333333333332,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.6666666666666666,13.0,10.194444444444445,7.983333333333334,6.594444444444444,5.3566666666666665,33.46111111111111,26.076666666666664,0.10000000000000002,0.0756,9.544444444444444,7.326666666666666,1.3944444444444446,0.97,1.7222222222222223,1.1666666666666665,13.033333333333331,10.686666666666667,0.6222222222222222,0.37333333333333335,1.8888888888888886,1.2666666666666666,0.3666666666666667,0.22000000000000003,13.155555555555557,9.959999999999999
02/06/2021,George Washington,3-0,3.0,0,43.0,12.0,95.0,0.326,42.0,2.0,5.0,44.0,3.0,1.0,21.0,2.0,11.5,56.5,0.0,George Washington,3,14.333333333333334,4.0,31.666666666666668,14.0,0.6666666666666666,1.6666666666666667,14.666666666666666,1.0,0.3333333333333333,7.0,0.6666666666666666,18.83333333333333,9.861111111111112,8.486111111111112,6.972222222222222,5.852777777777778,33.083333333333336,27.674999999999997,0.08166666666666667,0.0755,9.055555555555555,7.827777777777778,1.1944444444444444,0.975,1.5,1.1944444444444444,13.277777777777777,11.627777777777778,0.6666666666666666,0.3666666666666667,1.6666666666666667,1.2777777777777777,0.38888888888888884,0.29444444444444445,12.555555555555557,10.466666666666667
02/07/2021,George Washington,3-2,5.0,0,59.0,36.0,187.0,0.123,52.0,5.0,6.0,87.0,6.0,3.0,10.0,2.0,8.0,72.0,1.0,George Washington,5,11.8,7.2,37.4,10.4,1.0,1.2,17.4,1.2,0.6,2.0,0.4,14.4,12.194444444444445,9.321428571428571,5.861111111111112,5.588095238095238,34.19444444444444,28.24523809523809,0.19033333333333333,0.1112857142857143,11.611111111111112,8.70952380952381,0.9722222222222223,0.930952380952381,1.5,1.2619047619047616,15.5,12.061904761904762,0.5555555555555555,0.36190476190476195,3.7777777777777772,2.0952380952380953,0.611111111111111,0.3476190476190476,15.611111111111109,11.661904761904761
02/13/2021,@ Rhode Island,3-2,5.0,0,50.0,24.0,164.0,0.159,46.0,6.0,7.0,79.0,6.0,0.0,15.0,4.0,7.5,63.5,3.0,Rhode Island,5,10.0,4.8,32.8,9.2,1.2,1.4,15.8,1.2,0.0,3.0,0.8,12.7,12.377777777777778,9.63125,6.511111111111112,5.789583333333334,34.91111111111111,29.38958333333333,0.17466666666666666,0.11275,11.577777777777778,8.920833333333334,0.8888888888888888,0.9395833333333333,1.3999999999999997,1.2541666666666664,16.133333333333333,12.729166666666668,0.4222222222222222,0.3916666666666667,3.444444444444444,2.083333333333333,0.5777777777777778,0.35416666666666663,15.41111111111111,12.004166666666666
02/14/2021,@ Rhode Island,0-3,3.0,0,29.0,17.0,87.0,0.138,27.0,2.0,1.0,31.0,5.0,1.0,4.0,1.0,3.0,34.0,4.0,Rhode Island,3,9.666666666666666,5.666666666666667,29.0,9.0,0.6666666666666666,0.3333333333333333,10.333333333333334,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,11.333333333333334,12.044444444444444,9.672222222222222,5.333333333333333,5.67962962962963,33.955555555555556,29.768518518518515,0.20266666666666666,0.11788888888888888,11.199999999999998,8.951851851851853,0.9555555555555556,0.9685185185185186,1.4222222222222223,1.2703703703703701,15.955555555555554,13.070370370370371,0.31111111111111106,0.3481481481481482,4.0,2.185185185185185,0.6222222222222222,0.4037037037037037,15.31111111111111,12.081481481481482
03/05/2021,@ La Salle,0-3,3.0,0,29.0,17.0,89.0,0.135,29.0,4.0,6.0,29.0,8.0,2.0,10.0,0.0,7.0,40.0,0.0,La Salle,3,9.666666666666666,5.666666666666667,29.666666666666668,9.666666666666666,1.3333333333333333,2.0,9.666666666666666,2.6666666666666665,0.6666666666666666,3.333333333333333,0.0,13.333333333333334,10.488888888888889,9.671666666666667,5.888888888888889,5.678333333333333,33.06666666666667,29.691666666666663,0.14,0.11989999999999998,9.533333333333333,8.956666666666667,0.9555555555555556,0.9383333333333332,0.9777777777777777,1.1766666666666665,14.511111111111111,12.796666666666667,0.31111111111111106,0.34666666666666673,2.111111111111111,2.0999999999999996,0.5111111111111112,0.3966666666666666,12.811111111111112,12.006666666666666
