date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
01/22/2021,Illinois,1-3,4.0,0,36.0,25.0,131.0,0.084,30.0,6.0,2.0,45.0,14.0,2.0,18.0,0.0,11.0,53.0,2.0,Illinois
01/23/2021,Illinois,1-3,4.0,0,37.0,24.0,117.0,0.111,36.0,1.0,8.0,43.0,10.0,1.0,20.0,0.0,11.0,49.0,2.0,Illinois
01/29/2021,@ Purdue,0-3,3.0,0,30.0,23.0,105.0,0.067,26.0,2.0,9.0,30.0,4.0,2.0,8.0,1.0,6.0,38.0,1.0,Purdue
01/30/2021,@ Purdue,0-3,3.0,0,36.0,13.0,116.0,0.198,32.0,2.0,5.0,41.0,5.0,0.0,4.0,0.0,2.0,40.0,0.0,Purdue
02/05/2021,Indiana,3-1,4.0,0,51.0,24.0,119.0,0.227,48.0,6.0,7.0,44.0,4.0,1.0,32.0,1.0,17.0,74.0,0.0,Indiana
02/06/2021,Indiana,2-3,5.0,0,59.0,39.0,156.0,0.128,55.0,11.0,10.0,58.0,6.0,1.0,12.0,2.0,7.0,77.0,0.0,Indiana
02/12/2021,@ Ohio St.,0-3,3.0,0,24.0,21.0,105.0,0.029,21.0,5.0,4.0,39.0,3.0,0.0,9.0,3.0,4.5,33.5,2.0,Ohio St.
02/13/2021,@ Ohio St.,0-3,3.0,0,44.0,13.0,110.0,0.282,43.0,2.0,8.0,44.0,6.0,0.0,10.0,1.0,5.0,51.0,1.0,Ohio St.
02/19/2021,Rutgers,3-1,4.0,0,59.0,22.0,148.0,0.25,57.0,9.0,10.0,63.0,6.0,0.0,18.0,1.0,9.0,77.0,0.0,Rutgers
02/20/2021,Rutgers,2-3,5.0,0,67.0,24.0,151.0,0.285,66.0,9.0,10.0,61.0,3.0,0.0,17.0,4.0,8.5,84.5,1.0,Rutgers
02/26/2021,@ Northwestern,3-2,5.0,0,67.0,30.0,158.0,0.234,58.0,6.0,8.0,50.0,9.0,3.0,20.0,0.0,13.0,86.0,1.0,Northwestern
02/27/2021,@ Northwestern,2-3,5.0,0,57.0,21.0,144.0,0.25,48.0,4.0,9.0,51.0,8.0,1.0,14.0,0.0,8.0,69.0,0.0,Northwestern
03/12/2021,@ Maryland,1-3,4.0,0,59.0,30.0,151.0,0.192,54.0,6.0,10.0,49.0,5.0,2.0,4.0,0.0,4.0,69.0,1.0,Maryland
03/13/2021,@ Maryland,0-3,3.0,0,39.0,22.0,111.0,0.153,33.0,3.0,7.0,32.0,2.0,1.0,4.0,0.0,3.0,45.0,2.0,Maryland
03/17/2021,Nebraska,0-3,3.0,0,29.0,17.0,101.0,0.119,26.0,2.0,4.0,37.0,4.0,0.0,10.0,1.0,5.0,36.0,1.0,Nebraska
03/20/2021,@ Nebraska,0-3,3.0,0,22.0,21.0,77.0,0.013,21.0,3.0,9.0,18.0,4.0,1.0,8.0,1.0,5.0,30.0,1.0,Nebraska
03/26/2021,Michigan St.,1-3,4.0,0,44.0,29.0,142.0,0.106,44.0,7.0,9.0,46.0,4.0,1.0,12.0,1.0,7.0,58.0,0.0,Michigan St.
03/27/2021,Michigan St.,3-0,3.0,0,44.0,20.0,119.0,0.202,37.0,5.0,4.0,51.0,3.0,0.0,10.0,0.0,5.0,54.0,0.0,Michigan St.
04/02/2021,@ Minnesota,0-3,3.0,0,35.0,14.0,94.0,0.223,34.0,4.0,4.0,31.0,5.0,0.0,12.0,1.0,6.0,45.0,0.0,Minnesota
04/03/2021,@ Minnesota,0-3,3.0,0,28.0,15.0,96.0,0.135,26.0,4.0,4.0,32.0,8.0,0.0,4.0,0.0,2.0,34.0,0.0,Minnesota
