date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
02/07/2021,Southeast Mo. St.,3-1,4.0,0,46.0,21.0,114.0,0.219,35.0,13.0,7.0,50.0,7.0,4.0,6.0,0.0,7.0,66.0,0.0,Southeast Mo. St.,4,11.5,5.25,28.5,8.75,3.25,1.75,12.5,1.75,1.0,1.5,0.0,16.5
02/08/2021,Southeast Mo. St.,3-0,3.0,0,48.0,10.0,108.0,0.352,43.0,1.0,3.0,49.0,2.0,1.0,8.0,2.0,5.0,54.0,0.0,Southeast Mo. St.,3,16.0,3.3333333333333335,36.0,14.333333333333334,0.3333333333333333,1.0,16.333333333333332,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.6666666666666666,18.0
02/14/2021,@ SIUE,3-1,4.0,0,65.0,17.0,150.0,0.32,58.0,2.0,8.0,58.0,4.0,10.0,2.0,1.0,11.0,78.0,0.0,SIUE,4,16.25,4.25,37.5,14.5,0.5,2.0,14.5,1.0,2.5,0.5,0.25,19.5
02/15/2021,@ SIUE,3-0,3.0,0,53.0,13.0,130.0,0.308,52.0,4.0,6.0,51.0,2.0,1.0,6.0,2.0,4.0,61.0,0.0,SIUE,3,17.666666666666668,4.333333333333333,43.333333333333336,17.333333333333332,1.3333333333333333,2.0,17.0,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,20.333333333333332
02/21/2021,@ Tennessee St.,3-0,3.0,0,45.0,16.0,109.0,0.266,45.0,7.0,5.0,51.0,1.0,0.0,10.0,1.0,5.0,57.0,1.0,Tennessee St.,3,15.0,5.333333333333333,36.333333333333336,15.0,2.3333333333333335,1.6666666666666667,17.0,0.3333333333333333,0.0,3.3333333333333335,0.3333333333333333,19.0
02/22/2021,@ Tennessee St.,3-0,3.0,0,46.0,12.0,100.0,0.34,41.0,10.0,3.0,37.0,2.0,0.0,8.0,1.0,4.0,60.0,3.0,Tennessee St.,3,15.333333333333334,4.0,33.333333333333336,13.666666666666666,3.3333333333333335,1.0,12.333333333333334,0.6666666666666666,0.0,2.6666666666666665,0.3333333333333333,20.0
02/28/2021,Tennessee Tech,3-0,3.0,0,44.0,15.0,91.0,0.319,42.0,5.0,6.0,49.0,4.0,3.0,8.0,0.0,7.0,56.0,0.0,Tennessee Tech,3,14.666666666666666,5.0,30.333333333333332,14.0,1.6666666666666667,2.0,16.333333333333332,1.3333333333333333,1.0,2.6666666666666665,0.0,18.666666666666668
03/01/2021,Tennessee Tech,3-1,4.0,0,62.0,23.0,136.0,0.287,58.0,4.0,5.0,59.0,4.0,3.0,10.0,0.0,8.0,74.0,1.0,Tennessee Tech,4,15.5,5.75,34.0,14.5,1.0,1.25,14.75,1.0,0.75,2.5,0.0,18.5
03/07/2021,@ Belmont,3-1,4.0,0,60.0,19.0,136.0,0.301,53.0,7.0,7.0,64.0,3.0,1.0,16.0,0.0,9.0,76.0,0.0,Belmont,4,15.0,4.75,34.0,13.25,1.75,1.75,16.0,0.75,0.25,4.0,0.0,19.0
03/08/2021,@ Belmont,3-0,3.0,0,51.0,13.0,97.0,0.392,48.0,4.0,7.0,51.0,0.0,1.0,12.0,1.0,7.0,62.0,0.0,Belmont,3,17.0,4.333333333333333,32.333333333333336,16.0,1.3333333333333333,2.3333333333333335,17.0,0.0,0.3333333333333333,4.0,0.3333333333333333,20.666666666666668
03/14/2021,Eastern Ky.,3-0,3.0,0,42.0,9.0,81.0,0.407,38.0,10.0,4.0,34.0,6.0,0.0,12.0,1.0,6.0,58.0,1.0,Eastern Ky.,3,14.0,3.0,27.0,12.666666666666666,3.3333333333333335,1.3333333333333333,11.333333333333334,2.0,0.0,4.0,0.3333333333333333,19.333333333333332
03/15/2021,Eastern Ky.,3-0,3.0,0,45.0,12.0,100.0,0.33,42.0,4.0,6.0,38.0,4.0,1.0,16.0,0.0,9.0,58.0,0.0,Eastern Ky.,3,15.0,4.0,33.333333333333336,14.0,1.3333333333333333,2.0,12.666666666666666,1.3333333333333333,0.3333333333333333,5.333333333333333,0.0,19.333333333333332
03/21/2021,UT Martin,3-0,3.0,0,50.0,14.0,101.0,0.356,48.0,4.0,5.0,58.0,3.0,1.0,8.0,1.0,5.0,59.0,2.0,UT Martin,3,16.666666666666668,4.666666666666667,33.666666666666664,16.0,1.3333333333333333,1.6666666666666667,19.333333333333332,1.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,19.666666666666668
03/22/2021,UT Martin,3-0,3.0,0,41.0,8.0,84.0,0.393,34.0,10.0,5.0,33.0,1.0,1.0,18.0,0.0,10.0,61.0,0.0,UT Martin,3,13.666666666666666,2.6666666666666665,28.0,11.333333333333334,3.3333333333333335,1.6666666666666667,11.0,0.3333333333333333,0.3333333333333333,6.0,0.0,20.333333333333332
03/28/2021,@ Morehead St.,3-2,5.0,0,67.0,17.0,184.0,0.272,62.0,2.0,6.0,80.0,5.0,2.0,18.0,0.0,11.0,80.0,1.0,Morehead St.,5,13.4,3.4,36.8,12.4,0.4,1.2,16.0,1.0,0.4,3.6,0.0,16.0
03/29/2021,@ Morehead St.,0-3,3.0,0,37.0,20.0,127.0,0.134,33.0,1.0,5.0,53.0,3.0,5.0,12.0,1.0,11.0,49.0,2.0,Morehead St.,3,12.333333333333334,6.666666666666667,42.333333333333336,11.0,0.3333333333333333,1.6666666666666667,17.666666666666668,1.0,1.6666666666666667,4.0,0.3333333333333333,16.333333333333332
04/01/2021,"Southeast Mo. St. @ Morehead, Ky.",3-0,3.0,0,48.0,19.0,108.0,0.269,47.0,3.0,6.0,53.0,3.0,0.0,10.0,0.0,5.0,56.0,2.0,Southeast Mo. St.,3,16.0,6.333333333333333,36.0,15.666666666666666,1.0,2.0,17.666666666666668,1.0,0.0,3.3333333333333335,0.0,18.666666666666668
04/02/2021,@ Morehead St.,0-3,3.0,0,34.0,19.0,105.0,0.143,34.0,1.0,4.0,36.0,5.0,2.0,12.0,1.0,8.0,43.0,0.0,Morehead St.,3,11.333333333333334,6.333333333333333,35.0,11.333333333333334,0.3333333333333333,1.3333333333333333,12.0,1.6666666666666667,0.6666666666666666,4.0,0.3333333333333333,14.333333333333334
