date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
02/05/2021,@ Bellarmine,3-2,5.0,0,61.0,29.0,160.0,0.2,60.0,10.0,10.0,53.0,2.0,0.0,12.0,3.0,6.0,77.0,3.0,Bellarmine,5,12.2,5.8,32.0,12.0,2.0,2.0,10.6,0.4,0.0,2.4,0.6,15.4
02/06/2021,@ Bellarmine,3-0,3.0,0,45.0,8.0,99.0,0.374,44.0,3.0,6.0,45.0,2.0,1.0,14.0,0.0,8.0,56.0,0.0,Bellarmine,3,15.0,2.6666666666666665,33.0,14.666666666666666,1.0,2.0,15.0,0.6666666666666666,0.3333333333333333,4.666666666666667,0.0,18.666666666666668
02/13/2021,Bellarmine,3-0,3.0,0,45.0,16.0,100.0,0.29,44.0,2.0,9.0,44.0,2.0,3.0,18.0,0.0,12.0,59.0,0.0,Bellarmine,3,15.0,5.333333333333333,33.333333333333336,14.666666666666666,0.6666666666666666,3.0,14.666666666666666,0.6666666666666666,1.0,6.0,0.0,19.666666666666668
02/14/2021,Bellarmine,3-1,4.0,0,65.0,23.0,139.0,0.302,59.0,7.0,14.0,45.0,5.0,2.0,14.0,2.0,9.0,81.0,0.0,Bellarmine,4,16.25,5.75,34.75,14.75,1.75,3.5,11.25,1.25,0.5,3.5,0.5,20.25
02/19/2021,@ Liberty,3-1,4.0,0,55.0,23.0,140.0,0.229,48.0,7.0,11.0,54.0,1.0,1.0,12.0,4.0,7.0,69.0,0.0,Liberty,4,13.75,5.75,35.0,12.0,1.75,2.75,13.5,0.25,0.25,3.0,1.0,17.25
02/20/2021,@ Liberty,3-1,4.0,0,59.0,20.0,139.0,0.281,54.0,13.0,15.0,50.0,5.0,2.0,6.0,1.0,5.0,77.0,2.0,Liberty,4,14.75,5.0,34.75,13.5,3.25,3.75,12.5,1.25,0.5,1.5,0.25,19.25
02/26/2021,North Ala.,3-0,3.0,0,41.0,14.0,88.0,0.307,37.0,11.0,5.0,40.0,1.0,1.0,16.0,0.0,9.0,61.0,0.0,North Ala.,3,13.666666666666666,4.666666666666667,29.333333333333332,12.333333333333334,3.6666666666666665,1.6666666666666667,13.333333333333334,0.3333333333333333,0.3333333333333333,5.333333333333333,0.0,20.333333333333332
02/28/2021,North Ala.,3-0,3.0,0,35.0,12.0,79.0,0.291,33.0,8.0,10.0,37.0,2.0,1.0,20.0,0.0,11.0,54.0,0.0,North Ala.,3,11.666666666666666,4.0,26.333333333333332,11.0,2.6666666666666665,3.3333333333333335,12.333333333333334,0.6666666666666666,0.3333333333333333,6.666666666666667,0.0,18.0
03/05/2021,Liberty,3-0,3.0,0,45.0,16.0,107.0,0.271,39.0,5.0,14.0,37.0,4.0,1.0,22.0,1.0,12.0,62.0,0.0,Liberty,3,15.0,5.333333333333333,35.666666666666664,13.0,1.6666666666666667,4.666666666666667,12.333333333333334,1.3333333333333333,0.3333333333333333,7.333333333333333,0.3333333333333333,20.666666666666668
03/06/2021,Liberty,3-1,4.0,0,55.0,22.0,134.0,0.246,47.0,8.0,12.0,52.0,3.0,2.0,14.0,1.0,9.0,72.0,0.0,Liberty,4,13.75,5.5,33.5,11.75,2.0,3.0,13.0,0.75,0.5,3.5,0.25,18.0
03/12/2021,@ Lipscomb,0-3,3.0,0,35.0,27.0,108.0,0.074,33.0,2.0,6.0,47.0,2.0,0.0,8.0,3.0,4.0,41.0,4.0,Lipscomb,3,11.666666666666666,9.0,36.0,11.0,0.6666666666666666,2.0,15.666666666666666,0.6666666666666666,0.0,2.6666666666666665,1.0,13.666666666666666
03/13/2021,@ Lipscomb,1-3,4.0,0,50.0,19.0,144.0,0.215,48.0,2.0,8.0,50.0,6.0,0.0,12.0,2.0,6.0,58.0,0.0,Lipscomb,4,12.5,4.75,36.0,12.0,0.5,2.0,12.5,1.5,0.0,3.0,0.5,14.5
03/27/2021,Liberty,3-0,3.0,0,40.0,13.0,82.0,0.329,38.0,7.0,9.0,40.0,5.0,1.0,14.0,1.0,8.0,55.0,0.0,Liberty,3,13.333333333333334,4.333333333333333,27.333333333333332,12.666666666666666,2.3333333333333335,3.0,13.333333333333334,1.6666666666666667,0.3333333333333333,4.666666666666667,0.3333333333333333,18.333333333333332
04/02/2021,"FGCU @ Kennesaw, GA",0-3,3.0,0,35.0,23.0,104.0,0.115,31.0,2.0,11.0,25.0,2.0,1.0,4.0,1.0,3.0,40.0,1.0,FGCU,3,11.666666666666666,7.666666666666667,34.666666666666664,10.333333333333334,0.6666666666666666,3.6666666666666665,8.333333333333334,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,13.333333333333334
