date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
01/22/2021,Lipscomb,0-3,3.0,0,25.0,16.0,90.0,0.1,23.0,0.0,3.0,30.0,5.0,0.0,4.0,2.0,2.0,27.0,1.0,Lipscomb,3,8.333333333333334,5.333333333333333,30.0,7.666666666666667,0.0,1.0,10.0,1.6666666666666667,0.0,1.3333333333333333,0.6666666666666666,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
01/24/2021,@ Lipscomb,1-3,4.0,0,39.0,18.0,117.0,0.179,36.0,4.0,9.0,40.0,6.0,1.0,8.0,1.0,5.0,48.0,0.0,Lipscomb,4,9.75,4.5,29.25,9.0,1.0,2.25,10.0,1.5,0.25,2.0,0.25,12.0,,4.166666666666667,,2.6666666666666665,,15.0,,0.05,,3.8333333333333335,,0.0,,0.5,,5.0,,0.0,,0.6666666666666666,,0.3333333333333333,,4.5
02/14/2021,@ Fla. Atlantic,2-3,5.0,0,59.0,30.0,156.0,0.186,51.0,7.0,14.0,51.0,7.0,1.0,10.0,1.0,6.0,72.0,2.0,Fla. Atlantic,5,11.8,6.0,31.2,10.2,1.4,2.8,10.2,1.4,0.2,2.0,0.2,14.4,,6.027777777777779,,3.2777777777777772,,19.75,,0.09300000000000001,,5.555555555555556,,0.3333333333333333,,1.0833333333333333,,6.666666666666667,,0.08333333333333333,,1.111111111111111,,0.3055555555555555,,7.0
02/21/2021,Old Dominion,3-2,5.0,0,65.0,15.0,136.0,0.368,58.0,5.0,10.0,47.0,4.0,2.0,14.0,2.0,9.0,79.0,0.0,Old Dominion,5,13.0,3.0,27.2,11.6,1.0,2.0,9.4,0.8,0.4,2.8,0.4,15.8,9.96111111111111,7.470833333333334,5.277777777777778,3.958333333333333,30.150000000000002,22.6125,0.155,0.11625,8.955555555555556,6.716666666666667,0.7999999999999999,0.6,2.0166666666666666,1.5125,10.066666666666666,7.55,0.15,0.1125,1.7777777777777777,1.3333333333333333,0.37222222222222223,0.2791666666666667,11.799999999999999,8.85
02/22/2021,Old Dominion,2-3,5.0,0,63.0,30.0,134.0,0.246,58.0,11.0,17.0,46.0,10.0,0.0,10.0,3.0,5.0,79.0,1.0,Old Dominion,5,12.6,6.0,26.8,11.6,2.2,3.4,9.2,2.0,0.0,2.0,0.6,15.8,11.516666666666666,8.576666666666668,4.5,3.7666666666666666,29.21666666666667,23.53,0.24433333333333332,0.1666,10.266666666666666,7.693333333333333,1.1333333333333333,0.6799999999999999,2.35,1.61,9.866666666666667,7.92,0.2833333333333334,0.17,2.2666666666666666,1.6266666666666665,0.2833333333333334,0.30333333333333334,14.066666666666668,10.24
02/28/2021,@ Charlotte,1-3,4.0,0,48.0,33.0,155.0,0.097,47.0,7.0,6.0,57.0,5.0,0.0,12.0,3.0,6.0,61.0,0.0,Charlotte,4,12.0,8.25,38.75,11.75,1.75,1.5,14.25,1.25,0.0,3.0,0.75,15.25,12.466666666666667,9.247222222222224,5.0,4.138888888888888,28.400000000000002,24.075000000000003,0.26666666666666666,0.17983333333333332,11.133333333333333,8.344444444444445,1.5333333333333332,0.9333333333333332,2.733333333333333,1.9083333333333334,9.6,8.133333333333333,0.20000000000000004,0.1416666666666667,2.2666666666666666,1.6888888888888889,0.39999999999999997,0.3527777777777778,15.333333333333334,11.166666666666666
03/01/2021,@ Charlotte,1-3,4.0,0,53.0,23.0,122.0,0.246,51.0,5.0,18.0,35.0,7.0,2.0,8.0,3.0,6.0,64.0,0.0,Charlotte,4,13.25,5.75,30.5,12.75,1.25,4.5,8.75,1.75,0.5,2.0,0.75,16.0,12.533333333333333,9.640476190476193,5.75,4.726190476190475,30.916666666666668,26.171428571428574,0.237,0.16799999999999998,11.65,8.83095238095238,1.6500000000000001,1.05,2.3000000000000003,1.85,10.950000000000001,9.007142857142856,0.13333333333333333,0.12142857142857144,2.6,1.8761904761904762,0.5833333333333334,0.4095238095238095,15.616666666666667,11.75
03/07/2021,Marshall,2-3,5.0,0,66.0,33.0,178.0,0.185,61.0,5.0,12.0,69.0,7.0,5.0,8.0,0.0,9.0,80.0,2.0,Marshall,5,13.2,6.6,35.6,12.2,1.0,2.4,13.8,1.4,1.0,1.6,0.0,16.0,12.616666666666667,10.091666666666669,6.666666666666667,4.854166666666666,32.01666666666667,26.712500000000002,0.19633333333333333,0.17775,12.033333333333331,9.320833333333333,1.7333333333333334,1.075,3.1333333333333333,2.1812500000000004,10.733333333333334,8.975,0.16666666666666666,0.16875,2.3333333333333335,1.8916666666666666,0.6999999999999998,0.45208333333333334,15.683333333333332,12.28125
03/08/2021,Marshall,3-1,4.0,0,66.0,20.0,156.0,0.295,59.0,7.0,10.0,71.0,0.0,1.0,14.0,1.0,8.0,81.0,1.0,Marshall,4,16.5,5.0,39.0,14.75,1.75,2.5,17.75,0.0,0.25,3.5,0.25,20.25,12.816666666666668,10.437037037037038,6.866666666666667,5.048148148148147,34.949999999999996,27.700000000000003,0.17600000000000002,0.17855555555555555,12.233333333333334,9.64074074074074,1.3333333333333333,1.0666666666666667,2.8000000000000003,2.2055555555555557,12.266666666666666,9.511111111111111,0.5,0.2611111111111111,2.1999999999999997,1.8592592592592594,0.5,0.40185185185185185,15.75,12.694444444444445
03/11/2021,North Ala.,3-1,4.0,0,58.0,26.0,141.0,0.227,51.0,5.0,15.0,55.0,5.0,1.0,14.0,3.0,8.0,71.0,1.0,North Ala.,4,14.5,6.5,35.25,12.75,1.25,3.75,13.75,1.25,0.25,3.5,0.75,17.75,14.316666666666668,11.043333333333335,5.783333333333334,5.043333333333333,35.03333333333333,28.830000000000002,0.242,0.19019999999999998,13.233333333333334,10.151666666666667,1.3333333333333333,1.135,3.1333333333333333,2.2350000000000003,13.433333333333332,10.334999999999999,0.5833333333333334,0.26,2.3666666666666667,2.0233333333333334,0.3333333333333333,0.38666666666666666,17.416666666666668,13.45
