date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
01/23/2021,Michigan St.,3-0,3.0,0,46.0,8.0,99.0,0.384,40.0,2.0,5.0,44.0,6.0,4.0,8.0,0.0,8.0,56.0,0.0,Michigan St.,3,15.333333333333334,2.6666666666666665,33.0,13.333333333333334,0.6666666666666666,1.6666666666666667,14.666666666666666,2.0,1.3333333333333333,2.6666666666666665,0.0,18.666666666666668,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
01/24/2021,Michigan St.,3-0,3.0,0,38.0,17.0,111.0,0.189,34.0,6.0,3.0,54.0,1.0,0.0,16.0,0.0,8.0,52.0,2.0,Michigan St.,3,12.666666666666666,5.666666666666667,37.0,11.333333333333334,2.0,1.0,18.0,0.3333333333333333,0.0,5.333333333333333,0.0,17.333333333333332,,7.666666666666667,,1.3333333333333333,,16.5,,0.192,,6.666666666666667,,0.3333333333333333,,0.8333333333333334,,7.333333333333333,,0.6666666666666666,,1.3333333333333333,,0.0,,9.333333333333334
01/29/2021,@ Maryland,3-0,3.0,0,40.0,16.0,106.0,0.226,29.0,11.0,3.0,55.0,4.0,2.0,16.0,0.0,10.0,61.0,0.0,Maryland,3,13.333333333333334,5.333333333333333,35.333333333333336,9.666666666666666,3.6666666666666665,1.0,18.33333333333333,1.3333333333333333,0.6666666666666666,5.333333333333333,0.0,20.33333333333333,,9.333333333333334,,2.777777777777778,,23.333333333333332,,0.19099999999999998,,8.222222222222223,,0.8888888888888888,,0.888888888888889,,10.888888888888888,,0.4444444444444444,,2.6666666666666665,,0.0,,12.0
01/30/2021,@ Maryland,3-0,3.0,0,42.0,8.0,94.0,0.362,35.0,10.0,2.0,39.0,4.0,1.0,12.0,0.0,7.0,59.0,2.0,Maryland,3,14.0,2.6666666666666665,31.33333333333333,11.666666666666666,3.333333333333333,0.6666666666666666,13.0,1.3333333333333333,0.3333333333333333,4.0,0.0,19.666666666666668,13.777777777777779,10.333333333333334,4.555555555555555,3.416666666666667,35.111111111111114,26.333333333333336,0.26633333333333337,0.19974999999999998,11.444444444444445,8.583333333333334,2.111111111111111,1.5833333333333333,1.2222222222222223,0.9166666666666667,16.999999999999996,12.749999999999998,0.6666666666666666,0.5,4.444444444444444,3.333333333333333,0.0,0.0,18.777777777777775,14.083333333333332
02/05/2021,@ Purdue,3-2,5.0,0,72.0,17.0,199.0,0.276,68.0,3.0,5.0,108.0,13.0,4.0,12.0,1.0,10.0,85.0,1.0,Purdue,5,14.4,3.4,39.8,13.6,0.6,1.0,21.6,2.6,0.8,2.4,0.2,17.0,13.333333333333334,11.066666666666666,4.555555555555555,3.266666666666667,34.55555555555555,27.333333333333336,0.259,0.23220000000000002,10.888888888888888,9.2,3.0,1.9333333333333331,0.8888888888888888,0.8666666666666668,16.444444444444443,12.799999999999999,0.3333333333333333,0.4666666666666667,4.888888888888888,3.4666666666666663,0.0,0.0,19.11111111111111,15.2
02/06/2021,@ Purdue,3-2,5.0,0,67.0,20.0,173.0,0.272,64.0,3.0,5.0,77.0,5.0,1.0,20.0,0.0,11.0,81.0,3.0,Purdue,5,13.4,4.0,34.6,12.8,0.6,1.0,15.4,1.0,0.2,4.0,0.0,16.2,13.911111111111111,11.622222222222222,3.7999999999999994,3.288888888888889,35.48888888888889,29.411111111111115,0.28800000000000003,0.23950000000000002,11.644444444444444,9.933333333333334,2.5333333333333328,1.711111111111111,0.8888888888888888,0.888888888888889,17.644444444444442,14.266666666666666,0.6,0.5222222222222223,3.911111111111111,3.2888888888888883,0.06666666666666667,0.03333333333333333,19.0,15.5
02/13/2021,Penn St.,3-1,4.0,0,67.0,24.0,172.0,0.25,61.0,4.0,8.0,72.0,5.0,2.0,18.0,2.0,11.0,82.0,1.0,Penn St.,4,16.75,6.0,43.0,15.25,1.0,2.0,18.0,1.25,0.5,4.5,0.5,20.5,13.933333333333332,11.876190476190477,3.3555555555555556,3.3904761904761904,35.24444444444444,30.152380952380955,0.30333333333333334,0.24414285714285716,12.68888888888889,10.342857142857143,1.511111111111111,1.5523809523809522,0.8888888888888888,0.9047619047619049,16.666666666666668,14.428571428571429,0.4444444444444444,0.4761904761904763,3.4666666666666663,3.39047619047619,0.06666666666666667,0.028571428571428574,17.622222222222224,15.6
02/14/2021,Penn St.,3-2,5.0,0,56.0,29.0,181.0,0.149,54.0,10.0,1.0,82.0,3.0,1.0,12.0,2.0,7.0,73.0,0.0,Penn St.,5,11.2,5.8,36.2,10.8,2.0,0.2,16.4,0.6,0.2,2.4,0.4,14.6,14.85,12.485416666666667,4.466666666666666,3.716666666666667,39.13333333333333,31.758333333333336,0.266,0.244875,13.883333333333333,10.95625,0.7333333333333334,1.4833333333333332,1.3333333333333333,1.0416666666666667,18.333333333333332,14.875,0.5,0.47916666666666674,3.633333333333333,3.5291666666666663,0.2333333333333333,0.0875,17.900000000000002,16.2125
02/19/2021,@ Nebraska,3-1,4.0,0,51.0,20.0,158.0,0.196,43.0,6.0,3.0,73.0,4.0,1.0,38.0,2.0,20.0,77.0,0.0,Nebraska,4,12.75,5.0,39.5,10.75,1.5,0.75,18.25,1.0,0.25,9.5,0.5,19.25,13.783333333333331,12.342592592592593,5.266666666666667,3.9481481481481477,37.93333333333333,32.25185185185185,0.22366666666666668,0.23422222222222222,12.950000000000001,10.93888888888889,1.2,1.5407407407407405,1.0666666666666667,0.9481481481481482,16.599999999999998,15.044444444444444,0.3,0.44814814814814824,3.633333333333333,3.4037037037037035,0.3,0.12222222222222223,17.1,16.03333333333333
02/21/2021,@ Nebraska,0-3,3.0,0,36.0,19.0,111.0,0.153,36.0,0.0,8.0,51.0,4.0,1.0,8.0,2.0,5.0,41.0,0.0,Nebraska,3,12.0,6.333333333333333,37.0,12.0,0.0,2.6666666666666665,17.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,13.666666666666666,13.566666666666668,12.383333333333335,5.599999999999999,4.053333333333333,39.56666666666667,32.976666666666674,0.19833333333333333,0.23040000000000002,12.266666666666667,10.92,1.5,1.5366666666666666,0.9833333333333334,0.9283333333333333,17.55,15.365,0.31666666666666665,0.4283333333333334,5.466666666666666,4.013333333333333,0.4666666666666666,0.16,18.116666666666667,16.354999999999997
