date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
01/22/2021,Maryland,3-2,5.0,0,66.0,31.0,157.0,0.223,58.0,10.0,10.0,66.0,7.0,0.0,20.0,1.0,10.0,86.0,1.0,Maryland,5,13.2,6.2,31.4,11.6,2.0,2.0,13.2,1.4,0.0,4.0,0.2,17.2
01/23/2021,Maryland,3-2,5.0,0,68.0,36.0,196.0,0.163,60.0,12.0,4.0,80.0,4.0,2.0,12.0,0.0,8.0,88.0,2.0,Maryland,5,13.6,7.2,39.2,12.0,2.4,0.8,16.0,0.8,0.4,2.4,0.0,17.6
01/31/2021,@ Michigan St.,3-0,3.0,0,40.0,12.0,99.0,0.283,38.0,4.0,7.0,46.0,1.0,3.0,10.0,1.0,8.0,52.0,0.0,Michigan St.,3,13.333333333333334,4.0,33.0,12.666666666666666,1.3333333333333333,2.3333333333333335,15.333333333333334,0.3333333333333333,1.0,3.3333333333333335,0.3333333333333333,17.333333333333332
02/01/2021,@ Michigan St.,3-2,5.0,0,67.0,26.0,170.0,0.241,63.0,2.0,9.0,71.0,4.0,1.0,14.0,4.0,8.0,77.0,0.0,Michigan St.,5,13.4,5.2,34.0,12.6,0.4,1.8,14.2,0.8,0.2,2.8,0.8,15.4
02/12/2021,Iowa,3-0,3.0,0,45.0,13.0,104.0,0.308,40.0,3.0,9.0,49.0,5.0,1.0,24.0,2.0,13.0,61.0,2.0,Iowa,3,15.0,4.333333333333333,34.666666666666664,13.333333333333334,1.0,3.0,16.333333333333332,1.6666666666666667,0.3333333333333333,8.0,0.6666666666666666,20.333333333333332
02/13/2021,Iowa,3-0,3.0,0,53.0,16.0,123.0,0.301,50.0,6.0,8.0,47.0,2.0,0.0,12.0,3.0,6.0,65.0,0.0,Iowa,3,17.666666666666668,5.333333333333333,41.0,16.666666666666668,2.0,2.6666666666666665,15.666666666666666,0.6666666666666666,0.0,4.0,1.0,21.666666666666668
02/17/2021,Penn St.,3-2,5.0,0,59.0,29.0,156.0,0.192,55.0,4.0,9.0,73.0,10.0,2.0,26.0,0.0,15.0,78.0,2.0,Penn St.,5,11.8,5.8,31.2,11.0,0.8,1.8,14.6,2.0,0.4,5.2,0.0,15.6
02/19/2021,@ Illinois,3-1,4.0,0,56.0,15.0,141.0,0.291,48.0,2.0,12.0,49.0,6.0,4.0,14.0,0.0,11.0,69.0,1.0,Illinois,4,14.0,3.75,35.25,12.0,0.5,3.0,12.25,1.5,1.0,3.5,0.0,17.25
02/20/2021,@ Illinois,3-2,5.0,0,63.0,18.0,168.0,0.268,52.0,2.0,10.0,77.0,11.0,1.0,24.0,1.0,13.0,78.0,2.0,Illinois,5,12.6,3.6,33.6,10.4,0.4,2.0,15.4,2.2,0.2,4.8,0.2,15.6
02/26/2021,@ Rutgers,3-0,3.0,0,55.0,12.0,114.0,0.377,52.0,3.0,5.0,43.0,1.0,1.0,16.0,1.0,9.0,67.0,1.0,Rutgers,3,18.333333333333332,4.0,38.0,17.333333333333332,1.0,1.6666666666666667,14.333333333333334,0.3333333333333333,0.3333333333333333,5.333333333333333,0.3333333333333333,22.333333333333332
