date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
09/11/2020,@ Louisiana,0-3,3.0,0,31.0,20.0,108.0,0.102,31.0,5.0,7.0,41.0,3.0,1.0,4.0,1.0,3.0,39.0,3.0,Louisiana
09/12/2020,@ Louisiana,0-3,3.0,0,31.0,17.0,102.0,0.137,29.0,3.0,5.0,44.0,5.0,2.0,2.0,1.0,3.0,37.0,1.0,Louisiana
09/26/2020,SFA,1-3,4.0,0,46.0,26.0,130.0,0.154,40.0,4.0,10.0,50.0,8.0,1.0,8.0,1.0,5.0,55.0,3.0,SFA
09/26/2020,SFA,1-3,4.0,0,45.0,21.0,141.0,0.17,38.0,4.0,8.0,48.0,8.0,1.0,6.0,0.0,4.0,53.0,4.0,SFA
10/01/2020,Troy,2-3,5.0,0,47.0,29.0,144.0,0.125,43.0,6.0,8.0,60.0,8.0,2.0,14.0,0.0,9.0,62.0,1.0,Troy
10/02/2020,Troy,3-2,5.0,0,53.0,24.0,163.0,0.178,49.0,6.0,11.0,70.0,7.0,3.0,22.0,0.0,14.0,73.0,2.0,Troy
10/09/2020,@ App State,3-0,3.0,0,35.0,13.0,79.0,0.278,29.0,6.0,7.0,36.0,7.0,1.0,6.0,0.0,4.0,45.0,2.0,App State
10/09/2020,@ App State,3-0,3.0,0,37.0,10.0,74.0,0.365,34.0,8.0,3.0,39.0,4.0,1.0,14.0,0.0,8.0,53.0,1.0,App State
10/10/2020,@ App State,3-1,4.0,0,42.0,19.0,124.0,0.185,35.0,7.0,5.0,70.0,4.0,8.0,2.0,0.0,9.0,58.0,5.0,App State
10/15/2020,Coastal Carolina,0-3,3.0,0,27.0,20.0,81.0,0.086,24.0,5.0,10.0,35.0,5.0,3.0,4.0,0.0,5.0,37.0,6.0,Coastal Carolina
10/15/2020,Coastal Carolina,0-3,3.0,0,32.0,15.0,66.0,0.258,30.0,4.0,3.0,29.0,10.0,2.0,8.0,0.0,6.0,42.0,5.0,Coastal Carolina
10/16/2020,Coastal Carolina,1-3,4.0,0,29.0,27.0,106.0,0.019,26.0,4.0,6.0,37.0,8.0,3.0,4.0,0.0,5.0,38.0,3.0,Coastal Carolina
10/22/2020,Ga. Southern,3-2,5.0,0,57.0,22.0,161.0,0.217,49.0,5.0,5.0,77.0,7.0,4.0,8.0,0.0,8.0,70.0,9.0,Ga. Southern
10/22/2020,Ga. Southern,3-0,3.0,0,30.0,17.0,118.0,0.11,23.0,4.0,5.0,60.0,4.0,3.0,10.0,0.0,8.0,42.0,8.0,Ga. Southern
10/23/2020,Ga. Southern,3-1,4.0,0,51.0,19.0,141.0,0.227,44.0,6.0,4.0,76.0,5.0,3.0,16.0,0.0,11.0,68.0,3.0,Ga. Southern
10/30/2020,@ Troy,2-3,5.0,0,36.0,14.0,114.0,0.193,33.0,7.0,10.0,46.0,12.0,2.0,22.0,1.0,13.0,56.0,1.0,Troy
10/31/2020,@ Troy,1-3,4.0,0,45.0,21.0,145.0,0.166,41.0,8.0,10.0,63.0,8.0,0.0,10.0,1.0,5.0,58.0,2.0,Troy
11/05/2020,@ Georgia St.,0-3,3.0,0,31.0,22.0,107.0,0.084,28.0,4.0,7.0,47.0,6.0,0.0,6.0,1.0,3.0,38.0,3.0,Georgia St.
11/05/2020,@ Georgia St.,0-3,3.0,0,42.0,17.0,114.0,0.219,39.0,4.0,5.0,46.0,5.0,0.0,4.0,0.0,2.0,48.0,0.0,Georgia St.
11/06/2020,@ Georgia St.,2-3,5.0,0,61.0,29.0,179.0,0.179,53.0,4.0,11.0,73.0,7.0,0.0,26.0,0.0,13.0,78.0,1.0,Georgia St.
11/19/2020,"ULM @ Foley, AL",3-0,3.0,0,42.0,12.0,78.0,0.385,38.0,8.0,14.0,41.0,3.0,0.0,8.0,1.0,4.0,54.0,4.0,ULM
11/20/2020,"Texas St. @ Foley, AL",0-3,3.0,0,29.0,19.0,101.0,0.099,27.0,5.0,6.0,37.0,3.0,1.0,6.0,0.0,4.0,38.0,3.0,Texas St.
