date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
02/11/2021,Wichita St.,0-3,3.0,0,32.0,15.0,101.0,0.168,27.0,3.0,8.0,50.0,5.0,2.0,8.0,2.0,6.0,41.0,3.0,Wichita St.,3,10.666666666666666,5.0,33.666666666666664,9.0,1.0,2.6666666666666665,16.666666666666668,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.6666666666666666,13.666666666666666
02/12/2021,Wichita St.,1-3,4.0,0,44.0,26.0,161.0,0.112,42.0,4.0,7.0,74.0,9.0,6.0,10.0,4.0,11.0,59.0,0.0,Wichita St.,4,11.0,6.5,40.25,10.5,1.0,1.75,18.5,2.25,1.5,2.5,1.0,14.75
02/25/2021,@ Memphis,3-1,4.0,0,53.0,11.0,150.0,0.28,50.0,3.0,9.0,75.0,5.0,1.0,16.0,4.0,9.0,65.0,4.0,Memphis,4,13.25,2.75,37.5,12.5,0.75,2.25,18.75,1.25,0.25,4.0,1.0,16.25
02/26/2021,@ Memphis,3-0,3.0,0,51.0,10.0,127.0,0.323,50.0,3.0,5.0,69.0,2.0,1.0,6.0,1.0,4.0,58.0,4.0,Memphis,3,17.0,3.3333333333333335,42.333333333333336,16.666666666666668,1.0,1.6666666666666667,23.0,0.6666666666666666,0.3333333333333333,2.0,0.3333333333333333,19.333333333333332
03/05/2021,Houston,1-3,4.0,0,48.0,17.0,157.0,0.197,46.0,4.0,6.0,80.0,4.0,4.0,12.0,1.0,10.0,62.0,1.0,Houston,4,12.0,4.25,39.25,11.5,1.0,1.5,20.0,1.0,1.0,3.0,0.25,15.5
03/06/2021,Houston,1-3,4.0,0,47.0,14.0,143.0,0.231,46.0,3.0,6.0,67.0,6.0,0.0,8.0,3.0,4.0,54.0,1.0,Houston,4,11.75,3.5,35.75,11.5,0.75,1.5,16.75,1.5,0.0,2.0,0.75,13.5
03/12/2021,@ SMU,0-3,3.0,0,38.0,16.0,118.0,0.186,35.0,2.0,7.0,56.0,5.0,0.0,26.0,0.0,13.0,53.0,3.0,SMU,3,12.666666666666666,5.333333333333333,39.333333333333336,11.666666666666666,0.6666666666666666,2.3333333333333335,18.666666666666668,1.6666666666666667,0.0,8.666666666666666,0.0,17.666666666666668
03/13/2021,@ SMU,0-3,3.0,0,22.0,21.0,109.0,0.009,21.0,3.0,5.0,53.0,4.0,0.0,6.0,0.0,3.0,28.0,0.0,SMU,3,7.333333333333333,7.0,36.333333333333336,7.0,1.0,1.6666666666666667,17.666666666666668,1.3333333333333333,0.0,2.0,0.0,9.333333333333334
03/26/2021,Tulane,1-3,4.0,0,53.0,20.0,174.0,0.19,50.0,2.0,10.0,80.0,4.0,3.0,10.0,1.0,8.0,63.0,1.0,Tulane,4,13.25,5.0,43.5,12.5,0.5,2.5,20.0,1.0,0.75,2.5,0.25,15.75
03/27/2021,Tulane,0-3,3.0,0,31.0,17.0,123.0,0.114,27.0,4.0,6.0,55.0,6.0,3.0,12.0,1.0,9.0,44.0,1.0,Tulane,3,10.333333333333334,5.666666666666667,41.0,9.0,1.3333333333333333,2.0,18.333333333333332,2.0,1.0,4.0,0.3333333333333333,14.666666666666666
