date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
10/09/2020,@ Little Rock,3-1,4.0,0,53.0,20.0,149.0,0.221,48.0,13.0,4.0,76.0,10.0,1.0,26.0,2.0,14.0,80.0,3.0,Little Rock,4,13.25,5.0,37.25,12.0,3.25,1.0,19.0,2.5,0.25,6.5,0.5,20.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
10/09/2020,@ Little Rock,3-0,3.0,0,44.0,17.0,109.0,0.248,41.0,10.0,6.0,53.0,4.0,2.0,12.0,0.0,8.0,62.0,0.0,Little Rock,3,14.666666666666666,5.666666666666667,36.333333333333336,13.666666666666666,3.333333333333333,2.0,17.666666666666668,1.3333333333333333,0.6666666666666666,4.0,0.0,20.666666666666668,,6.625,,2.5,,18.625,,0.1105,,6.0,,1.625,,0.5,,9.5,,0.125,,3.25,,0.25,,10.0
10/10/2020,@ Little Rock,3-2,5.0,0,76.0,26.0,203.0,0.246,71.0,6.0,2.0,96.0,2.0,2.0,15.0,6.0,9.5,91.5,1.0,Little Rock,5,15.2,5.2,40.6,14.2,1.2,0.4,19.2,0.4,0.4,3.0,1.2,18.3,,9.305555555555555,,3.555555555555556,,24.527777777777782,,0.15633333333333332,,8.555555555555555,,2.194444444444444,,1.0,,12.222222222222223,,0.3055555555555555,,3.5,,0.16666666666666666,,13.555555555555557
10/16/2020,Arkansas St.,3-1,4.0,0,57.0,23.0,222.0,0.153,51.0,4.0,5.0,113.0,3.0,1.0,4.0,0.0,3.0,64.0,1.0,Arkansas St.,4,14.25,5.75,55.5,12.75,1.0,1.25,28.25,0.75,0.25,1.0,0.0,16.0,14.372222222222222,10.779166666666665,5.288888888888889,3.966666666666667,38.06111111111111,28.545833333333334,0.2383333333333333,0.17875,13.28888888888889,9.966666666666665,2.5944444444444446,1.9458333333333333,1.1333333333333333,0.85,18.622222222222224,13.966666666666669,0.4388888888888889,0.32916666666666666,4.5,3.375,0.5666666666666667,0.425,19.655555555555555,14.741666666666667
10/16/2020,Arkansas St.,3-2,5.0,0,60.0,30.0,193.0,0.155,54.0,7.0,2.0,94.0,5.0,3.0,18.0,0.0,12.0,79.0,3.0,Arkansas St.,5,12.0,6.0,38.6,10.8,1.4,0.4,18.8,1.0,0.6,3.6,0.0,15.8,14.705555555555556,11.473333333333333,5.538888888888889,4.323333333333333,44.144444444444446,33.93666666666667,0.21566666666666667,0.1736,13.53888888888889,10.523333333333332,1.8444444444444443,1.7566666666666666,1.2166666666666666,0.93,21.70555555555556,16.823333333333334,0.4388888888888889,0.31333333333333335,2.6666666666666665,2.9,0.39999999999999997,0.33999999999999997,18.322222222222223,14.993333333333334
10/17/2020,Arkansas St.,1-3,4.0,0,68.0,25.0,192.0,0.224,64.0,3.0,8.0,83.0,1.0,4.0,4.0,0.0,6.0,77.0,1.0,Arkansas St.,4,17.0,6.25,48.0,16.0,0.75,2.0,20.75,0.25,1.0,1.0,0.0,19.25,13.816666666666668,11.56111111111111,5.6499999999999995,4.602777777777778,44.9,34.71388888888889,0.18466666666666667,0.17049999999999998,12.583333333333334,10.569444444444443,1.2,1.6972222222222222,0.6833333333333332,0.8416666666666668,22.083333333333332,17.15277777777778,0.4166666666666667,0.3611111111111111,2.533333333333333,3.016666666666667,0.39999999999999997,0.2833333333333333,16.7,15.127777777777778
10/23/2020,@ ULM,3-1,4.0,0,53.0,14.0,169.0,0.231,45.0,2.0,10.0,67.0,4.0,1.0,10.0,0.0,6.0,61.0,1.0,ULM,4,13.25,3.5,42.25,11.25,0.5,2.5,16.75,1.0,0.25,2.5,0.0,15.25,14.416666666666666,12.338095238095237,6.0,4.838095238095238,47.36666666666667,36.61190476190476,0.17733333333333334,0.17814285714285713,13.183333333333332,11.345238095238093,1.0499999999999998,1.561904761904762,1.2166666666666666,1.0071428571428573,22.599999999999998,17.666666666666668,0.6166666666666667,0.4523809523809524,1.8666666666666665,2.7285714285714286,0.0,0.24285714285714285,17.016666666666666,15.716666666666667
10/23/2020,@ ULM,3-0,3.0,0,38.0,9.0,125.0,0.232,33.0,12.0,3.0,53.0,1.0,1.0,6.0,0.0,4.0,54.0,2.0,ULM,3,12.666666666666666,3.0,41.66666666666666,11.0,4.0,1.0,17.666666666666668,0.3333333333333333,0.3333333333333333,2.0,0.0,18.0,14.083333333333334,12.452083333333333,5.25,4.670833333333333,42.949999999999996,37.31666666666666,0.20333333333333334,0.18475,12.683333333333332,11.333333333333332,0.8833333333333332,1.4291666666666667,1.6333333333333335,1.19375,18.766666666666666,17.552083333333336,0.6166666666666667,0.4270833333333333,2.3666666666666667,2.7,0.0,0.2125,16.766666666666666,15.658333333333333
10/24/2020,@ ULM,3-0,3.0,0,49.0,15.0,120.0,0.283,44.0,4.0,4.0,57.0,6.0,3.0,14.0,0.0,10.0,63.0,2.0,ULM,3,16.333333333333332,5.0,40.0,14.666666666666666,1.3333333333333333,1.3333333333333333,19.0,2.0,1.0,4.666666666666667,0.0,21.0,14.305555555555555,12.475925925925926,4.25,4.485185185185185,43.97222222222222,37.79999999999999,0.229,0.19,12.75,11.296296296296296,1.75,1.7148148148148148,1.8333333333333333,1.1722222222222223,18.38888888888889,17.564814814814817,0.5277777777777778,0.4166666666666667,1.8333333333333333,2.6222222222222222,0.0,0.18888888888888888,17.5,15.918518518518518
10/30/2020,Texas St.,0-3,3.0,0,36.0,18.0,114.0,0.158,30.0,1.0,3.0,47.0,3.0,2.0,0.0,2.0,2.0,39.0,0.0,Texas St.,3,12.0,6.0,38.0,10.0,0.3333333333333333,1.0,15.666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,13.0,14.083333333333334,12.861666666666668,3.8333333333333335,4.536666666666667,41.30555555555555,38.019999999999996,0.24866666666666667,0.19929999999999998,12.305555555555555,11.633333333333333,1.9444444444444444,1.6766666666666665,1.611111111111111,1.1883333333333335,17.805555555555557,17.708333333333336,0.5277777777777778,0.475,3.055555555555556,2.826666666666667,0.0,0.16999999999999998,18.083333333333332,16.426666666666666
10/31/2020,Texas St.,0-3,3.0,0,35.0,24.0,120.0,0.092,32.0,1.0,4.0,45.0,2.0,3.0,0.0,2.0,3.0,39.0,2.0,Texas St.,3,11.666666666666666,8.0,40.0,10.666666666666666,0.3333333333333333,1.3333333333333333,15.0,0.6666666666666666,1.0,0.0,0.6666666666666666,13.0,13.666666666666666,12.783333333333333,4.666666666666667,4.66969696969697,39.888888888888886,38.01818181818181,0.22433333333333336,0.19554545454545452,11.888888888888888,11.484848484848484,1.888888888888889,1.5545454545454545,1.111111111111111,1.1712121212121214,17.444444444444446,17.522727272727273,0.6666666666666666,0.49242424242424243,2.2222222222222223,2.56969696969697,0.2222222222222222,0.21515151515151515,17.333333333333332,16.115151515151513
11/06/2020,Louisiana,2-3,5.0,0,63.0,20.0,205.0,0.21,60.0,3.0,6.0,105.0,6.0,9.0,2.0,2.0,10.0,76.0,2.0,Louisiana,5,12.6,4.0,41.0,12.0,0.6,1.2,21.0,1.2,1.8,0.4,0.4,15.2,13.333333333333334,12.690277777777778,6.333333333333333,4.947222222222222,39.333333333333336,38.18333333333333,0.17766666666666664,0.18691666666666665,11.777777777777777,11.416666666666666,0.6666666666666666,1.4527777777777775,1.222222222222222,1.1847222222222225,16.555555555555554,17.3125,0.888888888888889,0.5347222222222222,1.5555555555555556,2.3555555555555556,0.4444444444444444,0.25277777777777777,15.666666666666666,15.855555555555554
11/06/2020,Louisiana,1-3,4.0,0,39.0,30.0,179.0,0.05,35.0,3.0,8.0,93.0,5.0,15.0,2.0,1.0,16.0,58.0,2.0,Louisiana,4,9.75,7.5,44.75,8.75,0.75,2.0,23.25,1.25,3.75,0.5,0.25,14.5,12.088888888888889,12.683333333333334,6.0,4.874358974358975,39.666666666666664,38.39999999999999,0.15333333333333332,0.1886923076923077,10.888888888888891,11.461538461538462,0.4222222222222222,1.3871794871794871,1.1777777777777778,1.185897435897436,17.22222222222222,17.596153846153847,1.1555555555555557,0.632051282051282,0.13333333333333333,2.2051282051282053,0.5777777777777778,0.2641025641025641,13.733333333333334,15.805128205128202
11/07/2020,Louisiana,3-1,4.0,0,56.0,19.0,181.0,0.204,53.0,2.0,2.0,96.0,3.0,6.0,4.0,1.0,8.0,66.0,2.0,Louisiana,4,14.0,4.75,45.25,13.25,0.5,0.5,24.0,0.75,1.5,1.0,0.25,16.5,11.338888888888889,12.473809523809523,6.5,5.061904761904763,41.916666666666664,38.85357142857142,0.11733333333333333,0.17878571428571427,10.472222222222223,11.267857142857142,0.5611111111111111,1.3416666666666666,1.511111111111111,1.244047619047619,19.75,18.0,2.1833333333333336,0.8547619047619047,0.3,2.0833333333333335,0.43888888888888894,0.2630952380952381,14.233333333333334,15.71190476190476
11/13/2020,@ Texas St.,0-3,3.0,0,29.0,14.0,114.0,0.132,29.0,0.0,5.0,50.0,2.0,2.0,6.0,1.0,5.0,34.0,7.0,Texas St.,3,9.666666666666666,4.666666666666667,38.0,9.666666666666666,0.0,1.6666666666666667,16.666666666666668,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,11.333333333333334,12.116666666666667,12.575555555555555,5.416666666666667,5.041111111111111,43.666666666666664,39.279999999999994,0.15466666666666665,0.18046666666666666,11.333333333333334,11.4,0.6166666666666667,1.2855555555555553,1.2333333333333334,1.1944444444444444,22.75,18.4,2.35,0.8977777777777778,0.6333333333333333,2.011111111111111,0.3,0.2622222222222222,15.4,15.764444444444443
11/14/2020,@ Texas St.,3-0,3.0,0,43.0,15.0,114.0,0.246,40.0,3.0,6.0,60.0,2.0,1.0,20.0,2.0,11.0,57.0,3.0,Texas St.,3,14.333333333333334,5.0,38.0,13.333333333333334,1.0,2.0,20.0,0.6666666666666666,0.3333333333333333,6.666666666666667,0.6666666666666666,19.0,11.138888888888888,12.393749999999999,5.638888888888889,5.017708333333334,42.666666666666664,39.199999999999996,0.12866666666666668,0.1774375,10.555555555555555,11.291666666666666,0.4166666666666667,1.2052083333333332,1.3888888888888886,1.2239583333333335,21.305555555555557,18.291666666666668,1.9722222222222223,0.8833333333333333,1.1666666666666667,2.010416666666667,0.27777777777777773,0.26666666666666666,14.111111111111112,15.487499999999999
