date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
01/22/2021,@ Liberty,3-0,3.0,0,42.0,11.0,97.0,0.32,32.0,6.0,3.0,37.0,2.0,0.0,20.0,0.0,10.0,58.0,0.0,Liberty
01/23/2021,@ Old Dominion,3-0,3.0,0,41.0,8.0,93.0,0.355,37.0,5.0,3.0,47.0,2.0,0.0,14.0,0.0,7.0,53.0,0.0,Old Dominion
01/29/2021,@ Norfolk St.,3-0,3.0,0,40.0,13.0,109.0,0.248,38.0,5.0,6.0,62.0,5.0,1.0,22.0,2.0,12.0,57.0,0.0,Norfolk St.
02/01/2021,George Mason,3-0,3.0,0,34.0,7.0,92.0,0.293,33.0,8.0,7.0,43.0,3.0,1.0,26.0,0.0,14.0,56.0,0.0,George Mason
02/05/2021,Saint Louis,3-1,4.0,0,54.0,20.0,166.0,0.205,50.0,2.0,7.0,66.0,6.0,0.0,16.0,4.0,8.0,64.0,1.0,Saint Louis
02/09/2021,Duke,0-3,3.0,0,34.0,19.0,122.0,0.123,32.0,2.0,3.0,54.0,4.0,0.0,10.0,0.0,5.0,41.0,1.0,Duke
02/12/2021,@ Duquesne,3-0,3.0,0,52.0,11.0,113.0,0.363,43.0,1.0,3.0,56.0,3.0,1.0,18.0,0.0,10.0,63.0,3.0,Duquesne
02/23/2021,@ Elon,3-1,4.0,0,58.0,17.0,147.0,0.279,55.0,2.0,5.0,76.0,3.0,1.0,12.0,1.0,7.0,67.0,0.0,Elon
02/26/2021,@ Davidson,3-1,4.0,0,59.0,22.0,149.0,0.248,57.0,11.0,5.0,74.0,5.0,0.0,8.0,1.0,4.0,74.0,1.0,Davidson
02/27/2021,@ Davidson,2-3,5.0,0,63.0,28.0,189.0,0.185,61.0,3.0,6.0,87.0,8.0,1.0,20.0,0.0,11.0,77.0,3.0,Davidson
03/06/2021,@ Dayton,0-3,3.0,0,26.0,21.0,98.0,0.051,26.0,1.0,4.0,40.0,7.0,1.0,10.0,0.0,6.0,33.0,0.0,Dayton
03/14/2021,Duquesne,3-0,3.0,0,41.0,6.0,91.0,0.385,37.0,6.0,6.0,36.0,4.0,2.0,18.0,1.0,11.0,58.0,0.0,Duquesne
03/15/2021,Duquesne,3-0,3.0,0,42.0,17.0,103.0,0.243,40.0,5.0,7.0,45.0,7.0,1.0,18.0,0.0,10.0,57.0,1.0,Duquesne
03/19/2021,@ Saint Louis,3-0,3.0,0,38.0,20.0,128.0,0.141,33.0,6.0,0.0,56.0,4.0,1.0,12.0,0.0,7.0,51.0,0.0,Saint Louis
03/20/2021,@ Saint Louis,2-3,5.0,0,52.0,23.0,157.0,0.185,47.0,5.0,4.0,69.0,11.0,0.0,6.0,1.0,3.0,60.0,1.0,Saint Louis
03/27/2021,Davidson,3-0,3.0,0,37.0,14.0,121.0,0.19,35.0,5.0,4.0,63.0,2.0,3.0,4.0,0.0,5.0,47.0,0.0,Davidson
04/02/2021,"Rhode Island @ Dayton, OH",3-0,3.0,0,40.0,6.0,90.0,0.378,38.0,2.0,1.0,49.0,6.0,0.0,18.0,2.0,9.0,51.0,3.0,Rhode Island
04/03/2021,@ Dayton,0-3,3.0,0,34.0,18.0,117.0,0.137,27.0,1.0,1.0,51.0,7.0,1.0,12.0,1.0,7.0,42.0,0.0,Dayton
