date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
01/23/2021,@ Clemson,0-3,3.0,0,36.0,19.0,102.0,0.167,32.0,5.0,1.0,35.0,6.0,3.0,8.0,0.0,7.0,48.0,1.0,Clemson,3,12.0,6.333333333333333,34.0,10.666666666666666,1.6666666666666667,0.3333333333333333,11.666666666666666,2.0,1.0,2.6666666666666665,0.0,16.0
01/23/2021,@ Clemson,1-3,4.0,0,56.0,17.0,166.0,0.235,45.0,2.0,4.0,65.0,7.0,4.0,2.0,2.0,5.0,63.0,1.0,Clemson,4,14.0,4.25,41.5,11.25,0.5,1.0,16.25,1.75,1.0,0.5,0.5,15.75
02/01/2021,@ The Citadel,3-2,5.0,0,57.0,23.0,174.0,0.195,54.0,3.0,9.0,102.0,4.0,2.0,8.0,2.0,6.0,66.0,1.0,The Citadel,5,11.4,4.6,34.8,10.8,0.6,1.8,20.4,0.8,0.4,1.6,0.4,13.2
02/02/2021,@ The Citadel,0-3,3.0,0,31.0,16.0,108.0,0.139,28.0,4.0,4.0,55.0,5.0,1.0,4.0,3.0,3.0,38.0,2.0,The Citadel,3,10.333333333333334,5.333333333333333,36.0,9.333333333333334,1.3333333333333333,1.3333333333333333,18.333333333333332,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,12.666666666666666
02/07/2021,@ Samford,2-3,5.0,0,48.0,11.0,178.0,0.208,45.0,6.0,6.0,84.0,9.0,4.0,16.0,3.0,12.0,66.0,1.0,Samford,5,9.6,2.2,35.6,9.0,1.2,1.2,16.8,1.8,0.8,3.2,0.6,13.2
02/08/2021,@ Samford,0-3,3.0,0,35.0,16.0,92.0,0.207,28.0,5.0,4.0,35.0,7.0,3.0,8.0,0.0,7.0,47.0,0.0,Samford,3,11.666666666666666,5.333333333333333,30.666666666666668,9.333333333333334,1.6666666666666667,1.3333333333333333,11.666666666666666,2.333333333333333,1.0,2.6666666666666665,0.0,15.666666666666666
02/14/2021,Chattanooga,3-0,3.0,0,54.0,19.0,157.0,0.223,51.0,1.0,1.0,85.0,3.0,4.0,8.0,0.0,8.0,63.0,0.0,Chattanooga,3,18.0,6.333333333333333,52.333333333333336,17.0,0.3333333333333333,0.3333333333333333,28.333333333333332,1.0,1.3333333333333333,2.6666666666666665,0.0,21.0
02/15/2021,Chattanooga,3-0,3.0,0,46.0,14.0,110.0,0.291,43.0,5.0,5.0,50.0,2.0,2.0,12.0,2.0,8.0,59.0,0.0,Chattanooga,3,15.333333333333334,4.666666666666667,36.666666666666664,14.333333333333334,1.6666666666666667,1.6666666666666667,16.666666666666668,0.6666666666666666,0.6666666666666666,4.0,0.6666666666666666,19.666666666666668
02/24/2021,Wofford,2-3,5.0,0,63.0,27.0,193.0,0.187,62.0,7.0,3.0,86.0,5.0,7.0,6.0,3.0,10.0,80.0,0.0,Wofford,5,12.6,5.4,38.6,12.4,1.4,0.6,17.2,1.0,1.4,1.2,0.6,16.0
02/28/2021,ETSU,3-0,3.0,0,49.0,8.0,118.0,0.347,45.0,3.0,4.0,58.0,1.0,5.0,2.0,2.0,6.0,58.0,0.0,ETSU,3,16.333333333333332,2.6666666666666665,39.333333333333336,15.0,1.0,1.3333333333333333,19.333333333333332,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,19.333333333333332
03/01/2021,ETSU,3-1,4.0,0,62.0,15.0,169.0,0.278,59.0,2.0,5.0,95.0,6.0,3.0,6.0,3.0,6.0,70.0,0.0,ETSU,4,15.5,3.75,42.25,14.75,0.5,1.25,23.75,1.5,0.75,1.5,0.75,17.5
03/07/2021,@ Furman,1-3,4.0,0,41.0,18.0,142.0,0.162,38.0,3.0,1.0,59.0,3.0,4.0,14.0,2.0,11.0,55.0,0.0,Furman,4,10.25,4.5,35.5,9.5,0.75,0.25,14.75,0.75,1.0,3.5,0.5,13.75
03/08/2021,@ Furman,3-0,3.0,0,37.0,12.0,117.0,0.214,34.0,6.0,1.0,54.0,4.0,1.0,18.0,2.0,10.0,53.0,0.0,Furman,3,12.333333333333334,4.0,39.0,11.333333333333334,2.0,0.3333333333333333,18.0,1.3333333333333333,0.3333333333333333,6.0,0.6666666666666666,17.666666666666668
03/14/2021,Mercer,3-0,3.0,0,39.0,13.0,115.0,0.226,37.0,3.0,2.0,52.0,1.0,5.0,4.0,0.0,7.0,49.0,0.0,Mercer,3,13.0,4.333333333333333,38.333333333333336,12.333333333333334,1.0,0.6666666666666666,17.333333333333332,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,16.333333333333332
03/15/2021,Mercer,3-0,3.0,0,38.0,13.0,125.0,0.2,32.0,3.0,4.0,51.0,0.0,9.0,6.0,0.0,12.0,53.0,0.0,Mercer,3,12.666666666666666,4.333333333333333,41.666666666666664,10.666666666666666,1.0,1.3333333333333333,17.0,0.0,3.0,2.0,0.0,17.666666666666668
03/25/2021,Wofford,3-0,3.0,0,41.0,10.0,100.0,0.31,41.0,7.0,1.0,56.0,2.0,3.0,12.0,0.0,9.0,57.0,1.0,Wofford,3,13.666666666666666,3.3333333333333335,33.333333333333336,13.666666666666666,2.3333333333333335,0.3333333333333333,18.666666666666668,0.6666666666666666,1.0,4.0,0.0,19.0
03/28/2021,@ UNC Greensboro,3-0,3.0,0,47.0,11.0,129.0,0.279,44.0,7.0,5.0,70.0,5.0,0.0,14.0,0.0,7.0,61.0,0.0,UNC Greensboro,3,15.666666666666666,3.6666666666666665,43.0,14.666666666666666,2.3333333333333335,1.6666666666666667,23.333333333333332,1.6666666666666667,0.0,4.666666666666667,0.0,20.333333333333332
03/29/2021,@ UNC Greensboro,3-0,3.0,0,43.0,11.0,134.0,0.239,43.0,6.0,1.0,68.0,1.0,1.0,20.0,0.0,11.0,60.0,0.0,UNC Greensboro,3,14.333333333333334,3.6666666666666665,44.666666666666664,14.333333333333334,2.0,0.3333333333333333,22.666666666666668,0.3333333333333333,0.3333333333333333,6.666666666666667,0.0,20.0
