date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
01/23/2021,@ Drake,1-3,4.0,0,41.0,32.0,149.0,0.06,39.0,3.0,3.0,67.0,7.0,3.0,14.0,2.0,10.0,54.0,3.0,Drake
01/31/2021,@ South Dakota St.,0-3,3.0,0,32.0,17.0,94.0,0.16,31.0,1.0,3.0,35.0,7.0,1.0,6.0,2.0,4.0,37.0,1.0,South Dakota St.
02/01/2021,@ South Dakota St.,0-3,3.0,0,38.0,17.0,131.0,0.16,37.0,2.0,3.0,61.0,5.0,3.0,4.0,2.0,5.0,45.0,3.0,South Dakota St.
02/07/2021,Oral Roberts,0-3,3.0,0,34.0,19.0,107.0,0.14,33.0,6.0,3.0,43.0,9.0,1.0,0.0,2.0,1.0,41.0,1.0,Oral Roberts
02/08/2021,Oral Roberts,2-3,5.0,0,60.0,20.0,198.0,0.202,58.0,4.0,8.0,109.0,6.0,0.0,10.0,1.0,5.0,69.0,2.0,Oral Roberts
02/14/2021,@ Kansas City,2-3,5.0,0,61.0,28.0,172.0,0.192,56.0,7.0,7.0,80.0,4.0,6.0,6.0,1.0,9.0,77.0,1.0,Kansas City
02/15/2021,@ Kansas City,1-3,4.0,0,39.0,26.0,135.0,0.096,34.0,3.0,10.0,61.0,7.0,2.0,12.0,1.0,8.0,50.0,0.0,Kansas City
02/21/2021,@ Denver,0-3,3.0,0,29.0,16.0,96.0,0.135,27.0,2.0,6.0,35.0,5.0,1.0,4.0,1.0,3.0,34.0,2.0,Denver
02/22/2021,@ Denver,0-3,3.0,0,35.0,13.0,92.0,0.239,32.0,2.0,4.0,35.0,9.0,2.0,6.0,3.0,5.0,42.0,4.0,Denver
02/28/2021,Omaha,1-3,4.0,0,45.0,14.0,131.0,0.237,35.0,7.0,8.0,45.0,8.0,1.0,14.0,0.0,8.0,60.0,4.0,Omaha
03/01/2021,Omaha,0-3,3.0,0,28.0,15.0,80.0,0.162,26.0,4.0,7.0,28.0,9.0,0.0,4.0,0.0,2.0,34.0,2.0,Omaha
03/05/2021,@ North Dakota St.,0-3,3.0,0,30.0,19.0,116.0,0.095,29.0,3.0,4.0,44.0,5.0,1.0,6.0,1.0,4.0,37.0,0.0,North Dakota St.
03/06/2021,@ North Dakota St.,0-3,3.0,0,27.0,21.0,118.0,0.051,26.0,3.0,6.0,44.0,4.0,2.0,8.0,0.0,6.0,36.0,1.0,North Dakota St.
03/19/2021,North Dakota,3-1,4.0,0,47.0,18.0,151.0,0.192,45.0,9.0,8.0,74.0,3.0,3.0,26.0,0.0,16.0,72.0,1.0,North Dakota
03/20/2021,North Dakota,3-2,5.0,0,58.0,29.0,196.0,0.148,47.0,10.0,9.0,102.0,6.0,4.0,14.0,0.0,11.0,79.0,3.0,North Dakota
03/26/2021,South Dakota,0-3,3.0,0,25.0,20.0,88.0,0.057,22.0,5.0,3.0,31.0,6.0,0.0,4.0,0.0,2.0,32.0,2.0,South Dakota
03/27/2021,South Dakota,0-3,3.0,0,39.0,15.0,112.0,0.214,38.0,9.0,5.0,46.0,4.0,2.0,4.0,1.0,4.0,52.0,1.0,South Dakota
