date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
01/25/2021,IUPUI,3-2,5.0,0,52.0,23.0,166.0,0.175,50.0,10.0,12.0,68.0,6.0,0.0,12.0,3.0,6.0,68.0,1.0,IUPUI
01/26/2021,IUPUI,3-1,4.0,0,46.0,22.0,133.0,0.18,43.0,10.0,8.0,55.0,4.0,0.0,6.0,1.0,3.0,59.0,0.0,IUPUI
02/01/2021,@ Purdue Fort Wayne,0-3,3.0,0,18.0,13.0,90.0,0.056,17.0,2.0,6.0,27.0,12.0,1.0,4.0,2.0,3.0,23.0,0.0,Purdue Fort Wayne
02/02/2021,@ Purdue Fort Wayne,0-3,3.0,0,34.0,16.0,123.0,0.146,34.0,4.0,4.0,47.0,3.0,2.0,6.0,2.0,5.0,43.0,0.0,Purdue Fort Wayne
02/08/2021,UIC,0-3,3.0,0,35.0,25.0,106.0,0.094,33.0,1.0,4.0,49.0,10.0,1.0,0.0,0.0,1.0,37.0,3.0,UIC
02/09/2021,UIC,0-3,3.0,0,30.0,16.0,101.0,0.139,29.0,1.0,5.0,37.0,2.0,0.0,6.0,4.0,3.0,34.0,0.0,UIC
03/01/2021,Northern Ky.,0-3,3.0,0,19.0,22.0,95.0,-0.032,18.0,4.0,6.0,41.0,13.0,1.0,0.0,2.0,1.0,24.0,0.0,Northern Ky.
03/02/2021,Northern Ky.,0-3,3.0,0,28.0,18.0,102.0,0.098,28.0,4.0,9.0,41.0,4.0,0.0,8.0,5.0,4.0,36.0,1.0,Northern Ky.
03/08/2021,Robert Morris,3-2,5.0,0,59.0,19.0,179.0,0.223,55.0,5.0,9.0,98.0,10.0,1.0,8.0,2.0,5.0,69.0,4.0,Robert Morris
03/09/2021,Robert Morris,0-3,3.0,0,33.0,25.0,109.0,0.073,32.0,0.0,4.0,49.0,3.0,0.0,10.0,1.0,5.0,38.0,2.0,Robert Morris
03/15/2021,@ Cleveland St.,0-3,3.0,0,28.0,18.0,104.0,0.096,25.0,4.0,5.0,49.0,8.0,0.0,0.0,0.0,0.0,32.0,2.0,Cleveland St.
03/16/2021,@ Cleveland St.,0-3,3.0,0,20.0,23.0,110.0,-0.027,20.0,3.0,3.0,55.0,4.0,2.0,2.0,0.0,3.0,26.0,0.0,Cleveland St.
03/22/2021,Oakland,0-3,3.0,0,25.0,22.0,135.0,0.022,21.0,4.0,3.0,69.0,10.0,1.0,4.0,3.0,3.0,32.0,1.0,Oakland
03/22/2021,Oakland,0-3,3.0,0,29.0,22.0,103.0,0.068,26.0,1.0,1.0,41.0,9.0,0.0,0.0,2.0,0.0,30.0,0.0,Oakland
