date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2021,Tarleton St.,1-3,4.0,49.0,33.0,160.0,0.1,38.0,4.0,10.0,63.0,6.0,1.0,26.0,0.0,67.0,4.0,Tarleton St.,4,12.25,8.25,40.0,9.5,1.0,2.5,15.75,0.25,6.5,0.0,16.75
08/28/2021,Miami (FL),0-3,3.0,27.0,22.0,102.0,0.049,25.0,3.0,5.0,44.0,5.0,0.0,12.0,1.0,36.0,1.0,Miami ,3,9.0,7.333333333333333,34.0,8.333333333333334,1.0,1.6666666666666667,14.666666666666666,0.0,4.0,0.3333333333333333,12.0
09/03/2021,"Florida A&M @ Fort Myers, Fla.",3-1,4.0,59.0,21.0,154.0,0.247,55.0,7.0,8.0,66.0,5.0,2.0,16.0,3.0,76.0,4.0,Florida A&M,4,14.75,5.25,38.5,13.75,1.75,2.0,16.5,0.5,4.0,0.75,19.0
09/03/2021,@ FGCU,0-3,3.0,28.0,18.0,99.0,0.101,28.0,4.0,7.0,44.0,3.0,1.0,6.0,0.0,36.0,1.0,FGCU,3,9.333333333333334,6.0,33.0,9.333333333333334,1.3333333333333333,2.3333333333333335,14.666666666666666,0.3333333333333333,2.0,0.0,12.0
09/04/2021,"USC Upstate @ Fort Myers, FL",3-0,3.0,43.0,9.0,112.0,0.304,40.0,7.0,9.0,42.0,2.0,3.0,6.0,1.0,56.0,4.0,USC Upstate,3,14.333333333333334,3.0,37.333333333333336,13.333333333333334,2.3333333333333335,3.0,14.0,1.0,2.0,0.3333333333333333,18.666666666666668
09/10/2021,"Murray St. @ Statesboro, Ga.",0-3,3.0,33.0,10.0,104.0,0.221,33.0,5.0,7.0,40.0,2.0,0.0,16.0,3.0,46.0,2.0,Murray St.,3,11.0,3.3333333333333335,34.666666666666664,11.0,1.6666666666666667,2.3333333333333335,13.333333333333334,0.0,5.333333333333333,1.0,15.333333333333334
09/10/2021,@ Ga. Southern,0-3,3.0,40.0,18.0,127.0,0.173,37.0,2.0,10.0,62.0,8.0,0.0,0.0,4.0,42.0,2.0,Ga. Southern,3,13.333333333333334,6.0,42.333333333333336,12.333333333333334,0.6666666666666666,3.3333333333333335,20.666666666666668,0.0,0.0,1.3333333333333333,14.0
09/17/2021,"Seton Hall @ Jacksonville, FL",3-0,3.0,41.0,13.0,104.0,0.269,39.0,2.0,9.0,46.0,3.0,1.0,16.0,3.0,52.0,1.0,Seton Hall,3,13.666666666666666,4.333333333333333,34.666666666666664,13.0,0.6666666666666666,3.0,15.333333333333334,0.3333333333333333,5.333333333333333,1.0,17.333333333333332
09/17/2021,@ North Florida,1-3,4.0,45.0,26.0,147.0,0.129,42.0,4.0,7.0,56.0,5.0,2.0,10.0,3.0,56.0,0.0,North Florida,4,11.25,6.5,36.75,10.5,1.0,1.75,14.0,0.5,2.5,0.75,14.0
10/01/2021,Western Ky.,0-3,3.0,20.0,21.0,86.0,-0.012,20.0,6.0,2.0,24.0,6.0,1.0,4.0,0.0,29.0,3.0,Western Ky.,3,6.666666666666667,7.0,28.666666666666668,6.666666666666667,2.0,0.6666666666666666,8.0,0.3333333333333333,1.3333333333333333,0.0,9.666666666666666
10/02/2021,Western Ky.,0-3,3.0,27.0,19.0,92.0,0.087,25.0,3.0,9.0,34.0,7.0,1.0,9.0,1.0,35.5,2.0,Western Ky.,3,9.0,6.333333333333333,30.666666666666668,8.333333333333334,1.0,3.0,11.333333333333334,0.3333333333333333,3.0,0.3333333333333333,11.833333333333334
10/08/2021,@ Middle Tenn.,1-3,4.0,49.0,17.0,139.0,0.23,43.0,5.0,7.0,52.0,7.0,2.0,20.0,6.0,66.0,2.0,Middle Tenn.,4,12.25,4.25,34.75,10.75,1.25,1.75,13.0,0.5,5.0,1.5,16.5
10/09/2021,@ Middle Tenn.,2-3,5.0,61.0,25.0,153.0,0.235,57.0,9.0,7.0,59.0,6.0,3.0,26.0,2.0,86.0,4.0,Middle Tenn.,5,12.2,5.0,30.6,11.4,1.8,1.4,11.8,0.6,5.2,0.4,17.2
10/15/2021,Fla. Atlantic,0-3,3.0,30.0,18.0,85.0,0.141,27.0,2.0,9.0,27.0,12.0,0.0,16.0,0.0,40.0,5.0,Fla. Atlantic,3,10.0,6.0,28.333333333333332,9.0,0.6666666666666666,3.0,9.0,0.0,5.333333333333333,0.0,13.333333333333334
10/16/2021,Fla. Atlantic,3-0,3.0,36.0,17.0,96.0,0.198,35.0,5.0,6.0,48.0,1.0,0.0,30.0,0.0,56.0,1.0,Fla. Atlantic,3,12.0,5.666666666666667,32.0,11.666666666666666,1.6666666666666667,2.0,16.0,0.0,10.0,0.0,18.666666666666668
