date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2021,Chattanooga,1-3,4.0,58.0,23.0,147.0,0.238,53.0,7.0,10.0,67.0,4.0,3.0,12.0,3.0,74.0,1.0,Chattanooga,4,14.5,5.75,36.75,13.25,1.75,2.5,16.75,0.75,3.0,0.75,18.5
08/27/2021,California Baptist,3-0,3.0,36.0,18.0,91.0,0.198,35.0,9.0,7.0,40.0,0.0,3.0,8.0,3.0,52.0,2.0,California Baptist,3,12.0,6.0,30.333333333333332,11.666666666666666,3.0,2.3333333333333335,13.333333333333334,1.0,2.6666666666666665,1.0,17.333333333333332
08/28/2021,Memphis,0-3,3.0,34.0,22.0,92.0,0.13,29.0,2.0,5.0,32.0,6.0,1.0,8.0,1.0,41.0,1.0,Memphis,3,11.333333333333334,7.333333333333333,30.666666666666668,9.666666666666666,0.6666666666666666,1.6666666666666667,10.666666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333,13.666666666666666
09/03/2021,"Virginia Tech @ Jacksonville, FL",2-3,5.0,59.0,29.0,198.0,0.152,55.0,3.0,5.0,95.0,9.0,3.0,15.0,3.0,72.5,0.0,Virginia Tech,5,11.8,5.8,39.6,11.0,0.6,1.0,19.0,0.6,3.0,0.6,14.5
09/04/2021,"Davidson @ Jacksonville, FL",1-3,4.0,52.0,26.0,165.0,0.158,49.0,7.0,9.0,78.0,7.0,2.0,20.0,2.0,71.0,3.0,Davidson,4,13.0,6.5,41.25,12.25,1.75,2.25,19.5,0.5,5.0,0.5,17.75
09/04/2021,@ North Florida,1-3,4.0,48.0,23.0,143.0,0.175,45.0,3.0,8.0,64.0,6.0,3.0,8.0,1.0,58.0,3.0,North Florida,4,12.0,5.75,35.75,11.25,0.75,2.0,16.0,0.75,2.0,0.25,14.5
09/10/2021,Alcorn,3-0,3.0,38.0,12.0,91.0,0.286,33.0,8.0,6.0,42.0,6.0,0.0,10.0,0.0,51.0,0.0,Alcorn,3,12.666666666666666,4.0,30.333333333333332,11.0,2.6666666666666665,2.0,14.0,0.0,3.3333333333333335,0.0,17.0
09/10/2021,Stetson,1-3,4.0,59.0,30.0,174.0,0.167,57.0,4.0,8.0,72.0,1.0,3.0,12.0,2.0,72.0,4.0,Stetson,4,14.75,7.5,43.5,14.25,1.0,2.0,18.0,0.75,3.0,0.5,18.0
09/11/2021,Presbyterian,3-2,5.0,50.0,35.0,164.0,0.091,46.0,6.0,6.0,79.0,9.0,2.0,12.0,1.0,64.0,6.0,Presbyterian,5,10.0,7.0,32.8,9.2,1.2,1.2,15.8,0.4,2.4,0.2,12.8
09/15/2021,@ Clemson,0-3,3.0,34.0,13.0,92.0,0.228,34.0,6.0,4.0,39.0,6.0,3.0,8.0,1.0,47.0,1.0,Clemson,3,11.333333333333334,4.333333333333333,30.666666666666668,11.333333333333334,2.0,1.3333333333333333,13.0,1.0,2.6666666666666665,0.3333333333333333,15.666666666666666
