date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/28/2021,"Duke @ Conway, SC",2-3,5.0,57.0,19.0,148.0,0.257,51.0,5.0,13.0,71.0,8.0,2.0,12.0,2.0,70.0,1.0,Duke,5,11.4,3.8,29.6,10.2,1.0,2.6,14.2,0.4,2.4,0.4,14.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/28/2021,@ Coastal Carolina,0-3,3.0,32.0,25.0,115.0,0.061,31.0,6.0,7.0,40.0,5.0,0.0,2.0,3.0,39.0,0.0,Coastal Carolina,3,10.666666666666666,8.333333333333334,38.333333333333336,10.333333333333334,2.0,2.333333333333333,13.333333333333334,0.0,0.6666666666666666,1.0,13.0,,5.7,,1.9,,14.8,,0.1285,,5.1,,0.5,,1.3,,7.1,,0.2,,1.2,,0.2,,7.0
09/03/2021,"Colorado @ Champaign, IL",1-3,4.0,45.0,28.0,143.0,0.119,44.0,4.0,5.0,54.0,9.0,2.0,8.0,2.0,55.0,0.0,Colorado,4,11.25,7.0,35.75,11.0,1.0,1.25,13.5,0.5,2.0,0.5,13.75,,7.355555555555555,,4.044444444444444,,22.644444444444446,,0.106,,6.844444444444444,,1.0,,1.6444444444444446,,9.177777777777777,,0.13333333333333333,,1.0222222222222221,,0.4666666666666666,,9.0
09/04/2021,"Washington @ Champaign, IL",1-3,4.0,47.0,21.0,111.0,0.234,46.0,6.0,9.0,26.0,4.0,0.0,6.0,1.0,56.0,1.0,Washington,4,11.75,5.25,27.75,11.5,1.5,2.25,6.5,0.0,1.5,0.25,14.0,11.105555555555554,8.329166666666666,6.377777777777777,4.783333333333333,34.56111111111111,25.920833333333334,0.14566666666666667,0.10925,10.511111111111111,7.883333333333333,1.3333333333333333,1.0,2.0611111111111113,1.5458333333333334,13.677777777777777,10.258333333333333,0.3,0.225,1.6888888888888889,1.2666666666666666,0.6333333333333333,0.475,13.583333333333334,10.1875
09/09/2021,Syracuse,1-3,4.0,51.0,17.0,132.0,0.258,41.0,3.0,9.0,40.0,7.0,0.0,16.0,2.0,62.0,2.0,Syracuse,4,12.75,4.25,33.0,10.25,0.75,2.25,10.0,0.0,4.0,0.5,15.5,11.222222222222223,9.013333333333332,6.861111111111112,4.876666666666667,33.94444444444445,26.28666666666667,0.138,0.1342,10.944444444444445,8.606666666666666,1.5,1.1,1.9444444444444444,1.6866666666666668,11.111111111111112,9.506666666666666,0.16666666666666666,0.18,1.3888888888888886,1.3133333333333332,0.5833333333333334,0.43,13.583333333333334,10.95
09/10/2021,Ball St.,2-3,5.0,66.0,34.0,170.0,0.188,58.0,7.0,11.0,78.0,6.0,0.0,14.0,0.0,80.0,0.0,Ball St.,5,13.2,6.8,34.0,11.6,1.4,2.2,15.6,0.0,2.8,0.0,16.0,11.916666666666666,9.636111111111111,5.5,4.772222222222222,32.166666666666664,27.405555555555555,0.20366666666666666,0.15483333333333335,10.916666666666666,8.880555555555555,1.0833333333333333,1.0416666666666667,1.9166666666666667,1.7805555555555557,10.0,9.588888888888889,0.16666666666666666,0.15,2.5,1.761111111111111,0.4166666666666667,0.44166666666666665,14.416666666666666,11.708333333333334
09/11/2021,Iowa St.,3-0,3.0,43.0,15.0,98.0,0.286,29.0,8.0,5.0,31.0,2.0,1.0,10.0,0.0,57.0,0.0,Iowa St.,3,14.333333333333334,5.0,32.666666666666664,9.666666666666666,2.6666666666666665,1.6666666666666667,10.333333333333334,0.3333333333333333,3.333333333333333,0.0,19.0,12.566666666666668,10.145238095238096,5.433333333333334,5.061904761904762,31.583333333333332,28.347619047619048,0.22666666666666668,0.15957142857142856,11.116666666666665,9.269047619047617,1.2166666666666666,1.092857142857143,2.2333333333333334,1.8404761904761904,10.699999999999998,10.447619047619046,0.0,0.1285714285714286,2.766666666666667,1.9095238095238096,0.25000000000000006,0.37857142857142856,15.166666666666666,12.321428571428571
09/17/2021,"UIW @ USAF Academy, CO",3-0,3.0,49.0,17.0,104.0,0.308,44.0,7.0,4.0,39.0,4.0,1.0,8.0,1.0,61.0,0.0,UIW,3,16.333333333333332,5.666666666666667,34.666666666666664,14.666666666666666,2.333333333333333,1.3333333333333333,13.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,20.33333333333333,13.427777777777777,10.66875,5.3500000000000005,5.054166666666666,33.22222222222222,28.8875,0.244,0.175375,10.505555555555555,9.31875,1.6055555555555554,1.2895833333333333,2.038888888888889,1.8187499999999999,11.977777777777776,10.433333333333332,0.1111111111111111,0.15416666666666667,3.3777777777777778,2.0875,0.1666666666666667,0.33125,16.833333333333332,13.15625
09/17/2021,@ Air Force,2-3,5.0,66.0,27.0,162.0,0.241,63.0,8.0,9.0,62.0,7.0,1.0,14.0,1.0,82.0,0.0,Air Force,5,13.2,5.4,32.4,12.6,1.6,1.8,12.4,0.2,2.8,0.2,16.4,14.622222222222222,11.298148148148147,5.822222222222223,5.122222222222222,33.77777777777778,29.52962962962963,0.26066666666666666,0.19011111111111112,11.977777777777776,9.912962962962963,2.1333333333333333,1.4055555555555554,1.7333333333333334,1.7648148148148148,12.977777777777776,10.718518518518517,0.2222222222222222,0.17407407407407408,2.933333333333333,2.151851851851852,0.11111111111111115,0.3314814814814815,18.444444444444443,13.953703703703702
09/18/2021,@ Denver,0-3,3.0,32.0,21.0,99.0,0.111,31.0,4.0,7.0,33.0,7.0,1.0,14.0,1.0,44.0,1.0,Denver,3,10.666666666666666,7.0,33.0,10.333333333333334,1.3333333333333333,2.333333333333333,11.0,0.3333333333333333,4.666666666666667,0.3333333333333333,14.666666666666666,14.622222222222222,11.488333333333333,5.355555555555557,5.1499999999999995,33.24444444444444,29.816666666666663,0.2783333333333334,0.19519999999999998,12.31111111111111,10.181666666666667,2.1999999999999997,1.4249999999999998,1.5999999999999999,1.7683333333333333,11.911111111111111,10.886666666666667,0.2888888888888889,0.17666666666666667,2.933333333333333,2.216666666666667,0.1777777777777778,0.31833333333333336,18.577777777777776,14.198333333333332
