date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2021,"West Virginia @ Norfolk, VA",0-3,3.0,33.0,21.0,112.0,0.107,28.0,3.0,7.0,53.0,7.0,0.0,4.0,0.0,38.0,0.0,West Virginia,3,11.0,7.0,37.333333333333336,9.333333333333334,1.0,2.3333333333333335,17.666666666666668,0.0,1.3333333333333333,0.0,12.666666666666666
08/27/2021,"Hampton @ Norfolk, VA",3-0,3.0,42.0,19.0,139.0,0.165,38.0,3.0,8.0,65.0,3.0,1.0,12.0,0.0,52.0,3.0,Hampton,3,14.0,6.333333333333333,46.333333333333336,12.666666666666666,1.0,2.6666666666666665,21.666666666666668,0.3333333333333333,4.0,0.0,17.333333333333332
08/28/2021,@ Old Dominion,3-0,3.0,49.0,20.0,128.0,0.227,45.0,3.0,6.0,62.0,1.0,0.0,10.0,0.0,57.0,0.0,Old Dominion,3,16.333333333333332,6.666666666666667,42.666666666666664,15.0,1.0,2.0,20.666666666666668,0.0,3.3333333333333335,0.0,19.0
09/03/2021,"Princeton @ Towson, MD",3-0,3.0,45.0,26.0,140.0,0.136,43.0,2.0,8.0,76.0,4.0,0.0,16.0,0.0,55.0,1.0,Princeton,3,15.0,8.666666666666666,46.666666666666664,14.333333333333334,0.6666666666666666,2.6666666666666665,25.333333333333332,0.0,5.333333333333333,0.0,18.333333333333332
09/03/2021,@ Towson,2-3,5.0,55.0,37.0,201.0,0.09,44.0,10.0,6.0,86.0,9.0,2.0,20.0,3.0,77.0,0.0,Towson,5,11.0,7.4,40.2,8.8,2.0,1.2,17.2,0.4,4.0,0.6,15.4
09/04/2021,"Stony Brook @ Towson, Md.",0-3,3.0,34.0,25.0,112.0,0.08,33.0,4.0,4.0,48.0,6.0,0.0,6.0,4.0,41.0,1.0,Stony Brook,3,11.333333333333334,8.333333333333334,37.333333333333336,11.0,1.3333333333333333,1.3333333333333333,16.0,0.0,2.0,1.3333333333333333,13.666666666666666
09/04/2021,"Morgan St. @ Towson, MD",3-0,3.0,49.0,18.0,106.0,0.292,46.0,12.0,2.0,50.0,3.0,0.0,2.0,1.0,62.0,0.0,Morgan St.,3,16.333333333333332,6.0,35.333333333333336,15.333333333333334,4.0,0.6666666666666666,16.666666666666668,0.0,0.6666666666666666,0.3333333333333333,20.666666666666668
09/10/2021,"UMES @ Washington, DC",3-0,3.0,43.0,4.0,86.0,0.453,38.0,9.0,7.0,39.0,5.0,0.0,8.0,3.0,56.0,0.0,UMES,3,14.333333333333334,1.3333333333333333,28.666666666666668,12.666666666666666,3.0,2.3333333333333335,13.0,0.0,2.6666666666666665,1.0,18.666666666666668
09/10/2021,@ George Washington,3-0,3.0,46.0,15.0,115.0,0.27,39.0,7.0,5.0,59.0,5.0,4.0,10.0,0.0,62.0,0.0,George Washington,3,15.333333333333334,5.0,38.333333333333336,13.0,2.3333333333333335,1.6666666666666667,19.666666666666668,1.3333333333333333,3.3333333333333335,0.0,20.666666666666668
09/11/2021,@ Georgetown,3-1,4.0,60.0,24.0,180.0,0.2,56.0,9.0,13.0,85.0,7.0,3.0,14.0,0.0,79.0,0.0,Georgetown,4,15.0,6.0,45.0,14.0,2.25,3.25,21.25,0.75,3.5,0.0,19.75
09/15/2021,@ Coppin St.,3-0,3.0,50.0,19.0,134.0,0.231,44.0,6.0,8.0,75.0,2.0,0.0,11.0,1.0,61.5,0.0,Coppin St.,3,16.666666666666668,6.333333333333333,44.666666666666664,14.666666666666666,2.0,2.6666666666666665,25.0,0.0,3.6666666666666665,0.3333333333333333,20.5
09/19/2021,Navy,3-0,3.0,45.0,8.0,122.0,0.303,43.0,3.0,14.0,63.0,4.0,0.0,14.0,3.0,55.0,0.0,Navy,3,15.0,2.6666666666666665,40.666666666666664,14.333333333333334,1.0,4.666666666666667,21.0,0.0,4.666666666666667,1.0,18.333333333333332
09/24/2021,Army West Point,3-1,4.0,56.0,23.0,169.0,0.195,52.0,5.0,15.0,80.0,2.0,1.0,12.0,1.0,68.0,0.0,Army West Point,4,14.0,5.75,42.25,13.0,1.25,3.75,20.0,0.25,3.0,0.25,17.0
09/25/2021,"Holy Cross @ Towson, MD",3-0,3.0,53.0,7.0,125.0,0.368,48.0,5.0,7.0,65.0,2.0,0.0,10.0,0.0,63.0,0.0,Holy Cross,3,17.666666666666668,2.3333333333333335,41.666666666666664,16.0,1.6666666666666667,2.3333333333333335,21.666666666666668,0.0,3.3333333333333335,0.0,21.0
10/01/2021,@ Lehigh,3-1,4.0,55.0,30.0,174.0,0.144,49.0,7.0,4.0,80.0,4.0,1.0,14.0,0.0,70.0,0.0,Lehigh,4,13.75,7.5,43.5,12.25,1.75,1.0,20.0,0.25,3.5,0.0,17.5
10/02/2021,@ Lafayette,1-3,4.0,52.0,24.0,164.0,0.171,49.0,6.0,4.0,58.0,7.0,1.0,8.0,2.0,63.0,1.0,Lafayette,4,13.0,6.0,41.0,12.25,1.5,1.0,14.5,0.25,2.0,0.5,15.75
10/05/2021,American,3-0,3.0,44.0,17.0,149.0,0.181,43.0,6.0,10.0,77.0,1.0,1.0,16.0,2.0,59.0,3.0,American,3,14.666666666666666,5.666666666666667,49.666666666666664,14.333333333333334,2.0,3.3333333333333335,25.666666666666668,0.3333333333333333,5.333333333333333,0.6666666666666666,19.666666666666668
10/08/2021,@ Colgate,1-3,4.0,41.0,22.0,133.0,0.143,38.0,3.0,10.0,46.0,5.0,2.0,8.0,1.0,50.0,5.0,Colgate,4,10.25,5.5,33.25,9.5,0.75,2.5,11.5,0.5,2.0,0.25,12.5
10/09/2021,@ Bucknell,3-1,4.0,52.0,22.0,140.0,0.214,48.0,8.0,5.0,50.0,4.0,0.0,12.0,1.0,66.0,2.0,Bucknell,4,13.0,5.5,35.0,12.0,2.0,1.25,12.5,0.0,3.0,0.25,16.5
10/22/2021,@ Navy,1-3,4.0,55.0,22.0,139.0,0.237,51.0,5.0,10.0,59.0,5.0,0.0,12.0,1.0,66.0,0.0,Navy,4,13.75,5.5,34.75,12.75,1.25,2.5,14.75,0.0,3.0,0.25,16.5
10/23/2021,@ American,2-3,5.0,53.0,25.0,176.0,0.159,50.0,4.0,6.0,80.0,3.0,0.0,22.0,2.0,68.0,1.0,American,5,10.6,5.0,35.2,10.0,0.8,1.2,16.0,0.0,4.4,0.4,13.6
10/29/2021,Lafayette,2-3,5.0,73.0,34.0,219.0,0.178,65.0,3.0,11.0,104.0,3.0,2.0,12.0,1.0,84.0,0.0,Lafayette,5,14.6,6.8,43.8,13.0,0.6,2.2,20.8,0.4,2.4,0.2,16.8
10/30/2021,Lehigh,2-3,5.0,60.0,23.0,166.0,0.223,52.0,6.0,13.0,77.0,5.0,1.0,8.0,1.0,71.0,1.0,Lehigh,5,12.0,4.6,33.2,10.4,1.2,2.6,15.4,0.2,1.6,0.2,14.2
11/05/2021,@ Holy Cross,3-0,3.0,37.0,11.0,91.0,0.286,33.0,5.0,11.0,48.0,5.0,0.0,16.0,1.0,50.0,1.0,Holy Cross,3,12.333333333333334,3.6666666666666665,30.333333333333332,11.0,1.6666666666666667,3.6666666666666665,16.0,0.0,5.333333333333333,0.3333333333333333,16.666666666666668
11/06/2021,@ Army West Point,0-3,3.0,39.0,19.0,119.0,0.168,35.0,2.0,4.0,54.0,8.0,2.0,0.0,1.0,43.0,2.0,Army West Point,3,13.0,6.333333333333333,39.666666666666664,11.666666666666666,0.6666666666666666,1.3333333333333333,18.0,0.6666666666666666,0.0,0.3333333333333333,14.333333333333334
11/12/2021,Bucknell,3-0,3.0,43.0,17.0,123.0,0.211,35.0,6.0,7.0,60.0,3.0,1.0,20.0,2.0,60.0,1.0,Bucknell,3,14.333333333333334,5.666666666666667,41.0,11.666666666666666,2.0,2.3333333333333335,20.0,0.3333333333333333,6.666666666666667,0.6666666666666666,20.0
11/13/2021,Colgate,3-1,4.0,69.0,18.0,156.0,0.327,62.0,10.0,12.0,74.0,3.0,2.0,6.0,1.0,84.0,3.0,Colgate,4,17.25,4.5,39.0,15.5,2.5,3.0,18.5,0.5,1.5,0.25,21.0
11/16/2021,@ American,2-3,5.0,59.0,35.0,197.0,0.122,57.0,5.0,7.0,105.0,6.0,3.0,14.0,1.0,74.0,0.0,American,5,11.8,7.0,39.4,11.4,1.0,1.4,21.0,0.6,2.8,0.2,14.8
