date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2021,Virginia,3-1,4.0,47.0,20.0,129.0,0.209,41.0,8.0,8.0,61.0,12.0,1.0,22.0,1.0,67.0,1.0,Virginia,4,11.75,5.0,32.25,10.25,2.0,2.0,15.25,0.25,5.5,0.25,16.75
08/28/2021,Central Conn. St.,3-0,3.0,42.0,15.0,94.0,0.287,38.0,5.0,5.0,36.0,4.0,0.0,14.0,3.0,54.0,1.0,Central Conn. St.,3,14.0,5.0,31.333333333333332,12.666666666666666,1.6666666666666667,1.6666666666666667,12.0,0.0,4.666666666666667,1.0,18.0
08/28/2021,Hofstra,3-0,3.0,37.0,9.0,81.0,0.346,33.0,5.0,11.0,38.0,2.0,1.0,26.0,0.0,56.0,0.0,Hofstra,3,12.333333333333334,3.0,27.0,11.0,1.6666666666666667,3.6666666666666665,12.666666666666666,0.3333333333333333,8.666666666666666,0.0,18.666666666666668
09/03/2021,"LIU @ Philadelphia, PA",3-0,3.0,47.0,17.0,114.0,0.263,44.0,3.0,5.0,61.0,3.0,0.0,12.0,1.0,56.0,0.0,LIU,3,15.666666666666666,5.666666666666667,38.0,14.666666666666666,1.0,1.6666666666666667,20.333333333333332,0.0,4.0,0.3333333333333333,18.666666666666668
09/03/2021,@ Temple,3-2,5.0,70.0,27.0,188.0,0.229,63.0,2.0,4.0,94.0,4.0,1.0,24.0,0.0,85.0,0.0,Temple,5,14.0,5.4,37.6,12.6,0.4,0.8,18.8,0.2,4.8,0.0,17.0
09/04/2021,"Iona @ Philadelphia, PA",3-0,3.0,35.0,11.0,78.0,0.308,32.0,8.0,6.0,39.0,2.0,2.0,12.0,1.0,51.0,0.0,Iona,3,11.666666666666666,3.6666666666666665,26.0,10.666666666666666,2.6666666666666665,2.0,13.0,0.6666666666666666,4.0,0.3333333333333333,17.0
09/10/2021,"Howard @ Baltimore, MD",3-0,3.0,42.0,12.0,110.0,0.273,40.0,6.0,5.0,53.0,1.0,1.0,12.0,1.0,55.0,1.0,Howard,3,14.0,4.0,36.666666666666664,13.333333333333334,2.0,1.6666666666666667,17.666666666666668,0.3333333333333333,4.0,0.3333333333333333,18.333333333333332
09/10/2021,"Quinnipiac @ Baltimore, MD",3-0,3.0,41.0,10.0,105.0,0.295,38.0,7.0,5.0,51.0,4.0,1.0,22.0,2.0,60.0,0.0,Quinnipiac,3,13.666666666666666,3.3333333333333335,35.0,12.666666666666666,2.3333333333333335,1.6666666666666667,17.0,0.3333333333333333,7.333333333333333,0.6666666666666666,20.0
09/11/2021,@ UMBC,3-0,3.0,42.0,13.0,112.0,0.259,41.0,3.0,5.0,59.0,1.0,2.0,26.0,0.0,60.0,0.0,UMBC,3,14.0,4.333333333333333,37.333333333333336,13.666666666666666,1.0,1.6666666666666667,19.666666666666668,0.6666666666666666,8.666666666666666,0.0,20.0
09/17/2021,Akron,3-0,3.0,43.0,8.0,100.0,0.35,40.0,5.0,2.0,49.0,4.0,1.0,26.0,1.0,62.0,0.0,Akron,3,14.333333333333334,2.6666666666666665,33.333333333333336,13.333333333333334,1.6666666666666667,0.6666666666666666,16.333333333333332,0.3333333333333333,8.666666666666666,0.3333333333333333,20.666666666666668
09/18/2021,Stony Brook,3-0,3.0,45.0,12.0,129.0,0.256,41.0,4.0,2.0,63.0,2.0,2.0,22.0,1.0,62.0,2.0,Stony Brook,3,15.0,4.0,43.0,13.666666666666666,1.3333333333333333,0.6666666666666666,21.0,0.6666666666666666,7.333333333333333,0.3333333333333333,20.666666666666668
09/18/2021,Columbia,3-0,3.0,33.0,12.0,97.0,0.216,29.0,8.0,4.0,46.0,4.0,2.0,16.0,1.0,51.0,2.0,Columbia,3,11.0,4.0,32.333333333333336,9.666666666666666,2.6666666666666665,1.3333333333333333,15.333333333333334,0.6666666666666666,5.333333333333333,0.3333333333333333,17.0
09/24/2021,Wisconsin,3-2,5.0,48.0,19.0,149.0,0.195,45.0,6.0,3.0,73.0,6.0,5.0,20.0,2.0,69.0,1.0,Wisconsin,5,9.6,3.8,29.8,9.0,1.2,0.6,14.6,1.0,4.0,0.4,13.8
09/26/2021,@ Minnesota,0-3,3.0,24.0,35.0,114.0,-0.096,24.0,5.0,2.0,46.0,1.0,1.0,6.0,1.0,33.0,0.0,Minnesota,3,8.0,11.666666666666666,38.0,8.0,1.6666666666666667,0.6666666666666666,15.333333333333334,0.3333333333333333,2.0,0.3333333333333333,11.0
09/29/2021,Penn St.,2-3,5.0,60.0,27.0,190.0,0.174,58.0,1.0,6.0,87.0,3.0,1.0,25.0,3.0,74.5,1.0,Penn St.,5,12.0,5.4,38.0,11.6,0.2,1.2,17.4,0.2,5.0,0.6,14.9
10/02/2021,@ Ohio St.,0-3,3.0,32.0,16.0,108.0,0.148,31.0,1.0,6.0,39.0,1.0,2.0,14.0,3.0,42.0,0.0,Ohio St.,3,10.666666666666666,5.333333333333333,36.0,10.333333333333334,0.3333333333333333,2.0,13.0,0.6666666666666666,4.666666666666667,1.0,14.0
