date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/27/2021,Saint Louis,0-3,3.0,34.0,17.0,99.0,0.172,33.0,5.0,6.0,35.0,10.0,0.0,12.0,0.0,45.0,1.0,Saint Louis
08/27/2021,Kansas City,1-3,4.0,62.0,18.0,143.0,0.308,57.0,6.0,7.0,58.0,6.0,1.0,8.0,2.0,73.0,1.0,Kansas City
08/28/2021,Creighton,0-3,3.0,22.0,16.0,94.0,0.064,21.0,2.0,7.0,44.0,7.0,0.0,10.0,3.0,29.0,2.0,Creighton
09/03/2021,@ Louisville,0-3,3.0,30.0,16.0,76.0,0.184,28.0,4.0,8.0,23.0,5.0,0.0,2.0,0.0,35.0,0.0,Louisville
09/04/2021,"Northern Ky. @ Louisville, KY",3-0,3.0,43.0,10.0,115.0,0.287,39.0,2.0,4.0,58.0,4.0,3.0,8.0,2.0,52.0,0.0,Northern Ky.
09/05/2021,"South Dakota @ Louisville, KY",3-1,4.0,53.0,21.0,147.0,0.218,51.0,8.0,9.0,67.0,6.0,2.0,22.0,4.0,74.0,2.0,South Dakota
09/10/2021,"Northwestern @ Laramie, WY",0-3,3.0,36.0,19.0,99.0,0.172,34.0,2.0,9.0,27.0,5.0,3.0,12.0,1.0,47.0,0.0,Northwestern
09/10/2021,"UC Santa Barbara @ Laramie, WY",0-3,3.0,36.0,18.0,119.0,0.151,35.0,4.0,4.0,46.0,1.0,3.0,10.0,2.0,48.0,3.0,UC Santa Barbara
09/11/2021,@ Wyoming,0-3,3.0,38.0,17.0,93.0,0.226,36.0,1.0,12.0,26.0,6.0,4.0,8.0,2.0,47.0,0.0,Wyoming
09/14/2021,Kansas St.,0-3,3.0,32.0,18.0,100.0,0.14,31.0,2.0,4.0,33.0,5.0,2.0,6.0,3.0,39.0,1.0,Kansas St.
09/17/2021,"Illinois @ Normal, IL",0-3,3.0,29.0,11.0,87.0,0.207,25.0,3.0,8.0,34.0,5.0,0.0,12.0,1.0,38.0,2.0,Illinois
09/17/2021,"North Texas @ Normal, IL",3-2,5.0,48.0,24.0,154.0,0.156,41.0,9.0,13.0,66.0,4.0,3.0,12.0,1.0,66.0,0.0,North Texas
09/18/2021,@ Illinois St.,1-3,4.0,48.0,29.0,159.0,0.119,46.0,4.0,9.0,67.0,8.0,3.0,16.0,3.0,63.0,0.0,Illinois St.
09/24/2021,@ Kentucky,0-3,3.0,32.0,16.0,97.0,0.165,29.0,9.0,5.0,38.0,4.0,2.0,12.0,0.0,49.0,2.0,Kentucky
09/30/2021,South Carolina,0-3,3.0,30.0,18.0,93.0,0.129,30.0,3.0,6.0,39.0,10.0,2.0,4.0,2.0,37.0,1.0,South Carolina
10/01/2021,South Carolina,1-3,4.0,42.0,18.0,124.0,0.194,39.0,6.0,8.0,49.0,10.0,5.0,16.0,1.0,61.0,3.0,South Carolina
10/06/2021,@ LSU,0-3,3.0,37.0,18.0,102.0,0.186,35.0,2.0,9.0,31.0,1.0,1.0,10.0,0.0,45.0,0.0,LSU
10/13/2021,Alabama,2-3,5.0,58.0,22.0,145.0,0.248,49.0,5.0,10.0,54.0,5.0,3.0,20.0,4.0,76.0,5.0,Alabama
10/16/2021,@ Auburn,0-3,3.0,32.0,20.0,124.0,0.097,30.0,2.0,9.0,57.0,4.0,0.0,6.0,0.0,37.0,1.0,Auburn
10/17/2021,@ Auburn,3-2,5.0,72.0,26.0,200.0,0.23,68.0,5.0,14.0,96.0,3.0,4.0,4.0,4.0,83.0,3.0,Auburn
10/22/2021,Ole Miss,0-3,3.0,31.0,16.0,85.0,0.176,29.0,5.0,9.0,27.0,6.0,0.0,6.0,0.0,39.0,2.0,Ole Miss
10/23/2021,Ole Miss,0-3,3.0,36.0,15.0,116.0,0.181,33.0,3.0,9.0,42.0,3.0,3.0,12.0,3.0,48.0,0.0,Ole Miss
10/27/2021,@ Arkansas,0-3,3.0,30.0,20.0,91.0,0.11,28.0,4.0,9.0,38.0,7.0,0.0,6.0,2.0,37.0,0.0,Arkansas
10/30/2021,Florida,0-3,3.0,30.0,17.0,96.0,0.135,27.0,3.0,6.0,33.0,4.0,1.0,8.0,1.0,38.0,0.0,Florida
11/06/2021,Mississippi St.,2-3,5.0,60.0,23.0,134.0,0.276,57.0,6.0,13.0,47.0,10.0,1.0,12.0,5.0,73.0,0.0,Mississippi St.
11/07/2021,Mississippi St.,1-3,4.0,49.0,22.0,138.0,0.196,45.0,4.0,6.0,53.0,7.0,2.0,16.0,2.0,63.0,1.0,Mississippi St.
11/13/2021,@ Georgia,0-3,3.0,36.0,16.0,98.0,0.204,35.0,2.0,5.0,35.0,4.0,0.0,2.0,1.0,39.0,0.0,Georgia
11/14/2021,@ Georgia,1-3,4.0,46.0,18.0,127.0,0.22,42.0,3.0,7.0,47.0,9.0,2.0,14.0,0.0,58.0,0.0,Georgia
11/24/2021,Tennessee,3-2,5.0,72.0,25.0,190.0,0.247,66.0,9.0,7.0,79.0,2.0,2.0,16.0,0.0,91.0,1.0,Tennessee
11/26/2021,@ Texas A&M,1-3,4.0,54.0,18.0,165.0,0.218,50.0,5.0,10.0,68.0,4.0,0.0,16.0,3.0,67.0,0.0,Texas A&M
11/27/2021,@ Texas A&M,0-3,3.0,35.0,13.0,115.0,0.191,32.0,4.0,11.0,48.0,5.0,2.0,8.0,1.0,45.0,1.0,Texas A&M
